Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702002732690374766, 0, -1009331911, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702002732690374766, 0, -1009239386, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1009223094, 0, -1009222145, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999672630, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999537716, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999366410, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999266899, NO TRIGGER, 0, 0, 1724, 0
Receiving PORT_ABS, NO REACTOR, 1, -1, 0, 0, -999185179, NO TRIGGER, 0, 0, 1605, 0
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999179101, NO TRIGGER, 0, 0, 522, 1
Receiving TAG, NO REACTOR, 1, -1, 0, 0, -999177782, NO TRIGGER, 0, 0, 1880, 0
Sending NET, NO REACTOR, 1, -1, 100000000, 0, -999130225, NO TRIGGER, 0, 0, 522, 2
Receiving PORT_ABS, NO REACTOR, 1, -1, 20000000, 0, -999095043, NO TRIGGER, 0, 0, 1605, 1
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 20000000, 0, -999089385, NO TRIGGER, 0, 0, 1724, 1
Sending NET, NO REACTOR, 1, -1, 20000000, 0, -999071584, NO TRIGGER, 0, 0, 522, 3
Receiving TAG, NO REACTOR, 1, -1, 20000000, 0, -999068775, NO TRIGGER, 0, 0, 1880, 1
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 40000000, 0, -999028475, NO TRIGGER, 0, 0, 1724, 2
Sending LTC, NO REACTOR, 1, -1, 20000000, 0, -999025067, NO TRIGGER, 0, 0, 522, 4
Sending NET, NO REACTOR, 1, -1, 100000000, 0, -999008725, NO TRIGGER, 0, 0, 522, 5
Receiving PORT_ABS, NO REACTOR, 1, -1, 40000000, 0, -998972682, NO TRIGGER, 0, 0, 1605, 2
Sending NET, NO REACTOR, 1, -1, 40000000, 0, -998970264, NO TRIGGER, 0, 0, 522, 6
Receiving TAG, NO REACTOR, 1, -1, 40000000, 0, -998964007, NO TRIGGER, 0, 0, 1880, 2
Receiving PORT_ABS, NO REACTOR, 1, -1, 60000000, 0, -998923536, NO TRIGGER, 0, 0, 1605, 3
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 60000000, 0, -998909633, NO TRIGGER, 0, 0, 1724, 3
Sending LTC, NO REACTOR, 1, -1, 40000000, 0, -998875470, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 1, -1, 100000000, 0, -998860127, NO TRIGGER, 0, 0, 522, 8
Sending NET, NO REACTOR, 1, -1, 60000000, 0, -998830542, NO TRIGGER, 0, 0, 522, 9
Receiving TAG, NO REACTOR, 1, -1, 60000000, 0, -998828033, NO TRIGGER, 0, 0, 1880, 3
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 80000000, 0, -998804864, NO TRIGGER, 0, 0, 1724, 4
Receiving PORT_ABS, NO REACTOR, 1, -1, 80000000, 0, -998800846, NO TRIGGER, 0, 0, 1605, 4
Receiving TAG, NO REACTOR, 1, -1, 80000000, 0, -998798857, NO TRIGGER, 0, 0, 1880, 4
Receiving PORT_ABS, NO REACTOR, 1, -1, 100000000, 0, -998796488, NO TRIGGER, 0, 0, 1605, 5
Sending LTC, NO REACTOR, 1, -1, 60000000, 0, -998795269, NO TRIGGER, 0, 0, 522, 10
Sending LTC, NO REACTOR, 1, -1, 80000000, 0, -998777328, NO TRIGGER, 0, 0, 522, 11
Sending NET, NO REACTOR, 1, -1, 100000000, 0, -998761535, NO TRIGGER, 0, 0, 522, 12
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 100000000, 0, -998721245, NO TRIGGER, 0, 0, 1724, 5
Receiving TAG, NO REACTOR, 1, -1, 100000000, 0, -998711010, NO TRIGGER, 0, 0, 1880, 5
Receiving TAG, NO REACTOR, 1, -1, 7521369304164401041, -1, -998708162, NO TRIGGER, 0, 0, 1880, 6
Sending LTC, NO REACTOR, 1, -1, 100000000, 0, -998703194, NO TRIGGER, 0, 0, 522, 13
