Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702002732690374766, 0, -1000146699, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702002732690374766, 0, -1000031835, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000000000, 0, -999997392, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999625164, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999480304, NO TRIGGER, 0, 0, 522, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999373147, NO TRIGGER, 0, 0, 435, 0
Sending PORT_ABS, NO REACTOR, 0, -1, 0, 0, -999337654, NO TRIGGER, 0, 0, 1440, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999330438, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 20000000, 0, -999322821, NO TRIGGER, 0, 0, 522, 2
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999304440, NO TRIGGER, 0, 0, 2100, 0
Sending PORT_ABS, NO REACTOR, 0, -1, 20000000, 0, -999276514, NO TRIGGER, 0, 0, 1440, 1
Sending TAGGED_MSG, NO REACTOR, 0, -1, 20000000, 0, -999266789, NO TRIGGER, 0, 0, 435, 1
Sending LTC, NO REACTOR, 0, -1, 20000000, 0, -999246529, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 0, -1, 40000000, 0, -999239332, NO TRIGGER, 0, 0, 522, 4
Sending TAGGED_MSG, NO REACTOR, 0, -1, 40000000, 0, -999232335, NO TRIGGER, 0, 0, 435, 2
Sending PORT_ABS, NO REACTOR, 0, -1, 40000000, 0, -999220801, NO TRIGGER, 0, 0, 1440, 2
Sending LTC, NO REACTOR, 0, -1, 40000000, 0, -999213435, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 0, -1, 60000000, 0, -999207907, NO TRIGGER, 0, 0, 522, 6
Sending PORT_ABS, NO REACTOR, 0, -1, 60000000, 0, -999201301, NO TRIGGER, 0, 0, 1440, 3
Sending TAGGED_MSG, NO REACTOR, 0, -1, 60000000, 0, -999195014, NO TRIGGER, 0, 0, 435, 3
Sending LTC, NO REACTOR, 0, -1, 60000000, 0, -999181920, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 0, -1, 80000000, 0, -999174604, NO TRIGGER, 0, 0, 522, 8
Sending TAGGED_MSG, NO REACTOR, 0, -1, 80000000, 0, -999167757, NO TRIGGER, 0, 0, 435, 4
Sending PORT_ABS, NO REACTOR, 0, -1, 80000000, 0, -999155883, NO TRIGGER, 0, 0, 1440, 4
Sending LTC, NO REACTOR, 0, -1, 80000000, 0, -999148546, NO TRIGGER, 0, 0, 522, 9
Sending NET, NO REACTOR, 0, -1, 100000000, 0, -999142939, NO TRIGGER, 0, 0, 522, 10
Sending PORT_ABS, NO REACTOR, 0, -1, 100000000, 0, -999136612, NO TRIGGER, 0, 0, 1440, 5
Sending TAGGED_MSG, NO REACTOR, 0, -1, 100000000, 0, -999129975, NO TRIGGER, 0, 0, 435, 5
Sending LTC, NO REACTOR, 0, -1, 100000000, 0, -999118241, NO TRIGGER, 0, 0, 522, 11
Sending NET, NO REACTOR, 0, -1, 7521369304164401041, -1, -999112184, NO TRIGGER, 0, 0, 522, 12
