Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702002732690374766, 0, -1009286433, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 1, -1702002732690374766, 0, -1009282375, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1009223094, 0, -1009096706, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999731372, NO TRIGGER, 0, 0, 835, 1
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999482543, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999400533, NO TRIGGER, 0, 0, 237, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999301392, NO TRIGGER, 0, 0, 479, 0
Sending PORT_ABS, NO REACTOR, -1, 1, 0, 0, -999283500, NO TRIGGER, 0, 0, 356, 0
Sending TAG, NO REACTOR, -1, 1, 0, 0, -999275644, NO TRIGGER, 0, 0, 198, 0
Sending PORT_ABS, NO REACTOR, -1, 1, 20000000, 0, -999260212, NO TRIGGER, 0, 0, 356, 1
Sending TAGGED_MSG, NO REACTOR, -1, 1, 20000000, 0, -999241631, NO TRIGGER, 0, 0, 479, 1
Sending TAG, NO REACTOR, -1, 1, 20000000, 0, -999233885, NO TRIGGER, 0, 0, 198, 1
Sending TAGGED_MSG, NO REACTOR, -1, 1, 40000000, 0, -999216213, NO TRIGGER, 0, 0, 479, 2
Sending PORT_ABS, NO REACTOR, -1, 1, 40000000, 0, -999208187, NO TRIGGER, 0, 0, 356, 2
Sending TAG, NO REACTOR, -1, 1, 40000000, 0, -999201471, NO TRIGGER, 0, 0, 198, 2
Sending PORT_ABS, NO REACTOR, -1, 1, 60000000, 0, -999185658, NO TRIGGER, 0, 0, 356, 3
Sending TAGGED_MSG, NO REACTOR, -1, 1, 60000000, 0, -999177822, NO TRIGGER, 0, 0, 479, 3
Sending TAG, NO REACTOR, -1, 1, 60000000, 0, -999173814, NO TRIGGER, 0, 0, 198, 3
Sending TAGGED_MSG, NO REACTOR, -1, 1, 80000000, 0, -999153754, NO TRIGGER, 0, 0, 479, 4
