Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702260913612546236, 0, -1009387897, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702260913612546236, 0, -1009294728, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1009262740, 0, -1009261274, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999781464, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999695209, NO TRIGGER, 0, 0, 522, 0
Receiving TAG, NO REACTOR, 0, -1, 0, 0, -999369465, NO TRIGGER, 0, 0, 1880, 0
Receiving PORT_ABS, NO REACTOR, 0, -1, 999999, -1, -999314709, NO TRIGGER, 0, 0, 1605, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 1000000, 0, -999272175, NO TRIGGER, 0, 0, 435, 0
Sending PORT_ABS, NO REACTOR, 0, -1, 999999, -1, -999236416, NO TRIGGER, 0, 0, 1440, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999224054, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 20000000, 0, -999213089, NO TRIGGER, 0, 0, 522, 2
Receiving PORT_ABS, NO REACTOR, 0, -1, 999999, -1, -999186898, NO TRIGGER, 0, 0, 1605, 1
Receiving TAG, NO REACTOR, 0, -1, 999999, -1, -999177679, NO TRIGGER, 0, 0, 1880, 1
Receiving PORT_ABS, NO REACTOR, 0, -1, 1999999, -1, -998905364, NO TRIGGER, 0, 0, 1605, 2
Receiving TAGGED_MSG, NO REACTOR, 0, -1, 2000000, 0, -998880082, NO TRIGGER, 0, 0, 1724, 0
Sending NET, NO REACTOR, 0, -1, 2000000, 0, -998818271, NO TRIGGER, 0, 0, 522, 3
Receiving TAG, NO REACTOR, 0, -1, 2000000, 0, -998788938, NO TRIGGER, 0, 0, 1880, 2
Sending PORT_ABS, NO REACTOR, 0, -1, 2999999, -1, -998745077, NO TRIGGER, 0, 0, 1440, 1
