Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 3, -1, -1702002733017308661, 0, -1000409169, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 3, -1, -1702002733017308661, 0, -1000368056, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 3, -1, -1000356591, 0, -1000356191, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 3, -1, 0, 0, -999897393, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 3, -1, 0, 0, -999845455, NO TRIGGER, 0, 0, 522, 0
Receiving TAG, NO REACTOR, 3, -1, 0, 0, -999710991, NO TRIGGER, 0, 0, 1880, 0
Sending PORT_ABS, NO REACTOR, 3, -1, 999999, -1, -999655324, NO TRIGGER, 0, 0, 1440, 0
Sending PORT_ABS, NO REACTOR, 3, -1, 999999, -1, -999644758, NO TRIGGER, 0, 0, 1440, 1
Sending LTC, NO REACTOR, 3, -1, 0, 0, -999637142, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 3, -1, 100000000, 0, -999630364, NO TRIGGER, 0, 0, 522, 2
Receiving PORT_ABS, NO REACTOR, 3, -1, 999999, -1, -999551847, NO TRIGGER, 0, 0, 1605, 0
Receiving TAGGED_MSG, NO REACTOR, 3, -1, 1000000, 0, -999500958, NO TRIGGER, 0, 0, 1724, 0
Sending NET, NO REACTOR, 3, -1, 1000000, 0, -999454388, NO TRIGGER, 0, 0, 522, 3
Receiving TAG, NO REACTOR, 3, -1, 1000000, 0, -999438185, NO TRIGGER, 0, 0, 1880, 1
Sending TAGGED_MSG, NO REACTOR, 3, -1, 2000000, 0, -999406578, NO TRIGGER, 0, 0, 435, 0
Sending PORT_ABS, NO REACTOR, 3, -1, 1999999, -1, -999391664, NO TRIGGER, 0, 0, 1440, 2
Sending LTC, NO REACTOR, 3, -1, 1000000, 0, -999382958, NO TRIGGER, 0, 0, 522, 4
Sending NET, NO REACTOR, 3, -1, 100000000, 0, -999377130, NO TRIGGER, 0, 0, 522, 5
Receiving PORT_ABS, NO REACTOR, 3, -1, 2999999, -1, -999227932, NO TRIGGER, 0, 0, 1605, 1
Receiving PORT_ABS, NO REACTOR, 3, -1, 2999999, -1, -999189808, NO TRIGGER, 0, 0, 1605, 2
Receiving TAGGED_MSG, NO REACTOR, 3, -1, 21000000, 0, -999134961, NO TRIGGER, 0, 0, 1724, 1
Sending NET, NO REACTOR, 3, -1, 21000000, 0, -999124745, NO TRIGGER, 0, 0, 522, 6
Receiving PORT_ABS, NO REACTOR, 3, -1, 20999999, -1, -999104394, NO TRIGGER, 0, 0, 1605, 3
Receiving TAG, NO REACTOR, 3, -1, 21000000, 0, -999032984, NO TRIGGER, 0, 0, 1880, 2
Sending TAGGED_MSG, NO REACTOR, 3, -1, 22000000, 0, -999024507, NO TRIGGER, 0, 0, 435, 1
Sending PORT_ABS, NO REACTOR, 3, -1, 21999999, -1, -999010603, NO TRIGGER, 0, 0, 1440, 3
Sending LTC, NO REACTOR, 3, -1, 21000000, 0, -999002636, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 3, -1, 100000000, 0, -998996659, NO TRIGGER, 0, 0, 522, 8
Receiving PORT_ABS, NO REACTOR, 3, -1, 22999999, -1, -998875629, NO TRIGGER, 0, 0, 1605, 4
Receiving PORT_ABS, NO REACTOR, 3, -1, 22999999, -1, -998827120, NO TRIGGER, 0, 0, 1605, 5
