Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702260913612546236, 0, -1000058597, NO TRIGGER, 0, 0, 1173, 3
Sending ACK, NO REACTOR, -1, 1, -1702260913612546236, 0, -1000055385, NO TRIGGER, 0, 0, 1238, 3
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000000000, 0, -999852074, NO TRIGGER, 0, 0, 802, 3
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999838176, NO TRIGGER, 0, 0, 835, 0
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999709527, NO TRIGGER, 0, 0, 543, 0
Sending TAG, NO REACTOR, -1, 1, 0, 0, -999387345, NO TRIGGER, 0, 0, 198, 3
Sending PORT_ABS, NO REACTOR, -1, 1, 999999, -1, -999341179, NO TRIGGER, 0, 0, 356, 1
Sending PORT_ABS, NO REACTOR, -1, 1, 999999, -1, -999294036, NO TRIGGER, 0, 0, 356, 2
Sending TAG, NO REACTOR, -1, 1, 999999, -1, -999244518, NO TRIGGER, 0, 0, 198, 5
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 1000000, 0, -999209178, NO TRIGGER, 0, 0, 402, 1
Receiving PORT_ABS, NO REACTOR, -1, 1, 999999, -1, -999129697, NO TRIGGER, 0, 0, 311, 5
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999116218, NO TRIGGER, 0, 0, 517, 3
Receiving NET, NO REACTOR, -1, 1, 20000000, 0, -999102459, NO TRIGGER, 0, 0, 543, 7
Sending TAGGED_MSG, NO REACTOR, -1, 1, 2000000, 0, -998955441, NO TRIGGER, 0, 0, 479, 2
Sending PORT_ABS, NO REACTOR, -1, 1, 1999999, -1, -998860456, NO TRIGGER, 0, 0, 356, 7
Receiving NET, NO REACTOR, -1, 1, 2000000, 0, -998833497, NO TRIGGER, 0, 0, 543, 11
Sending TAG, NO REACTOR, -1, 1, 2000000, 0, -998820646, NO TRIGGER, 0, 0, 198, 8
Receiving PORT_ABS, NO REACTOR, -1, 1, 2999999, -1, -998699190, NO TRIGGER, 0, 0, 311, 10
Receiving PORT_ABS, NO REACTOR, -1, 1, 2999999, -1, -998624390, NO TRIGGER, 0, 0, 311, 11
Receiving LTC, NO REACTOR, -1, 1, 2000000, 0, -998607208, NO TRIGGER, 0, 0, 517, 7
Receiving NET, NO REACTOR, -1, 1, 20000000, 0, -998592891, NO TRIGGER, 0, 0, 543, 15
Sending TAG, NO REACTOR, -1, 1, 20000000, 0, -998591005, NO TRIGGER, 0, 0, 198, 10
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 21000000, 0, -998522490, NO TRIGGER, 0, 0, 402, 4
Receiving PORT_ABS, NO REACTOR, -1, 1, 20999999, -1, -998504331, NO TRIGGER, 0, 0, 311, 12
Receiving LTC, NO REACTOR, -1, 1, 20000000, 0, -998487639, NO TRIGGER, 0, 0, 517, 8
Receiving NET, NO REACTOR, -1, 1, 40000000, 0, -998459003, NO TRIGGER, 0, 0, 543, 16
Sending TAGGED_MSG, NO REACTOR, -1, 1, 22000000, 0, -998334615, NO TRIGGER, 0, 0, 479, 6
Sending PORT_ABS, NO REACTOR, -1, 1, 21999999, -1, -998277973, NO TRIGGER, 0, 0, 356, 15
Receiving NET, NO REACTOR, -1, 1, 22000000, 0, -998253388, NO TRIGGER, 0, 0, 543, 20
Sending TAG, NO REACTOR, -1, 1, 22000000, 0, -998197654, NO TRIGGER, 0, 0, 198, 15
Receiving PORT_ABS, NO REACTOR, -1, 1, 22999999, -1, -998131863, NO TRIGGER, 0, 0, 311, 18
Receiving PORT_ABS, NO REACTOR, -1, 1, 22999999, -1, -998096034, NO TRIGGER, 0, 0, 311, 19
Receiving LTC, NO REACTOR, -1, 1, 22000000, 0, -998079342, NO TRIGGER, 0, 0, 517, 13
Receiving NET, NO REACTOR, -1, 1, 40000000, 0, -998061672, NO TRIGGER, 0, 0, 543, 25
Sending TAG, NO REACTOR, -1, 1, 40000000, 0, -998059716, NO TRIGGER, 0, 0, 198, 16
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 41000000, 0, -997968153, NO TRIGGER, 0, 0, 402, 9
Receiving PORT_ABS, NO REACTOR, -1, 1, 40999999, -1, -997898940, NO TRIGGER, 0, 0, 311, 21
Receiving LTC, NO REACTOR, -1, 1, 40000000, 0, -997835942, NO TRIGGER, 0, 0, 517, 15
Receiving NET, NO REACTOR, -1, 1, 60000000, 0, -997786005, NO TRIGGER, 0, 0, 543, 29
Sending TAGGED_MSG, NO REACTOR, -1, 1, 42000000, 0, -997705686, NO TRIGGER, 0, 0, 479, 10
Sending PORT_ABS, NO REACTOR, -1, 1, 41999999, -1, -997644644, NO TRIGGER, 0, 0, 356, 23
Receiving NET, NO REACTOR, -1, 1, 42000000, 0, -997620898, NO TRIGGER, 0, 0, 543, 30
Sending TAG, NO REACTOR, -1, 1, 42000000, 0, -997590796, NO TRIGGER, 0, 0, 198, 21
Receiving PORT_ABS, NO REACTOR, -1, 1, 42999999, -1, -997531710, NO TRIGGER, 0, 0, 311, 25
Receiving PORT_ABS, NO REACTOR, -1, 1, 42999999, -1, -997513411, NO TRIGGER, 0, 0, 311, 27
Receiving LTC, NO REACTOR, -1, 1, 42000000, 0, -997497417, NO TRIGGER, 0, 0, 517, 18
Receiving NET, NO REACTOR, -1, 1, 60000000, 0, -997453626, NO TRIGGER, 0, 0, 543, 34
Sending TAG, NO REACTOR, -1, 1, 60000000, 0, -997416331, NO TRIGGER, 0, 0, 198, 23
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 61000000, 0, -997362552, NO TRIGGER, 0, 0, 402, 13
Receiving PORT_ABS, NO REACTOR, -1, 1, 60999999, -1, -997303396, NO TRIGGER, 0, 0, 311, 29
Receiving LTC, NO REACTOR, -1, 1, 60000000, 0, -997286564, NO TRIGGER, 0, 0, 517, 21
Receiving NET, NO REACTOR, -1, 1, 80000000, 0, -997272945, NO TRIGGER, 0, 0, 543, 37
Sending TAGGED_MSG, NO REACTOR, -1, 1, 62000000, 0, -997183477, NO TRIGGER, 0, 0, 479, 14
Sending PORT_ABS, NO REACTOR, -1, 1, 61999999, -1, -997142130, NO TRIGGER, 0, 0, 356, 30
Receiving NET, NO REACTOR, -1, 1, 62000000, 0, -997118244, NO TRIGGER, 0, 0, 543, 40
Sending TAG, NO REACTOR, -1, 1, 62000000, 0, -997062790, NO TRIGGER, 0, 0, 198, 27
Receiving PORT_ABS, NO REACTOR, -1, 1, 62999999, -1, -997004192, NO TRIGGER, 0, 0, 311, 33
Receiving PORT_ABS, NO REACTOR, -1, 1, 62999999, -1, -996981494, NO TRIGGER, 0, 0, 311, 35
Receiving LTC, NO REACTOR, -1, 1, 62000000, 0, -996965290, NO TRIGGER, 0, 0, 517, 24
Receiving NET, NO REACTOR, -1, 1, 80000000, 0, -996928274, NO TRIGGER, 0, 0, 543, 44
Sending TAG, NO REACTOR, -1, 1, 80000000, 0, -996888743, NO TRIGGER, 0, 0, 198, 29
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 81000000, 0, -996831962, NO TRIGGER, 0, 0, 402, 17
Receiving PORT_ABS, NO REACTOR, -1, 1, 80999999, -1, -996775110, NO TRIGGER, 0, 0, 311, 37
Receiving LTC, NO REACTOR, -1, 1, 80000000, 0, -996759116, NO TRIGGER, 0, 0, 517, 27
Receiving NET, NO REACTOR, -1, 1, 100000000, 0, -996744589, NO TRIGGER, 0, 0, 543, 47
Sending PORT_ABS, NO REACTOR, -1, 1, 81999999, -1, -996647229, NO TRIGGER, 0, 0, 356, 38
Sending TAGGED_MSG, NO REACTOR, -1, 1, 82000000, 0, -996624950, NO TRIGGER, 0, 0, 479, 19
Sending TAG, NO REACTOR, -1, 1, 82000000, 0, -996552314, NO TRIGGER, 0, 0, 198, 33
Receiving NET, NO REACTOR, -1, 1, 82000000, 0, -996532898, NO TRIGGER, 0, 0, 543, 53
Receiving PORT_ABS, NO REACTOR, -1, 1, 82999999, -1, -996503354, NO TRIGGER, 0, 0, 311, 40
Receiving PORT_ABS, NO REACTOR, -1, 1, 82999999, -1, -996475697, NO TRIGGER, 0, 0, 311, 42
Receiving LTC, NO REACTOR, -1, 1, 82000000, 0, -996420941, NO TRIGGER, 0, 0, 517, 31
Receiving NET, NO REACTOR, -1, 1, 100000000, 0, -996405226, NO TRIGGER, 0, 0, 543, 55
Sending TAG, NO REACTOR, -1, 1, 100000000, 0, -996402852, NO TRIGGER, 0, 0, 198, 34
Receiving PORT_ABS, NO REACTOR, -1, 1, 100999999, -1, -996343695, NO TRIGGER, 0, 0, 311, 44
Receiving LTC, NO REACTOR, -1, 1, 100000000, 0, -996324978, NO TRIGGER, 0, 0, 517, 32
Sending PORT_ABS, NO REACTOR, -1, 1, 100999999, -1, -996221611, NO TRIGGER, 0, 0, 356, 47
Receiving NET, NO REACTOR, -1, 1, 7521111123242229571, -1, -996195281, NO TRIGGER, 0, 0, 543, 57
Receiving FED_ID, NO REACTOR, -1, 2, -1702260913612546236, 0, -1009442584, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 2, -1702260913612546236, 0, -1009440209, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 2, -1009391320, 0, -1009317986, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 2, 0, 0, -999816245, NO TRIGGER, 0, 0, 835, 3
Receiving NET, NO REACTOR, -1, 2, 0, 0, -999617405, NO TRIGGER, 0, 0, 543, 1
Sending TAG, NO REACTOR, -1, 2, 0, 0, -999561322, NO TRIGGER, 0, 0, 198, 0
Receiving PORT_ABS, NO REACTOR, -1, 2, 999999, -1, -999368068, NO TRIGGER, 0, 0, 311, 0
Receiving PORT_ABS, NO REACTOR, -1, 2, 999999, -1, -999343065, NO TRIGGER, 0, 0, 311, 1
Receiving LTC, NO REACTOR, -1, 2, 0, 0, -999326023, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 2, 100000000, 0, -999305071, NO TRIGGER, 0, 0, 543, 4
Sending PORT_ABS, NO REACTOR, -1, 2, 999999, -1, -999190669, NO TRIGGER, 0, 0, 356, 4
Sending TAGGED_MSG, NO REACTOR, -1, 2, 1000000, 0, -999150091, NO TRIGGER, 0, 0, 479, 1
Sending TAG, NO REACTOR, -1, 2, 1000000, 0, -999088351, NO TRIGGER, 0, 0, 198, 7
Receiving NET, NO REACTOR, -1, 2, 1000000, 0, -999001677, NO TRIGGER, 0, 0, 543, 9
Receiving TAGGED_MSG, NO REACTOR, -1, 2, 2000000, 0, -998922476, NO TRIGGER, 0, 0, 402, 3
Receiving PORT_ABS, NO REACTOR, -1, 2, 1999999, -1, -998878685, NO TRIGGER, 0, 0, 311, 7
Receiving LTC, NO REACTOR, -1, 2, 1000000, 0, -998847186, NO TRIGGER, 0, 0, 517, 5
Receiving NET, NO REACTOR, -1, 2, 100000000, 0, -998823928, NO TRIGGER, 0, 0, 543, 12
Sending PORT_ABS, NO REACTOR, -1, 2, 2999999, -1, -998705476, NO TRIGGER, 0, 0, 356, 9
Sending PORT_ABS, NO REACTOR, -1, 2, 2999999, -1, -998653514, NO TRIGGER, 0, 0, 356, 10
Sending PORT_ABS, NO REACTOR, -1, 2, 20999999, -1, -998502864, NO TRIGGER, 0, 0, 356, 12
Sending TAGGED_MSG, NO REACTOR, -1, 2, 21000000, 0, -998481493, NO TRIGGER, 0, 0, 479, 5
Sending TAG, NO REACTOR, -1, 2, 21000000, 0, -998403200, NO TRIGGER, 0, 0, 198, 12
Receiving NET, NO REACTOR, -1, 2, 21000000, 0, -998371212, NO TRIGGER, 0, 0, 543, 19
Receiving TAGGED_MSG, NO REACTOR, -1, 2, 22000000, 0, -998336011, NO TRIGGER, 0, 0, 402, 6
Receiving PORT_ABS, NO REACTOR, -1, 2, 21999999, -1, -998317364, NO TRIGGER, 0, 0, 311, 14
Receiving LTC, NO REACTOR, -1, 2, 21000000, 0, -998300322, NO TRIGGER, 0, 0, 517, 10
Receiving NET, NO REACTOR, -1, 2, 100000000, 0, -998222448, NO TRIGGER, 0, 0, 543, 22
Sending PORT_ABS, NO REACTOR, -1, 2, 22999999, -1, -998138498, NO TRIGGER, 0, 0, 356, 17
Sending PORT_ABS, NO REACTOR, -1, 2, 22999999, -1, -998113145, NO TRIGGER, 0, 0, 356, 18
Sending PORT_ABS, NO REACTOR, -1, 2, 40999999, -1, -997956629, NO TRIGGER, 0, 0, 356, 20
Sending TAGGED_MSG, NO REACTOR, -1, 2, 41000000, 0, -997934769, NO TRIGGER, 0, 0, 479, 9
Receiving NET, NO REACTOR, -1, 2, 41000000, 0, -997827351, NO TRIGGER, 0, 0, 543, 28
Sending TAG, NO REACTOR, -1, 2, 41000000, 0, -997763236, NO TRIGGER, 0, 0, 198, 19
Receiving TAGGED_MSG, NO REACTOR, -1, 2, 42000000, 0, -997693324, NO TRIGGER, 0, 0, 402, 11
Receiving PORT_ABS, NO REACTOR, -1, 2, 41999999, -1, -997646111, NO TRIGGER, 0, 0, 311, 23
Receiving LTC, NO REACTOR, -1, 2, 41000000, 0, -997627533, NO TRIGGER, 0, 0, 517, 17
Receiving NET, NO REACTOR, -1, 2, 100000000, 0, -997610282, NO TRIGGER, 0, 0, 543, 31
Sending PORT_ABS, NO REACTOR, -1, 2, 42999999, -1, -997528916, NO TRIGGER, 0, 0, 356, 25
Sending PORT_ABS, NO REACTOR, -1, 2, 42999999, -1, -997491760, NO TRIGGER, 0, 0, 356, 27
Sending TAGGED_MSG, NO REACTOR, -1, 2, 61000000, 0, -997364927, NO TRIGGER, 0, 0, 479, 12
Sending PORT_ABS, NO REACTOR, -1, 2, 60999999, -1, -997301440, NO TRIGGER, 0, 0, 356, 29
Receiving NET, NO REACTOR, -1, 2, 61000000, 0, -997280907, NO TRIGGER, 0, 0, 543, 36
Sending TAG, NO REACTOR, -1, 2, 61000000, 0, -997251783, NO TRIGGER, 0, 0, 198, 24
Receiving TAGGED_MSG, NO REACTOR, -1, 2, 62000000, 0, -997185432, NO TRIGGER, 0, 0, 402, 14
Receiving PORT_ABS, NO REACTOR, -1, 2, 61999999, -1, -997165458, NO TRIGGER, 0, 0, 311, 30
Receiving LTC, NO REACTOR, -1, 2, 61000000, 0, -997095685, NO TRIGGER, 0, 0, 517, 23
Receiving NET, NO REACTOR, -1, 2, 100000000, 0, -997082974, NO TRIGGER, 0, 0, 543, 42
Sending PORT_ABS, NO REACTOR, -1, 2, 62999999, -1, -996997906, NO TRIGGER, 0, 0, 356, 33
Sending PORT_ABS, NO REACTOR, -1, 2, 62999999, -1, -996955931, NO TRIGGER, 0, 0, 356, 35
Sending PORT_ABS, NO REACTOR, -1, 2, 80999999, -1, -996820577, NO TRIGGER, 0, 0, 356, 36
Sending TAGGED_MSG, NO REACTOR, -1, 2, 81000000, 0, -996790475, NO TRIGGER, 0, 0, 479, 17
