Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702002732932371476, 0, -1009518459, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 1, -1702002732932371476, 0, -1009516910, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1009478518, 0, -1009364904, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999726053, NO TRIGGER, 0, 0, 835, 1
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999514607, NO TRIGGER, 0, 0, 543, 1
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999457085, NO TRIGGER, 0, 0, 237, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999328388, NO TRIGGER, 0, 0, 479, 0
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999325229, NO TRIGGER, 0, 0, 402, 1
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999305209, NO TRIGGER, 0, 0, 479, 1
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999285519, NO TRIGGER, 0, 0, 402, 3
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999213814, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999202229, NO TRIGGER, 0, 0, 543, 2
Sending PTAG, NO REACTOR, -1, 1, 1000000000, 0, -999176732, NO TRIGGER, 0, 0, 237, 3
Sending PORT_ABS, NO REACTOR, -1, 1, 1000000000, 0, -999134722, NO TRIGGER, 0, 0, 356, 0
Receiving PORT_ABS, NO REACTOR, -1, 1, 1000000000, 0, -999129905, NO TRIGGER, 0, 0, 311, 1
Sending PORT_ABS, NO REACTOR, -1, 1, 1000000000, 0, -999116751, NO TRIGGER, 0, 0, 356, 1
Receiving PORT_ABS, NO REACTOR, -1, 1, 1000000000, 0, -999099500, NO TRIGGER, 0, 0, 311, 3
Receiving LTC, NO REACTOR, -1, 1, 1000000000, 0, -999064917, NO TRIGGER, 0, 0, 517, 2
Receiving NET, NO REACTOR, -1, 1, 7521369303922404331, -1, -999054931, NO TRIGGER, 0, 0, 543, 4
Receiving FED_ID, NO REACTOR, -1, 0, -1702002732932371476, 0, -1000037841, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 0, -1702002732932371476, 0, -1000034453, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 0, -1000000000, 0, -999801047, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 0, 0, 0, -999792221, NO TRIGGER, 0, 0, 835, 0
Receiving NET, NO REACTOR, -1, 0, 0, 0, -999576557, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 0, 0, 0, -999447789, NO TRIGGER, 0, 0, 237, 1
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 0, 0, -999330287, NO TRIGGER, 0, 0, 402, 0
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 0, 0, -999297343, NO TRIGGER, 0, 0, 402, 2
Sending TAGGED_MSG, NO REACTOR, -1, 0, 0, 0, -999283950, NO TRIGGER, 0, 0, 479, 2
Sending TAGGED_MSG, NO REACTOR, -1, 0, 0, 0, -999268727, NO TRIGGER, 0, 0, 479, 3
Receiving LTC, NO REACTOR, -1, 0, 0, 0, -999197602, NO TRIGGER, 0, 0, 517, 1
Sending TAG, NO REACTOR, -1, 0, 0, 0, -999196262, NO TRIGGER, 0, 0, 198, 0
Receiving NET, NO REACTOR, -1, 0, 1000000000, 0, -999183988, NO TRIGGER, 0, 0, 543, 3
Sending PTAG, NO REACTOR, -1, 0, 1000000000, 0, -999183229, NO TRIGGER, 0, 0, 237, 2
Receiving PORT_ABS, NO REACTOR, -1, 0, 1000000000, 0, -999138331, NO TRIGGER, 0, 0, 311, 0
Receiving PORT_ABS, NO REACTOR, -1, 0, 1000000000, 0, -999114202, NO TRIGGER, 0, 0, 311, 2
Sending PORT_ABS, NO REACTOR, -1, 0, 1000000000, 0, -999098650, NO TRIGGER, 0, 0, 356, 2
Sending PORT_ABS, NO REACTOR, -1, 0, 1000000000, 0, -999080099, NO TRIGGER, 0, 0, 356, 3
Receiving LTC, NO REACTOR, -1, 0, 1000000000, 0, -999036880, NO TRIGGER, 0, 0, 517, 3
Sending TAG, NO REACTOR, -1, 0, 1000000000, 0, -999035371, NO TRIGGER, 0, 0, 198, 1
Receiving NET, NO REACTOR, -1, 0, 7521369303922404331, -1, -999017440, NO TRIGGER, 0, 0, 543, 5
