Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702002732799387232, 0, -1000094863, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702002732799387232, 0, -1000017351, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1000000000, 0, -999998790, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999780457, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999685304, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999550719, NO TRIGGER, 0, 0, 2100, 0
Sending TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999491968, NO TRIGGER, 0, 0, 435, 0
Sending TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999466121, NO TRIGGER, 0, 0, 435, 1
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999436375, NO TRIGGER, 0, 0, 1724, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999349548, NO TRIGGER, 0, 0, 1724, 1
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999317033, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -999306958, NO TRIGGER, 0, 0, 522, 2
Receiving TAG, NO REACTOR, 1, -1, 0, 0, -999283890, NO TRIGGER, 0, 0, 1880, 0
Receiving PTAG, NO REACTOR, 1, -1, 1000000000, 0, -999266888, NO TRIGGER, 0, 0, 2100, 1
Sending PORT_ABS, NO REACTOR, 1, -1, 1000000000, 0, -999260291, NO TRIGGER, 0, 0, 1440, 0
Sending PORT_ABS, NO REACTOR, 1, -1, 1000000000, 0, -999251176, NO TRIGGER, 0, 0, 1440, 1
Receiving PORT_ABS, NO REACTOR, 1, -1, 1000000000, 0, -999224639, NO TRIGGER, 0, 0, 1605, 0
Receiving PORT_ABS, NO REACTOR, 1, -1, 1000000000, 0, -999186227, NO TRIGGER, 0, 0, 1605, 1
Sending LTC, NO REACTOR, 1, -1, 1000000000, 0, -999178811, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 1, -1, 7521369304055388575, -1, -999168076, NO TRIGGER, 0, 0, 522, 4
Receiving TAG, NO REACTOR, 1, -1, 1000000000, 0, -999092023, NO TRIGGER, 0, 0, 1880, 1
