Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702260913994615775, 0, -1000171672, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 1, -1702260913994615775, 0, -1000170275, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000115379, 0, -1000040578, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999942939, NO TRIGGER, 0, 0, 835, 1
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999798575, NO TRIGGER, 0, 0, 543, 1
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999769032, NO TRIGGER, 0, 0, 237, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999639754, NO TRIGGER, 0, 0, 479, 0
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999610630, NO TRIGGER, 0, 0, 402, 1
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999606300, NO TRIGGER, 0, 0, 479, 1
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999577665, NO TRIGGER, 0, 0, 402, 3
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999512362, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999495251, NO TRIGGER, 0, 0, 543, 2
Sending PTAG, NO REACTOR, -1, 1, 1000000000, 0, -999417377, NO TRIGGER, 0, 0, 237, 3
Sending PORT_ABS, NO REACTOR, -1, 1, 1000000000, 0, -999370932, NO TRIGGER, 0, 0, 356, 0
Receiving PORT_ABS, NO REACTOR, -1, 1, 1000000000, 0, -999347046, NO TRIGGER, 0, 0, 311, 1
Sending PORT_ABS, NO REACTOR, -1, 1, 1000000000, 0, -999345090, NO TRIGGER, 0, 0, 356, 1
Receiving PORT_ABS, NO REACTOR, -1, 1, 1000000000, 0, -999327560, NO TRIGGER, 0, 0, 311, 3
Receiving LTC, NO REACTOR, -1, 1, 1000000000, 0, -999274550, NO TRIGGER, 0, 0, 517, 2
Receiving NET, NO REACTOR, -1, 1, 7521111122860160032, -1, -999261699, NO TRIGGER, 0, 0, 543, 4
Receiving FED_ID, NO REACTOR, -1, 0, -1702260913994615775, 0, -1000045327, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 0, -1702260913994615775, 0, -1000043442, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 0, -1000000000, 0, -999954602, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 0, 0, 0, -999950901, NO TRIGGER, 0, 0, 835, 0
Receiving NET, NO REACTOR, -1, 0, 0, 0, -999841598, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 0, 0, 0, -999754784, NO TRIGGER, 0, 0, 237, 1
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 0, 0, -999641640, NO TRIGGER, 0, 0, 402, 0
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 0, 0, -999602039, NO TRIGGER, 0, 0, 402, 2
Sending TAGGED_MSG, NO REACTOR, -1, 0, 0, 0, -999575779, NO TRIGGER, 0, 0, 479, 2
Sending TAGGED_MSG, NO REACTOR, -1, 0, 0, 0, -999555385, NO TRIGGER, 0, 0, 479, 3
Receiving LTC, NO REACTOR, -1, 0, 0, 0, -999453206, NO TRIGGER, 0, 0, 517, 1
Sending TAG, NO REACTOR, -1, 0, 0, 0, -999451250, NO TRIGGER, 0, 0, 198, 0
Receiving NET, NO REACTOR, -1, 0, 1000000000, 0, -999431904, NO TRIGGER, 0, 0, 543, 3
Sending PTAG, NO REACTOR, -1, 0, 1000000000, 0, -999429460, NO TRIGGER, 0, 0, 237, 2
Receiving PORT_ABS, NO REACTOR, -1, 0, 1000000000, 0, -999372329, NO TRIGGER, 0, 0, 311, 0
Receiving PORT_ABS, NO REACTOR, -1, 0, 1000000000, 0, -999338036, NO TRIGGER, 0, 0, 311, 2
Sending PORT_ABS, NO REACTOR, -1, 0, 1000000000, 0, -999326093, NO TRIGGER, 0, 0, 356, 2
Sending PORT_ABS, NO REACTOR, -1, 0, 1000000000, 0, -999306537, NO TRIGGER, 0, 0, 356, 3
Receiving LTC, NO REACTOR, -1, 0, 1000000000, 0, -999247940, NO TRIGGER, 0, 0, 517, 3
Sending TAG, NO REACTOR, -1, 0, 1000000000, 0, -999245984, NO TRIGGER, 0, 0, 198, 1
Receiving NET, NO REACTOR, -1, 0, 7521111122860160032, -1, -999228733, NO TRIGGER, 0, 0, 543, 5
