Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 3, -1, -1702260912948808200, 0, -1009741927, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 3, -1, -1702260912948808200, 0, -1009668523, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 3, -1, -1009644637, 0, -1009642332, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 3, -1, 0, 0, -999790962, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 3, -1, 0, 0, -999728942, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 3, -1, 0, 0, -999391326, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 3, -1, 0, 0, -999166574, NO TRIGGER, 0, 0, 1724, 0
Receiving TAGGED_MSG, NO REACTOR, 3, -1, 0, 0, -999073055, NO TRIGGER, 0, 0, 1724, 1
Receiving TAGGED_MSG, NO REACTOR, 3, -1, 0, 0, -999030731, NO TRIGGER, 0, 0, 1724, 2
Sending TAGGED_MSG, NO REACTOR, 3, -1, 0, 0, -999011734, NO TRIGGER, 0, 0, 435, 0
Sending LTC, NO REACTOR, 3, -1, 0, 0, -998974089, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 3, -1, 7521111123905967607, -1, -998962984, NO TRIGGER, 0, 0, 522, 2
Receiving STOP_REQ, NO REACTOR, 3, -1, 0, 1, -998694022, NO TRIGGER, 0, 0, 2284, 0
Sending STOP_REQ_REP, NO REACTOR, 3, -1, 0, 1, -998690669, NO TRIGGER, 0, 0, 2342, 0
Receiving STOP_GRN, NO REACTOR, 3, -1, 0, 1, -998532896, NO TRIGGER, 0, 0, 2239, 0
Sending NET, NO REACTOR, 3, -1, 0, 1, -998519067, NO TRIGGER, 0, 0, 522, 3
Receiving PTAG, NO REACTOR, 3, -1, 0, 1, -998428273, NO TRIGGER, 0, 0, 2100, 1
Receiving PORT_ABS, NO REACTOR, 3, -1, 0, 1, -998343834, NO TRIGGER, 0, 0, 1605, 0
Receiving PORT_ABS, NO REACTOR, 3, -1, 0, 1, -998251083, NO TRIGGER, 0, 0, 1605, 1
Receiving PORT_ABS, NO REACTOR, 3, -1, 0, 1, -998203032, NO TRIGGER, 0, 0, 1605, 2
Sending PORT_ABS, NO REACTOR, 3, -1, 0, 1, -998183057, NO TRIGGER, 0, 0, 1440, 0
Sending LTC, NO REACTOR, 3, -1, 0, 1, -998160079, NO TRIGGER, 0, 0, 522, 4
Sending NET, NO REACTOR, 3, -1, 7521111123905967607, -1, -998142549, NO TRIGGER, 0, 0, 522, 5
Receiving TAG, NO REACTOR, 3, -1, 7521111123905967607, -1, -997852215, NO TRIGGER, 0, 0, 1880, 0
