Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 2, -1, -1702002731848574664, 0, -1000523256, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 2, -1, -1702002731848574664, 0, -1000419414, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 2, -1, -1000401934, 0, -1000401064, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 2, -1, 0, 0, -999827547, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 2, -1, 0, 0, -999760505, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 2, -1, 0, 0, -999662759, NO TRIGGER, 0, 0, 2100, 0
Sending TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -999525776, NO TRIGGER, 0, 0, 435, 0
Sending TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -999348776, NO TRIGGER, 0, 0, 435, 1
Sending TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -999326219, NO TRIGGER, 0, 0, 435, 2
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -999109850, NO TRIGGER, 0, 0, 1724, 0
Receiving TAG, NO REACTOR, 2, -1, 0, 0, -999059309, NO TRIGGER, 0, 0, 1880, 0
Sending STOP_REQ, NO REACTOR, 2, -1, 0, 0, -999053012, NO TRIGGER, 0, 0, 2210, 0
Receiving STOP_REQ, NO REACTOR, 2, -1, 0, 1, -999045347, NO TRIGGER, 0, 0, 2284, 0
Sending LTC, NO REACTOR, 2, -1, 0, 0, -999025917, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 2, -1, 7521369305006201143, -1, -999016573, NO TRIGGER, 0, 0, 522, 2
Sending STOP_REQ_REP, NO REACTOR, 2, -1, 0, 1, -999001651, NO TRIGGER, 0, 0, 2342, 0
Receiving STOP_GRN, NO REACTOR, 2, -1, 0, 1, -998980803, NO TRIGGER, 0, 0, 2239, 0
Sending NET, NO REACTOR, 2, -1, 0, 1, -998967160, NO TRIGGER, 0, 0, 522, 3
Receiving PTAG, NO REACTOR, 2, -1, 0, 1, -998897340, NO TRIGGER, 0, 0, 2100, 1
Sending PORT_ABS, NO REACTOR, 2, -1, 0, 1, -998883078, NO TRIGGER, 0, 0, 1440, 0
Sending PORT_ABS, NO REACTOR, 2, -1, 0, 1, -998866077, NO TRIGGER, 0, 0, 1440, 1
Sending PORT_ABS, NO REACTOR, 2, -1, 0, 1, -998860550, NO TRIGGER, 0, 0, 1440, 2
Receiving PORT_ABS, NO REACTOR, 2, -1, 0, 1, -998731903, NO TRIGGER, 0, 0, 1605, 0
Sending LTC, NO REACTOR, 2, -1, 0, 1, -998722038, NO TRIGGER, 0, 0, 522, 4
Receiving TAG, NO REACTOR, 2, -1, 0, 1, -998713883, NO TRIGGER, 0, 0, 1880, 1
Sending NET, NO REACTOR, 2, -1, 7521369305006201143, -1, -998699251, NO TRIGGER, 0, 0, 522, 5
Receiving TAG, NO REACTOR, 2, -1, 7521369305006201143, -1, -998222719, NO TRIGGER, 0, 0, 1880, 2
