Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702002731823448408, 0, -1000211452, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702002731823448408, 0, -1000062246, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000000000, 0, -999997972, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999675263, NO TRIGGER, 0, 0, 1206, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999389534, NO TRIGGER, 0, 0, 522, 0
Sending LTC, NO REACTOR, 0, -1, 100000000, 0, -999171256, NO TRIGGER, 0, 0, 522, 1
Sending LTC, NO REACTOR, 0, -1, 200000000, 0, -999162102, NO TRIGGER, 0, 0, 522, 2
Sending LTC, NO REACTOR, 0, -1, 300000000, 0, -999156155, NO TRIGGER, 0, 0, 522, 3
Sending LTC, NO REACTOR, 0, -1, 400000000, 0, -999150208, NO TRIGGER, 0, 0, 522, 4
Sending LTC, NO REACTOR, 0, -1, 500000000, 0, -999144711, NO TRIGGER, 0, 0, 522, 5
Sending LTC, NO REACTOR, 0, -1, 600000000, 0, -999139324, NO TRIGGER, 0, 0, 522, 6
Sending LTC, NO REACTOR, 0, -1, 700000000, 0, -999133118, NO TRIGGER, 0, 0, 522, 7
Sending LTC, NO REACTOR, 0, -1, 800000000, 0, -999127821, NO TRIGGER, 0, 0, 522, 8
Sending LTC, NO REACTOR, 0, -1, 900000000, 0, -999117866, NO TRIGGER, 0, 0, 522, 9
Sending LTC, NO REACTOR, 0, -1, 1000000000, 0, -999112080, NO TRIGGER, 0, 0, 522, 10
