Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702002731823448408, 0, -1009540388, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 1, -1702002731823448408, 0, -1009537280, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1009494274, 0, -1009359680, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999698140, NO TRIGGER, 0, 0, 835, 1
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999258837, NO TRIGGER, 0, 0, 517, 0
Receiving LTC, NO REACTOR, -1, 1, 100000000, 0, -999128480, NO TRIGGER, 0, 0, 517, 6
Receiving LTC, NO REACTOR, -1, 1, 200000000, 0, -999122624, NO TRIGGER, 0, 0, 517, 7
Receiving LTC, NO REACTOR, -1, 1, 300000000, 0, -999098467, NO TRIGGER, 0, 0, 517, 14
Receiving LTC, NO REACTOR, -1, 1, 400000000, 0, -999093430, NO TRIGGER, 0, 0, 517, 15
Receiving LTC, NO REACTOR, -1, 1, 500000000, 0, -999075190, NO TRIGGER, 0, 0, 517, 16
Receiving LTC, NO REACTOR, -1, 1, 600000000, 0, -999069164, NO TRIGGER, 0, 0, 517, 17
Receiving LTC, NO REACTOR, -1, 1, 700000000, 0, -999058880, NO TRIGGER, 0, 0, 517, 18
Receiving LTC, NO REACTOR, -1, 1, 800000000, 0, -999052843, NO TRIGGER, 0, 0, 517, 19
Receiving LTC, NO REACTOR, -1, 1, 900000000, 0, -999019782, NO TRIGGER, 0, 0, 517, 20
Receiving LTC, NO REACTOR, -1, 1, 1000000000, 0, -998932461, NO TRIGGER, 0, 0, 517, 21
Receiving FED_ID, NO REACTOR, -1, 0, -1702002731823448408, 0, -1000135834, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 0, -1702002731823448408, 0, -1000131786, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 0, -1000000000, 0, -999748022, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 0, 0, 0, -999741716, NO TRIGGER, 0, 0, 835, 0
Receiving LTC, NO REACTOR, -1, 0, 0, 0, -999234861, NO TRIGGER, 0, 0, 517, 1
Receiving LTC, NO REACTOR, -1, 0, 100000000, 0, -999145041, NO TRIGGER, 0, 0, 517, 2
Receiving LTC, NO REACTOR, -1, 0, 200000000, 0, -999142363, NO TRIGGER, 0, 0, 517, 3
Receiving LTC, NO REACTOR, -1, 0, 300000000, 0, -999140184, NO TRIGGER, 0, 0, 517, 4
Receiving LTC, NO REACTOR, -1, 0, 400000000, 0, -999138195, NO TRIGGER, 0, 0, 517, 5
Receiving LTC, NO REACTOR, -1, 0, 500000000, 0, -999120485, NO TRIGGER, 0, 0, 517, 8
Receiving LTC, NO REACTOR, -1, 0, 600000000, 0, -999118116, NO TRIGGER, 0, 0, 517, 9
Receiving LTC, NO REACTOR, -1, 0, 700000000, 0, -999116147, NO TRIGGER, 0, 0, 517, 10
Receiving LTC, NO REACTOR, -1, 0, 800000000, 0, -999110061, NO TRIGGER, 0, 0, 517, 11
Receiving LTC, NO REACTOR, -1, 0, 900000000, 0, -999107942, NO TRIGGER, 0, 0, 517, 12
Receiving LTC, NO REACTOR, -1, 0, 1000000000, 0, -999100686, NO TRIGGER, 0, 0, 517, 13
