Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 2, -1, -1702260912975538733, 0, -1000085906, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 2, -1, -1702260912975538733, 0, -1000020184, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 2, -1, -1000000000, 0, -999997625, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 2, -1, 0, 0, -999829236, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 2, -1, 0, 0, -999742841, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 2, -1, 0, 0, -999552033, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -999476743, NO TRIGGER, 0, 0, 1724, 0
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -999416609, NO TRIGGER, 0, 0, 1724, 1
Receiving TAG, NO REACTOR, 2, -1, 0, 0, -999404247, NO TRIGGER, 0, 0, 1880, 0
Sending LTC, NO REACTOR, 2, -1, 0, 0, -999394120, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 2, -1, 3000000000, 0, -999278950, NO TRIGGER, 0, 0, 522, 2
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 1000000000, 0, -999231178, NO TRIGGER, 0, 0, 1724, 2
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 2000000000, 0, -999220841, NO TRIGGER, 0, 0, 1724, 3
Sending NET, NO REACTOR, 2, -1, 1000000000, 0, -999217419, NO TRIGGER, 0, 0, 522, 3
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 3000000000, 0, -999185082, NO TRIGGER, 0, 0, 1724, 4
Sending NET, NO REACTOR, 2, -1, 1000000000, 0, -999183127, NO TRIGGER, 0, 0, 522, 4
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 1000000000, 0, -999152676, NO TRIGGER, 0, 0, 1724, 5
Sending NET, NO REACTOR, 2, -1, 1000000000, 0, -999143526, NO TRIGGER, 0, 0, 522, 5
Receiving TAG, NO REACTOR, 2, -1, 1000000000, 0, -999120758, NO TRIGGER, 0, 0, 1880, 1
Sending NET, NO REACTOR, 2, -1, 1000000000, 0, -999112726, NO TRIGGER, 0, 0, 522, 6
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 2000000000, 0, -999081017, NO TRIGGER, 0, 0, 1724, 6
Sending LTC, NO REACTOR, 2, -1, 1000000000, 0, -999031779, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 2, -1, 2000000000, 0, -999016134, NO TRIGGER, 0, 0, 522, 8
Receiving TAG, NO REACTOR, 2, -1, 2000000000, 0, -998988966, NO TRIGGER, 0, 0, 1880, 2
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 3000000000, 0, -998981772, NO TRIGGER, 0, 0, 1724, 7
Sending LTC, NO REACTOR, 2, -1, 2000000000, 0, -998978350, NO TRIGGER, 0, 0, 522, 9
Sending NET, NO REACTOR, 2, -1, 3000000000, 0, -998968362, NO TRIGGER, 0, 0, 522, 10
Receiving TAG, NO REACTOR, 2, -1, 3000000000, 0, -998946851, NO TRIGGER, 0, 0, 1880, 3
Sending LTC, NO REACTOR, 2, -1, 3000000000, 0, -998943987, NO TRIGGER, 0, 0, 522, 11
Sending NET, NO REACTOR, 2, -1, 7521111123879237074, -1, -998928412, NO TRIGGER, 0, 0, 522, 12
Receiving TAG, NO REACTOR, 2, -1, 7521111123879237074, -1, -998907320, NO TRIGGER, 0, 0, 1880, 4
