Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702002731879079917, 0, -1001179397, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702002731879079917, 0, -1000968016, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1000922951, 0, -1000921991, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999818122, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999733379, NO TRIGGER, 0, 0, 522, 0
Sending TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999635285, NO TRIGGER, 0, 0, 435, 0
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999598475, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -999590060, NO TRIGGER, 0, 0, 522, 2
Sending TAGGED_MSG, NO REACTOR, 1, -1, 1000000000, 0, -999537140, NO TRIGGER, 0, 0, 435, 1
Sending LTC, NO REACTOR, 1, -1, 1000000000, 0, -999514173, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 1, -1, 2000000000, 0, -999506017, NO TRIGGER, 0, 0, 522, 4
Sending TAGGED_MSG, NO REACTOR, 1, -1, 2000000000, 0, -999498062, NO TRIGGER, 0, 0, 435, 2
Sending LTC, NO REACTOR, 1, -1, 2000000000, 0, -999483150, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 1, -1, 3000000000, 0, -999476394, NO TRIGGER, 0, 0, 522, 6
Sending TAGGED_MSG, NO REACTOR, 1, -1, 3000000000, 0, -999465770, NO TRIGGER, 0, 0, 435, 3
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999414719, NO TRIGGER, 0, 0, 2100, 0
Sending LTC, NO REACTOR, 1, -1, 3000000000, 0, -999207045, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 1, -1, 7521369304975695890, -1, -999200539, NO TRIGGER, 0, 0, 522, 8
Receiving PTAG, NO REACTOR, 1, -1, 3000000000, 0, -999099366, NO TRIGGER, 0, 0, 2100, 1
