Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702260912975538733, 0, -1000252828, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 1, -1702260912975538733, 0, -1000250035, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000180961, 0, -1000103157, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999910113, NO TRIGGER, 0, 0, 835, 1
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999573055, NO TRIGGER, 0, 0, 237, 2
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999547283, NO TRIGGER, 0, 0, 543, 2
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999481911, NO TRIGGER, 0, 0, 402, 1
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999449993, NO TRIGGER, 0, 0, 517, 1
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999422266, NO TRIGGER, 0, 0, 543, 4
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 1000000000, 0, -999328049, NO TRIGGER, 0, 0, 402, 5
Receiving LTC, NO REACTOR, -1, 1, 1000000000, 0, -999284677, NO TRIGGER, 0, 0, 517, 6
Receiving NET, NO REACTOR, -1, 1, 2000000000, 0, -999267985, NO TRIGGER, 0, 0, 543, 8
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 2000000000, 0, -999258905, NO TRIGGER, 0, 0, 402, 6
Receiving LTC, NO REACTOR, -1, 1, 2000000000, 0, -999238442, NO TRIGGER, 0, 0, 517, 7
Receiving NET, NO REACTOR, -1, 1, 3000000000, 0, -999220841, NO TRIGGER, 0, 0, 543, 9
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 3000000000, 0, -999195908, NO TRIGGER, 0, 0, 402, 7
Receiving LTC, NO REACTOR, -1, 1, 3000000000, 0, -999174536, NO TRIGGER, 0, 0, 517, 8
Receiving NET, NO REACTOR, -1, 1, 7521111123879237074, -1, -999155050, NO TRIGGER, 0, 0, 543, 11
Receiving FED_ID, NO REACTOR, -1, 2, -1702260912975538733, 0, -1000044489, NO TRIGGER, 0, 0, 1173, 2
Sending ACK, NO REACTOR, -1, 2, -1702260912975538733, 0, -1000042115, NO TRIGGER, 0, 0, 1238, 2
Receiving TIMESTAMP, NO REACTOR, -1, 2, -1000000000, 0, -999923383, NO TRIGGER, 0, 0, 802, 2
Sending TIMESTAMP, NO REACTOR, -1, 2, 0, 0, -999918215, NO TRIGGER, 0, 0, 835, 0
Receiving NET, NO REACTOR, -1, 2, 0, 0, -999674187, NO TRIGGER, 0, 0, 543, 1
Sending PTAG, NO REACTOR, -1, 2, 0, 0, -999624180, NO TRIGGER, 0, 0, 237, 0
Sending TAGGED_MSG, NO REACTOR, -1, 2, 0, 0, -999500140, NO TRIGGER, 0, 0, 479, 0
Sending TAGGED_MSG, NO REACTOR, -1, 2, 0, 0, -999479606, NO TRIGGER, 0, 0, 479, 1
Sending TAG, NO REACTOR, -1, 2, 0, 0, -999440076, NO TRIGGER, 0, 0, 198, 0
Sending TAGGED_MSG, NO REACTOR, -1, 2, 1000000000, 0, -999416609, NO TRIGGER, 0, 0, 479, 2
Sending TAGGED_MSG, NO REACTOR, -1, 2, 2000000000, 0, -999387974, NO TRIGGER, 0, 0, 479, 3
Sending TAGGED_MSG, NO REACTOR, -1, 2, 3000000000, 0, -999340551, NO TRIGGER, 0, 0, 479, 4
Sending TAGGED_MSG, NO REACTOR, -1, 2, 1000000000, 0, -999326093, NO TRIGGER, 0, 0, 479, 5
Receiving LTC, NO REACTOR, -1, 2, 0, 0, -999300880, NO TRIGGER, 0, 0, 517, 5
Sending TAG, NO REACTOR, -1, 2, 1000000000, 0, -999282722, NO TRIGGER, 0, 0, 198, 1
Sending TAGGED_MSG, NO REACTOR, -1, 2, 2000000000, 0, -999257928, NO TRIGGER, 0, 0, 479, 6
Sending TAG, NO REACTOR, -1, 2, 2000000000, 0, -999237464, NO TRIGGER, 0, 0, 198, 2
Receiving NET, NO REACTOR, -1, 2, 3000000000, 0, -999215045, NO TRIGGER, 0, 0, 543, 10
Sending TAGGED_MSG, NO REACTOR, -1, 2, 3000000000, 0, -999193533, NO TRIGGER, 0, 0, 479, 7
Sending TAG, NO REACTOR, -1, 2, 3000000000, 0, -999172581, NO TRIGGER, 0, 0, 198, 3
Receiving NET, NO REACTOR, -1, 2, 1000000000, 0, -999151698, NO TRIGGER, 0, 0, 543, 12
Receiving NET, NO REACTOR, -1, 2, 1000000000, 0, -999146390, NO TRIGGER, 0, 0, 543, 13
Receiving NET, NO REACTOR, -1, 2, 1000000000, 0, -999107907, NO TRIGGER, 0, 0, 543, 14
Receiving NET, NO REACTOR, -1, 2, 1000000000, 0, -999047144, NO TRIGGER, 0, 0, 543, 15
Receiving LTC, NO REACTOR, -1, 2, 1000000000, 0, -998990362, NO TRIGGER, 0, 0, 517, 9
Sending TAG, NO REACTOR, -1, 2, 7521111123879237074, -1, -998949784, NO TRIGGER, 0, 0, 198, 4
Receiving NET, NO REACTOR, -1, 2, 2000000000, 0, -998923593, NO TRIGGER, 0, 0, 543, 16
Receiving LTC, NO REACTOR, -1, 2, 2000000000, 0, -998915352, NO TRIGGER, 0, 0, 517, 10
Receiving NET, NO REACTOR, -1, 2, 3000000000, 0, -998909136, NO TRIGGER, 0, 0, 543, 17
Receiving LTC, NO REACTOR, -1, 2, 3000000000, 0, -998903968, NO TRIGGER, 0, 0, 517, 11
Receiving NET, NO REACTOR, -1, 2, 7521111123879237074, -1, -998888742, NO TRIGGER, 0, 0, 543, 18
Receiving FED_ID, NO REACTOR, -1, 0, -1702260912975538733, 0, -1000397472, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 0, -1702260912975538733, 0, -1000393700, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 0, -1000338315, 0, -1000242562, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 0, 0, 0, -999903897, NO TRIGGER, 0, 0, 835, 2
Receiving NET, NO REACTOR, -1, 0, 0, 0, -999747660, NO TRIGGER, 0, 0, 543, 0
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 0, 0, -999599316, NO TRIGGER, 0, 0, 402, 0
Sending PTAG, NO REACTOR, -1, 0, 0, 0, -999586395, NO TRIGGER, 0, 0, 237, 1
Receiving LTC, NO REACTOR, -1, 0, 0, 0, -999460470, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 0, 1000000000, 0, -999425618, NO TRIGGER, 0, 0, 543, 3
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 1000000000, 0, -999417517, NO TRIGGER, 0, 0, 402, 2
Receiving LTC, NO REACTOR, -1, 0, 1000000000, 0, -999400894, NO TRIGGER, 0, 0, 517, 2
Receiving NET, NO REACTOR, -1, 0, 2000000000, 0, -999395586, NO TRIGGER, 0, 0, 543, 5
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 2000000000, 0, -999389370, NO TRIGGER, 0, 0, 402, 3
Receiving LTC, NO REACTOR, -1, 0, 2000000000, 0, -999372469, NO TRIGGER, 0, 0, 517, 3
Receiving NET, NO REACTOR, -1, 0, 3000000000, 0, -999367230, NO TRIGGER, 0, 0, 543, 6
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 3000000000, 0, -999342367, NO TRIGGER, 0, 0, 402, 4
Receiving LTC, NO REACTOR, -1, 0, 3000000000, 0, -999324208, NO TRIGGER, 0, 0, 517, 4
Receiving NET, NO REACTOR, -1, 0, 7521111123879237074, -1, -999291801, NO TRIGGER, 0, 0, 543, 7
