Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702002732998221942, 0, -1000089856, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702002732998221942, 0, -1000024678, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000000000, 0, -999999250, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999901458, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999841328, NO TRIGGER, 0, 0, 522, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 200000000, 0, -999788543, NO TRIGGER, 0, 0, 435, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999765794, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 1000000000, 0, -999759927, NO TRIGGER, 0, 0, 522, 2
Sending TAGGED_MSG, NO REACTOR, 0, -1, 1200000000, 0, -999717608, NO TRIGGER, 0, 0, 435, 1
Sending LTC, NO REACTOR, 0, -1, 1000000000, 0, -999702915, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 0, -1, 2000000000, 0, -999698198, NO TRIGGER, 0, 0, 522, 4
Sending TAGGED_MSG, NO REACTOR, 0, -1, 2200000000, 0, -999692590, NO TRIGGER, 0, 0, 435, 2
Sending LTC, NO REACTOR, 0, -1, 2000000000, 0, -999683375, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 0, -1, 3000000000, 0, -999678127, NO TRIGGER, 0, 0, 522, 6
Sending TAGGED_MSG, NO REACTOR, 0, -1, 3200000000, 0, -999673290, NO TRIGGER, 0, 0, 435, 3
Sending LTC, NO REACTOR, 0, -1, 3000000000, 0, -999664064, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 0, -1, 4000000000, 0, -999662265, NO TRIGGER, 0, 0, 522, 8
Sending TAGGED_MSG, NO REACTOR, 0, -1, 4200000000, 0, -999660736, NO TRIGGER, 0, 0, 435, 4
Sending LTC, NO REACTOR, 0, -1, 4000000000, 0, -999658587, NO TRIGGER, 0, 0, 522, 9
Sending NET, NO REACTOR, 0, -1, 5000000000, 0, -999657447, NO TRIGGER, 0, 0, 522, 10
Sending LTC, NO REACTOR, 0, -1, 5000000000, 0, -999655698, NO TRIGGER, 0, 0, 522, 11
Sending NET, NO REACTOR, 0, -1, 7521369303856553865, -1, -999654249, NO TRIGGER, 0, 0, 522, 12
