Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702260913800747406, 0, -1010337540, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702260913800747406, 0, -1010261762, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1010242695, 0, -1010240739, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999819388, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999763095, NO TRIGGER, 0, 0, 522, 0
Receiving TAG, NO REACTOR, 1, -1, 0, 0, -999678726, NO TRIGGER, 0, 0, 1880, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 200000000, 0, -999613912, NO TRIGGER, 0, 0, 1724, 0
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999601830, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 1, -1, 5000000000, 0, -999531638, NO TRIGGER, 0, 0, 522, 2
Receiving TAG, NO REACTOR, 1, -1, 200000000, 0, -999494063, NO TRIGGER, 0, 0, 1880, 1
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 1200000000, 0, -999489244, NO TRIGGER, 0, 0, 1724, 1
Sending LTC, NO REACTOR, 1, -1, 200000000, 0, -999403338, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 1, -1, 5000000000, 0, -999380989, NO TRIGGER, 0, 0, 522, 4
Receiving TAG, NO REACTOR, 1, -1, 1199999999, -1, -999338036, NO TRIGGER, 0, 0, 1880, 2
Sending NET, NO REACTOR, 1, -1, 1200000000, 0, -999330074, NO TRIGGER, 0, 0, 522, 5
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 2200000000, 0, -999314429, NO TRIGGER, 0, 0, 1724, 2
Receiving TAG, NO REACTOR, 1, -1, 2199999999, -1, -999284118, NO TRIGGER, 0, 0, 1880, 3
Sending LTC, NO REACTOR, 1, -1, 1200000000, 0, -999278880, NO TRIGGER, 0, 0, 522, 6
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 3200000000, 0, -999271686, NO TRIGGER, 0, 0, 1724, 3
Sending NET, NO REACTOR, 1, -1, 2200000000, 0, -999242562, NO TRIGGER, 0, 0, 522, 7
Receiving TAG, NO REACTOR, 1, -1, 3199999999, -1, -999199679, NO TRIGGER, 0, 0, 1880, 4
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 4200000000, 0, -999186339, NO TRIGGER, 0, 0, 1724, 4
Sending LTC, NO REACTOR, 1, -1, 2200000000, 0, -999182428, NO TRIGGER, 0, 0, 522, 8
Sending NET, NO REACTOR, 1, -1, 3200000000, 0, -999144853, NO TRIGGER, 0, 0, 522, 9
Receiving TAG, NO REACTOR, 1, -1, 4199999999, -1, -999101551, NO TRIGGER, 0, 0, 1880, 5
Receiving TAG, NO REACTOR, 1, -1, 5199999999, -1, -999086116, NO TRIGGER, 0, 0, 1880, 6
Sending LTC, NO REACTOR, 1, -1, 3200000000, 0, -999081366, NO TRIGGER, 0, 0, 522, 10
Sending LTC, NO REACTOR, 1, -1, 4200000000, 0, -999062998, NO TRIGGER, 0, 0, 522, 11
Sending LTC, NO REACTOR, 1, -1, 5000000000, 0, -999047283, NO TRIGGER, 0, 0, 522, 12
Sending NET, NO REACTOR, 1, -1, 7521111123054028401, -1, -999028915, NO TRIGGER, 0, 0, 522, 13
Receiving TAG, NO REACTOR, 1, -1, 7521111123054028401, -1, -998844811, NO TRIGGER, 0, 0, 1880, 7
