Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702002732998221942, 0, -1000630842, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 1, -1702002732998221942, 0, -1000628793, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000594110, 0, -1000476337, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999940429, NO TRIGGER, 0, 0, 835, 1
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999827314, NO TRIGGER, 0, 0, 543, 0
Sending TAG, NO REACTOR, -1, 1, 0, 0, -999787364, NO TRIGGER, 0, 0, 198, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 200000000, 0, -999745434, NO TRIGGER, 0, 0, 479, 0
Sending TAG, NO REACTOR, -1, 1, 200000000, 0, -999724405, NO TRIGGER, 0, 0, 198, 1
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999709032, NO TRIGGER, 0, 0, 517, 1
Receiving NET, NO REACTOR, -1, 1, 5000000000, 0, -999700676, NO TRIGGER, 0, 0, 543, 3
Sending TAGGED_MSG, NO REACTOR, -1, 1, 1200000000, 0, -999689482, NO TRIGGER, 0, 0, 479, 1
Sending TAG, NO REACTOR, -1, 1, 1199999999, -1, -999661186, NO TRIGGER, 0, 0, 198, 2
Receiving LTC, NO REACTOR, -1, 1, 200000000, 0, -999637537, NO TRIGGER, 0, 0, 517, 3
Receiving NET, NO REACTOR, -1, 1, 5000000000, 0, -999634149, NO TRIGGER, 0, 0, 543, 5
Sending TAG, NO REACTOR, -1, 1, 1200000000, 0, -999632729, NO TRIGGER, 0, 0, 198, 3
Sending TAGGED_MSG, NO REACTOR, -1, 1, 2200000000, 0, -999612989, NO TRIGGER, 0, 0, 479, 2
Receiving NET, NO REACTOR, -1, 1, 1200000000, 0, -999588851, NO TRIGGER, 0, 0, 543, 6
Sending TAG, NO REACTOR, -1, 1, 2199999999, -1, -999576257, NO TRIGGER, 0, 0, 198, 4
Receiving NET, NO REACTOR, -1, 1, 1200000000, 0, -999551229, NO TRIGGER, 0, 0, 543, 8
Receiving LTC, NO REACTOR, -1, 1, 1200000000, 0, -999546422, NO TRIGGER, 0, 0, 517, 5
Sending TAGGED_MSG, NO REACTOR, -1, 1, 3200000000, 0, -999539145, NO TRIGGER, 0, 0, 479, 3
Sending TAG, NO REACTOR, -1, 1, 2200000000, 0, -999520374, NO TRIGGER, 0, 0, 198, 5
Receiving NET, NO REACTOR, -1, 1, 5000000000, 0, -999510509, NO TRIGGER, 0, 0, 543, 9
Receiving NET, NO REACTOR, -1, 1, 2200000000, 0, -999505552, NO TRIGGER, 0, 0, 543, 10
Sending TAG, NO REACTOR, -1, 1, 3199999999, -1, -999504372, NO TRIGGER, 0, 0, 198, 6
Sending TAGGED_MSG, NO REACTOR, -1, 1, 4200000000, 0, -999486721, NO TRIGGER, 0, 0, 479, 4
Sending TAG, NO REACTOR, -1, 1, 4199999999, -1, -999475876, NO TRIGGER, 0, 0, 198, 7
Receiving NET, NO REACTOR, -1, 1, 2200000000, 0, -999466141, NO TRIGGER, 0, 0, 543, 13
Sending TAG, NO REACTOR, -1, 1, 5199999999, -1, -999463812, NO TRIGGER, 0, 0, 198, 8
Receiving LTC, NO REACTOR, -1, 1, 2200000000, 0, -999453817, NO TRIGGER, 0, 0, 517, 9
Sending TAG, NO REACTOR, -1, 1, 7521369303856553865, -1, -999437835, NO TRIGGER, 0, 0, 198, 9
Receiving NET, NO REACTOR, -1, 1, 3200000000, 0, -999425751, NO TRIGGER, 0, 0, 543, 15
Receiving LTC, NO REACTOR, -1, 1, 3200000000, 0, -999421793, NO TRIGGER, 0, 0, 517, 10
Receiving NET, NO REACTOR, -1, 1, 4200000000, 0, -999418874, NO TRIGGER, 0, 0, 543, 16
Receiving LTC, NO REACTOR, -1, 1, 4200000000, 0, -999408299, NO TRIGGER, 0, 0, 517, 11
Receiving LTC, NO REACTOR, -1, 1, 5000000000, 0, -999405261, NO TRIGGER, 0, 0, 517, 12
Receiving FED_ID, NO REACTOR, -1, 0, -1702002732998221942, 0, -1000045938, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 0, -1702002732998221942, 0, -1000044908, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 0, -1000000000, 0, -999950574, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 0, 0, 0, -999947836, NO TRIGGER, 0, 0, 835, 0
Receiving NET, NO REACTOR, -1, 0, 0, 0, -999771931, NO TRIGGER, 0, 0, 543, 1
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 200000000, 0, -999746324, NO TRIGGER, 0, 0, 402, 0
Receiving LTC, NO REACTOR, -1, 0, 0, 0, -999733840, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 0, 1000000000, 0, -999725054, NO TRIGGER, 0, 0, 543, 2
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 1200000000, 0, -999691871, NO TRIGGER, 0, 0, 402, 1
Receiving LTC, NO REACTOR, -1, 0, 1000000000, 0, -999662785, NO TRIGGER, 0, 0, 517, 2
Receiving NET, NO REACTOR, -1, 0, 2000000000, 0, -999638916, NO TRIGGER, 0, 0, 543, 4
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 2200000000, 0, -999629321, NO TRIGGER, 0, 0, 402, 2
Receiving LTC, NO REACTOR, -1, 0, 2000000000, 0, -999590400, NO TRIGGER, 0, 0, 517, 4
Receiving NET, NO REACTOR, -1, 0, 3000000000, 0, -999553478, NO TRIGGER, 0, 0, 543, 7
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 3200000000, 0, -999539615, NO TRIGGER, 0, 0, 402, 3
Receiving LTC, NO REACTOR, -1, 0, 3000000000, 0, -999511229, NO TRIGGER, 0, 0, 517, 6
Receiving NET, NO REACTOR, -1, 0, 4000000000, 0, -999491169, NO TRIGGER, 0, 0, 543, 11
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 4200000000, 0, -999487131, NO TRIGGER, 0, 0, 402, 4
Receiving LTC, NO REACTOR, -1, 0, 4000000000, 0, -999476216, NO TRIGGER, 0, 0, 517, 7
Receiving NET, NO REACTOR, -1, 0, 5000000000, 0, -999467870, NO TRIGGER, 0, 0, 543, 12
Receiving LTC, NO REACTOR, -1, 0, 5000000000, 0, -999464382, NO TRIGGER, 0, 0, 517, 8
Receiving NET, NO REACTOR, -1, 0, 7521369303856553865, -1, -999454986, NO TRIGGER, 0, 0, 543, 14
