Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702260913717366259, 0, -1000301020, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702260913717366259, 0, -1000120618, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000102598, 0, -1000101621, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999888881, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999852284, NO TRIGGER, 0, 0, 522, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999795503, NO TRIGGER, 0, 0, 435, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999772594, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 900000000, 0, -999763096, NO TRIGGER, 0, 0, 522, 2
Sending PORT_ABS, NO REACTOR, 0, -1, 900000000, 0, -999753108, NO TRIGGER, 0, 0, 1440, 0
Sending LTC, NO REACTOR, 0, -1, 900000000, 0, -999744518, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 0, -1, 7521111123137409548, -1, -999735857, NO TRIGGER, 0, 0, 522, 4
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999689692, NO TRIGGER, 0, 0, 2100, 0
