Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702260913717366259, 0, -1000113424, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702260913717366259, 0, -1000025632, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1000000000, 0, -999998534, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999897332, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999837967, NO TRIGGER, 0, 0, 522, 0
Sending PORT_ABS, NO REACTOR, 1, -1, 0, 0, -999689692, NO TRIGGER, 0, 0, 1440, 0
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999685850, NO TRIGGER, 0, 0, 2100, 0
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999642828, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 1, -1, 0, 1, -999620199, NO TRIGGER, 0, 0, 522, 2
Sending TAGGED_MSG, NO REACTOR, 1, -1, 0, 1, -999596592, NO TRIGGER, 0, 0, 435, 0
Sending LTC, NO REACTOR, 1, -1, 0, 1, -999565093, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 1, -1, 900000000, 0, -999546446, NO TRIGGER, 0, 0, 522, 4
Sending PORT_ABS, NO REACTOR, 1, -1, 900000000, 0, -999526052, NO TRIGGER, 0, 0, 1440, 1
Sending LTC, NO REACTOR, 1, -1, 900000000, 0, -999489804, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 1, -1, 7521111123137409548, -1, -999473111, NO TRIGGER, 0, 0, 522, 6
