Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 2, -1, -1702002732546479463, 0, -1000079521, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 2, -1, -1702002732546479463, 0, -1000014823, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 2, -1, -1000000000, 0, -999999371, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 2, -1, 0, 0, -999861888, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 2, -1, 0, 0, -999795040, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 2, -1, 0, 0, -999709752, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -999623654, NO TRIGGER, 0, 0, 1724, 0
Receiving PORT_ABS, NO REACTOR, 2, -1, 0, 0, -999514417, NO TRIGGER, 0, 0, 1605, 0
Sending LTC, NO REACTOR, 2, -1, 0, 0, -999500834, NO TRIGGER, 0, 0, 522, 1
Receiving PORT_ABS, NO REACTOR, 2, -1, 900000000, 0, -999492688, NO TRIGGER, 0, 0, 1605, 1
Sending NET, NO REACTOR, 2, -1, 900000000, 0, -999469989, NO TRIGGER, 0, 0, 522, 2
Receiving TAG, NO REACTOR, 2, -1, 0, 0, -999450219, NO TRIGGER, 0, 0, 1880, 0
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 0, 1, -999278773, NO TRIGGER, 0, 0, 1724, 1
Receiving TAG, NO REACTOR, 2, -1, 0, 1, -999267518, NO TRIGGER, 0, 0, 1880, 1
Receiving PORT_ABS, NO REACTOR, 2, -1, 900000000, 0, -999264889, NO TRIGGER, 0, 0, 1605, 2
Receiving TAG, NO REACTOR, 2, -1, 900000000, 0, -999262161, NO TRIGGER, 0, 0, 1880, 2
Sending LTC, NO REACTOR, 2, -1, 0, 1, -999256054, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 2, -1, 900000000, 0, -999235974, NO TRIGGER, 0, 0, 522, 4
Sending LTC, NO REACTOR, 2, -1, 900000000, 0, -999205109, NO TRIGGER, 0, 0, 522, 5
Receiving TAG, NO REACTOR, 2, -1, 7521369304308296344, -1, -999194034, NO TRIGGER, 0, 0, 1880, 3
Sending NET, NO REACTOR, 2, -1, 7521369304308296344, -1, -999192545, NO TRIGGER, 0, 0, 522, 6
