Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702260913960989032, 0, -1000094706, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702260913960989032, 0, -1000020114, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1000000000, 0, -999998603, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999792569, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999717698, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999554198, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999508451, NO TRIGGER, 0, 0, 1724, 0
Receiving TAG, NO REACTOR, 1, -1, 0, 0, -999455930, NO TRIGGER, 0, 0, 1880, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 1, -999450692, NO TRIGGER, 0, 0, 1724, 1
Receiving TAG, NO REACTOR, 1, -1, 0, 1, -999427853, NO TRIGGER, 0, 0, 1880, 1
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 2, -999422545, NO TRIGGER, 0, 0, 1724, 2
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999420171, NO TRIGGER, 0, 0, 522, 1
Sending LTC, NO REACTOR, 1, -1, 0, 1, -999391046, NO TRIGGER, 0, 0, 522, 2
Sending NET, NO REACTOR, 1, -1, 1000000, 0, -999377357, NO TRIGGER, 0, 0, 522, 3
Receiving TAG, NO REACTOR, 1, -1, 0, 2, -999354309, NO TRIGGER, 0, 0, 1880, 2
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 3, -999349630, NO TRIGGER, 0, 0, 1724, 3
Sending LTC, NO REACTOR, 1, -1, 0, 2, -999344951, NO TRIGGER, 0, 0, 522, 4
Sending NET, NO REACTOR, 1, -1, 1000000, 0, -999335801, NO TRIGGER, 0, 0, 522, 5
Receiving TAG, NO REACTOR, 1, -1, 0, 3, -999309261, NO TRIGGER, 0, 0, 1880, 3
Sending NET, NO REACTOR, 1, -1, 0, 3, -999306398, NO TRIGGER, 0, 0, 522, 6
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 4, -999283210, NO TRIGGER, 0, 0, 1724, 4
Sending LTC, NO REACTOR, 1, -1, 0, 3, -999275178, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 1, -1, 0, 4, -999265121, NO TRIGGER, 0, 0, 522, 8
Receiving TAG, NO REACTOR, 1, -1, 0, 4, -999246054, NO TRIGGER, 0, 0, 1880, 4
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 5, -999240886, NO TRIGGER, 0, 0, 1724, 5
