Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702260913960989032, 0, -1000564464, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702260913960989032, 0, -1000494412, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000476183, 0, -1000474717, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999788727, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999726289, NO TRIGGER, 0, 0, 522, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999608395, NO TRIGGER, 0, 0, 435, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999575988, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 0, 1, -999567607, NO TRIGGER, 0, 0, 522, 2
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 1, -999551334, NO TRIGGER, 0, 0, 435, 1
Sending LTC, NO REACTOR, 0, -1, 0, 1, -999529962, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 0, -1, 0, 2, -999519416, NO TRIGGER, 0, 0, 522, 4
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 2, -999508451, NO TRIGGER, 0, 0, 435, 2
Sending LTC, NO REACTOR, 0, -1, 0, 2, -999489803, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 0, -1, 0, 3, -999480235, NO TRIGGER, 0, 0, 522, 6
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 3, -999469339, NO TRIGGER, 0, 0, 435, 3
Sending LTC, NO REACTOR, 0, -1, 0, 3, -999453066, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 0, -1, 0, 4, -999448806, NO TRIGGER, 0, 0, 522, 8
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999438399, NO TRIGGER, 0, 0, 2100, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 4, -999426875, NO TRIGGER, 0, 0, 435, 4
Sending LTC, NO REACTOR, 0, -1, 0, 4, -999415421, NO TRIGGER, 0, 0, 522, 9
Sending NET, NO REACTOR, 0, -1, 0, 5, -999411650, NO TRIGGER, 0, 0, 522, 10
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 5, -999407808, NO TRIGGER, 0, 0, 435, 5
Sending LTC, NO REACTOR, 0, -1, 0, 5, -999382107, NO TRIGGER, 0, 0, 522, 11
Sending NET, NO REACTOR, 0, -1, 0, 6, -999374005, NO TRIGGER, 0, 0, 522, 12
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 6, -999366322, NO TRIGGER, 0, 0, 435, 6
Sending LTC, NO REACTOR, 0, -1, 0, 6, -999351027, NO TRIGGER, 0, 0, 522, 13
Sending NET, NO REACTOR, 0, -1, 0, 7, -999342576, NO TRIGGER, 0, 0, 522, 14
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 7, -999332449, NO TRIGGER, 0, 0, 435, 7
Sending LTC, NO REACTOR, 0, -1, 0, 7, -999315826, NO TRIGGER, 0, 0, 522, 15
Sending NET, NO REACTOR, 0, -1, 0, 8, -999307795, NO TRIGGER, 0, 0, 522, 16
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 8, -999299274, NO TRIGGER, 0, 0, 435, 8
Sending LTC, NO REACTOR, 0, -1, 0, 8, -999283210, NO TRIGGER, 0, 0, 522, 17
Sending NET, NO REACTOR, 0, -1, 0, 9, -999273781, NO TRIGGER, 0, 0, 522, 18
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 9, -999265121, NO TRIGGER, 0, 0, 435, 9
Sending LTC, NO REACTOR, 0, -1, 0, 9, -999248918, NO TRIGGER, 0, 0, 522, 19
Sending NET, NO REACTOR, 0, -1, 400000000, 0, -999239419, NO TRIGGER, 0, 0, 522, 20
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 0, -999236067, NO TRIGGER, 0, 0, 435, 10
Sending LTC, NO REACTOR, 0, -1, 400000000, 0, -999231248, NO TRIGGER, 0, 0, 522, 21
Sending NET, NO REACTOR, 0, -1, 400000000, 1, -999227406, NO TRIGGER, 0, 0, 522, 22
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 1, -999225032, NO TRIGGER, 0, 0, 435, 11
Sending LTC, NO REACTOR, 0, -1, 400000000, 1, -999220771, NO TRIGGER, 0, 0, 522, 23
Sending NET, NO REACTOR, 0, -1, 400000000, 2, -999217419, NO TRIGGER, 0, 0, 522, 24
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 2, -999214136, NO TRIGGER, 0, 0, 435, 12
Sending LTC, NO REACTOR, 0, -1, 400000000, 2, -999210365, NO TRIGGER, 0, 0, 522, 25
Sending NET, NO REACTOR, 0, -1, 400000000, 3, -999207012, NO TRIGGER, 0, 0, 522, 26
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 3, -999204079, NO TRIGGER, 0, 0, 435, 13
Sending LTC, NO REACTOR, 0, -1, 400000000, 3, -999200238, NO TRIGGER, 0, 0, 522, 27
Sending NET, NO REACTOR, 0, -1, 400000000, 4, -999197304, NO TRIGGER, 0, 0, 522, 28
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 4, -999195000, NO TRIGGER, 0, 0, 435, 14
Sending LTC, NO REACTOR, 0, -1, 400000000, 4, -999190250, NO TRIGGER, 0, 0, 522, 29
Sending NET, NO REACTOR, 0, -1, 400000000, 5, -999187876, NO TRIGGER, 0, 0, 522, 30
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 5, -999181730, NO TRIGGER, 0, 0, 435, 15
Sending LTC, NO REACTOR, 0, -1, 400000000, 5, -999176980, NO TRIGGER, 0, 0, 522, 31
Sending NET, NO REACTOR, 0, -1, 400000000, 6, -999173628, NO TRIGGER, 0, 0, 522, 32
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 6, -999170206, NO TRIGGER, 0, 0, 435, 16
Sending LTC, NO REACTOR, 0, -1, 400000000, 6, -999165875, NO TRIGGER, 0, 0, 522, 33
Sending NET, NO REACTOR, 0, -1, 400000000, 7, -999163501, NO TRIGGER, 0, 0, 522, 34
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 7, -999160148, NO TRIGGER, 0, 0, 435, 17
Sending LTC, NO REACTOR, 0, -1, 400000000, 7, -999155958, NO TRIGGER, 0, 0, 522, 35
Sending NET, NO REACTOR, 0, -1, 400000000, 8, -999152605, NO TRIGGER, 0, 0, 522, 36
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 8, -999148834, NO TRIGGER, 0, 0, 435, 18
Sending LTC, NO REACTOR, 0, -1, 400000000, 8, -999143526, NO TRIGGER, 0, 0, 522, 37
Sending NET, NO REACTOR, 0, -1, 400000000, 9, -999070960, NO TRIGGER, 0, 0, 522, 38
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 9, -999020883, NO TRIGGER, 0, 0, 435, 19
Sending LTC, NO REACTOR, 0, -1, 400000000, 9, -999004121, NO TRIGGER, 0, 0, 522, 39
Sending NET, NO REACTOR, 0, -1, 800000000, 0, -998995950, NO TRIGGER, 0, 0, 522, 40
Sending TAGGED_MSG, NO REACTOR, 0, -1, 800000000, 0, -998985613, NO TRIGGER, 0, 0, 435, 20
Sending LTC, NO REACTOR, 0, -1, 800000000, 0, -998968851, NO TRIGGER, 0, 0, 522, 41
Sending NET, NO REACTOR, 0, -1, 800000000, 1, -998957467, NO TRIGGER, 0, 0, 522, 42
Sending TAGGED_MSG, NO REACTOR, 0, -1, 800000000, 1, -998947409, NO TRIGGER, 0, 0, 435, 21
Sending LTC, NO REACTOR, 0, -1, 800000000, 1, -998932184, NO TRIGGER, 0, 0, 522, 43
Sending NET, NO REACTOR, 0, -1, 800000000, 2, -998923104, NO TRIGGER, 0, 0, 522, 44
Sending TAGGED_MSG, NO REACTOR, 0, -1, 800000000, 2, -998912558, NO TRIGGER, 0, 0, 435, 22
Sending LTC, NO REACTOR, 0, -1, 800000000, 2, -998894469, NO TRIGGER, 0, 0, 522, 45
Sending NET, NO REACTOR, 0, -1, 800000000, 3, -998885948, NO TRIGGER, 0, 0, 522, 46
Sending TAGGED_MSG, NO REACTOR, 0, -1, 800000000, 3, -998875332, NO TRIGGER, 0, 0, 435, 23
Sending LTC, NO REACTOR, 0, -1, 800000000, 3, -998858710, NO TRIGGER, 0, 0, 522, 47
Sending NET, NO REACTOR, 0, -1, 800000000, 4, -998849560, NO TRIGGER, 0, 0, 522, 48
Sending TAGGED_MSG, NO REACTOR, 0, -1, 800000000, 4, -998841040, NO TRIGGER, 0, 0, 435, 24
Sending LTC, NO REACTOR, 0, -1, 800000000, 4, -998825395, NO TRIGGER, 0, 0, 522, 49
Sending NET, NO REACTOR, 0, -1, 800000000, 5, -998817643, NO TRIGGER, 0, 0, 522, 50
Sending TAGGED_MSG, NO REACTOR, 0, -1, 800000000, 5, -998809960, NO TRIGGER, 0, 0, 435, 25
Sending LTC, NO REACTOR, 0, -1, 800000000, 5, -998794944, NO TRIGGER, 0, 0, 522, 51
Sending NET, NO REACTOR, 0, -1, 800000000, 6, -998785376, NO TRIGGER, 0, 0, 522, 52
Sending TAGGED_MSG, NO REACTOR, 0, -1, 800000000, 6, -998777833, NO TRIGGER, 0, 0, 435, 26
Sending LTC, NO REACTOR, 0, -1, 800000000, 6, -998760931, NO TRIGGER, 0, 0, 522, 53
Sending NET, NO REACTOR, 0, -1, 800000000, 7, -998752270, NO TRIGGER, 0, 0, 522, 54
Sending TAGGED_MSG, NO REACTOR, 0, -1, 800000000, 7, -998744588, NO TRIGGER, 0, 0, 435, 27
Sending LTC, NO REACTOR, 0, -1, 800000000, 7, -998728454, NO TRIGGER, 0, 0, 522, 55
Sending NET, NO REACTOR, 0, -1, 800000000, 8, -998721260, NO TRIGGER, 0, 0, 522, 56
Sending TAGGED_MSG, NO REACTOR, 0, -1, 800000000, 8, -998712181, NO TRIGGER, 0, 0, 435, 28
Sending LTC, NO REACTOR, 0, -1, 800000000, 8, -998696536, NO TRIGGER, 0, 0, 522, 57
