Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702002732725507150, 0, -1000062719, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 1, -1702002732725507150, 0, -1000061600, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000000000, 0, -999910654, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999905756, NO TRIGGER, 0, 0, 835, 0
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999656248, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999602035, NO TRIGGER, 0, 0, 237, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999428299, NO TRIGGER, 0, 0, 479, 0
Sending TAG, NO REACTOR, -1, 1, 0, 0, -999400313, NO TRIGGER, 0, 0, 198, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 1, -999375045, NO TRIGGER, 0, 0, 479, 1
Sending TAG, NO REACTOR, -1, 1, 0, 1, -999357194, NO TRIGGER, 0, 0, 198, 1
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 2, -999332786, NO TRIGGER, 0, 0, 479, 2
Sending TAG, NO REACTOR, -1, 1, 0, 2, -999309188, NO TRIGGER, 0, 0, 198, 2
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 3, -999262750, NO TRIGGER, 0, 0, 479, 3
Sending TAG, NO REACTOR, -1, 1, 0, 3, -999241411, NO TRIGGER, 0, 0, 198, 3
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999210566, NO TRIGGER, 0, 0, 517, 4
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 4, -999205168, NO TRIGGER, 0, 0, 479, 4
Sending TAG, NO REACTOR, -1, 1, 0, 4, -999180580, NO TRIGGER, 0, 0, 198, 4
Receiving LTC, NO REACTOR, -1, 1, 0, 1, -999172894, NO TRIGGER, 0, 0, 517, 6
Receiving LTC, NO REACTOR, -1, 1, 0, 2, -999127207, NO TRIGGER, 0, 0, 517, 7
Receiving NET, NO REACTOR, -1, 1, 1000000, 0, -999123468, NO TRIGGER, 0, 0, 543, 7
Receiving NET, NO REACTOR, -1, 1, 0, 3, -999118931, NO TRIGGER, 0, 0, 543, 8
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 5, -999116122, NO TRIGGER, 0, 0, 479, 5
Receiving LTC, NO REACTOR, -1, 1, 0, 3, -999110844, NO TRIGGER, 0, 0, 517, 8
Receiving NET, NO REACTOR, -1, 1, 1000000, 0, -999075872, NO TRIGGER, 0, 0, 543, 9
Receiving NET, NO REACTOR, -1, 1, 0, 4, -999071154, NO TRIGGER, 0, 0, 543, 10
Sending TAG, NO REACTOR, -1, 1, 0, 5, -999057960, NO TRIGGER, 0, 0, 198, 5
Receiving LTC, NO REACTOR, -1, 1, 0, 4, -999034372, NO TRIGGER, 0, 0, 517, 10
Receiving NET, NO REACTOR, -1, 1, 0, 5, -999023737, NO TRIGGER, 0, 0, 543, 12
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 6, -999017690, NO TRIGGER, 0, 0, 479, 6
Sending TAG, NO REACTOR, -1, 1, 0, 6, -998991453, NO TRIGGER, 0, 0, 198, 6
Receiving LTC, NO REACTOR, -1, 1, 0, 5, -998966425, NO TRIGGER, 0, 0, 517, 12
