Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702260913694568885, 0, -1000283839, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702260913694568885, 0, -1000180891, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1000152745, 0, -1000150370, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999870373, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999823439, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999692206, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999619361, NO TRIGGER, 0, 0, 1724, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999559227, NO TRIGGER, 0, 0, 1724, 1
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999548401, NO TRIGGER, 0, 0, 1724, 2
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999538903, NO TRIGGER, 0, 0, 1724, 3
Receiving TAG, NO REACTOR, 1, -1, 0, 0, -999528426, NO TRIGGER, 0, 0, 1880, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 100000000, 0, -999522769, NO TRIGGER, 0, 0, 1724, 4
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999515296, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -999480515, NO TRIGGER, 0, 0, 522, 2
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 100000000, 0, -999447619, NO TRIGGER, 0, 0, 1724, 5
Sending NET, NO REACTOR, 1, -1, 100000000, 0, -999438400, NO TRIGGER, 0, 0, 522, 3
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 100000000, 0, -999406971, NO TRIGGER, 0, 0, 1724, 6
Sending NET, NO REACTOR, 1, -1, 100000000, 0, -999405504, NO TRIGGER, 0, 0, 522, 4
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 100000000, 0, -999371631, NO TRIGGER, 0, 0, 1724, 7
Sending NET, NO REACTOR, 1, -1, 100000000, 0, -999364577, NO TRIGGER, 0, 0, 522, 5
Receiving TAG, NO REACTOR, 1, -1, 100000000, 0, -999336849, NO TRIGGER, 0, 0, 1880, 1
Sending NET, NO REACTOR, 1, -1, 100000000, 0, -999329306, NO TRIGGER, 0, 0, 522, 6
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 200000000, 0, -999303954, NO TRIGGER, 0, 0, 1724, 8
Sending LTC, NO REACTOR, 1, -1, 100000000, 0, -999277204, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -999263585, NO TRIGGER, 0, 0, 522, 8
Sending NET, NO REACTOR, 1, -1, 200000000, 0, -999238302, NO TRIGGER, 0, 0, 522, 9
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 200000000, 0, -999236835, NO TRIGGER, 0, 0, 1724, 9
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 200000000, 0, -999214486, NO TRIGGER, 0, 0, 1724, 10
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 200000000, 0, -999205406, NO TRIGGER, 0, 0, 1724, 11
Sending NET, NO REACTOR, 1, -1, 200000000, 0, -999199679, NO TRIGGER, 0, 0, 522, 10
Sending NET, NO REACTOR, 1, -1, 200000000, 0, -999172511, NO TRIGGER, 0, 0, 522, 11
Receiving TAG, NO REACTOR, 1, -1, 200000000, 0, -999138637, NO TRIGGER, 0, 0, 1880, 2
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 300000000, 0, -999131094, NO TRIGGER, 0, 0, 1724, 12
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 300000000, 0, -999119501, NO TRIGGER, 0, 0, 1724, 13
Sending LTC, NO REACTOR, 1, -1, 200000000, 0, -999118034, NO TRIGGER, 0, 0, 522, 12
Sending NET, NO REACTOR, 1, -1, 300000000, 0, -999104834, NO TRIGGER, 0, 0, 522, 13
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 300000000, 0, -998896285, NO TRIGGER, 0, 0, 1724, 14
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 300000000, 0, -998880990, NO TRIGGER, 0, 0, 1724, 15
Receiving TAG, NO REACTOR, 1, -1, 300000000, 0, -998870583, NO TRIGGER, 0, 0, 1880, 3
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 400000000, 0, -998865275, NO TRIGGER, 0, 0, 1724, 16
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 400000000, 0, -998856196, NO TRIGGER, 0, 0, 1724, 17
Sending LTC, NO REACTOR, 1, -1, 300000000, 0, -998849142, NO TRIGGER, 0, 0, 522, 14
Sending NET, NO REACTOR, 1, -1, 400000000, 0, -998828469, NO TRIGGER, 0, 0, 522, 15
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 400000000, 0, -998796551, NO TRIGGER, 0, 0, 1724, 18
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 400000000, 0, -998787611, NO TRIGGER, 0, 0, 1724, 19
Receiving TAG, NO REACTOR, 1, -1, 400000000, 0, -998778531, NO TRIGGER, 0, 0, 1880, 4
Sending LTC, NO REACTOR, 1, -1, 400000000, 0, -998773293, NO TRIGGER, 0, 0, 522, 16
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 500000000, 0, -998766030, NO TRIGGER, 0, 0, 1724, 20
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -998755134, NO TRIGGER, 0, 0, 522, 17
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 500000000, 0, -998727198, NO TRIGGER, 0, 0, 1724, 21
Sending NET, NO REACTOR, 1, -1, 500000000, 0, -998723426, NO TRIGGER, 0, 0, 522, 18
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 500000000, 0, -998703521, NO TRIGGER, 0, 0, 1724, 22
Sending NET, NO REACTOR, 1, -1, 500000000, 0, -998609095, NO TRIGGER, 0, 0, 522, 19
