Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702002732519941689, 0, -1010305425, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702002732519941689, 0, -1010242985, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1010230082, 0, -1010229282, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999758009, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999699457, NO TRIGGER, 0, 0, 522, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999631840, NO TRIGGER, 0, 0, 435, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999609491, NO TRIGGER, 0, 0, 435, 1
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999598367, NO TRIGGER, 0, 0, 435, 2
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999586412, NO TRIGGER, 0, 0, 435, 3
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999568651, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 100000000, 0, -999562374, NO TRIGGER, 0, 0, 522, 2
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999502923, NO TRIGGER, 0, 0, 2100, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 100000000, 0, -999500085, NO TRIGGER, 0, 0, 435, 4
Sending TAGGED_MSG, NO REACTOR, 0, -1, 100000000, 0, -999472468, NO TRIGGER, 0, 0, 435, 5
Sending TAGGED_MSG, NO REACTOR, 0, -1, 100000000, 0, -999461543, NO TRIGGER, 0, 0, 435, 6
Sending TAGGED_MSG, NO REACTOR, 0, -1, 100000000, 0, -999449629, NO TRIGGER, 0, 0, 435, 7
Sending LTC, NO REACTOR, 0, -1, 100000000, 0, -999438045, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 0, -1, 200000000, 0, -999430768, NO TRIGGER, 0, 0, 522, 4
Sending TAGGED_MSG, NO REACTOR, 0, -1, 200000000, 0, -999423812, NO TRIGGER, 0, 0, 435, 8
Sending TAGGED_MSG, NO REACTOR, 0, -1, 200000000, 0, -999412367, NO TRIGGER, 0, 0, 435, 9
Sending TAGGED_MSG, NO REACTOR, 0, -1, 200000000, 0, -999401053, NO TRIGGER, 0, 0, 435, 10
Sending TAGGED_MSG, NO REACTOR, 0, -1, 200000000, 0, -999387180, NO TRIGGER, 0, 0, 435, 11
Sending LTC, NO REACTOR, 0, -1, 200000000, 0, -999374936, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 0, -1, 300000000, 0, -999368019, NO TRIGGER, 0, 0, 522, 6
Sending TAGGED_MSG, NO REACTOR, 0, -1, 300000000, 0, -999364841, NO TRIGGER, 0, 0, 435, 12
Sending TAGGED_MSG, NO REACTOR, 0, -1, 300000000, 0, -999362292, NO TRIGGER, 0, 0, 435, 13
Sending TAGGED_MSG, NO REACTOR, 0, -1, 300000000, 0, -999359823, NO TRIGGER, 0, 0, 435, 14
Sending TAGGED_MSG, NO REACTOR, 0, -1, 300000000, 0, -999357374, NO TRIGGER, 0, 0, 435, 15
Sending LTC, NO REACTOR, 0, -1, 300000000, 0, -999354646, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 0, -1, 400000000, 0, -999353346, NO TRIGGER, 0, 0, 522, 8
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 0, -999351417, NO TRIGGER, 0, 0, 435, 16
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 0, -999348688, NO TRIGGER, 0, 0, 435, 17
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 0, -999346430, NO TRIGGER, 0, 0, 435, 18
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 0, -999344071, NO TRIGGER, 0, 0, 435, 19
Sending LTC, NO REACTOR, 0, -1, 400000000, 0, -999341472, NO TRIGGER, 0, 0, 522, 9
Sending NET, NO REACTOR, 0, -1, 500000000, 0, -999339883, NO TRIGGER, 0, 0, 522, 10
Sending TAGGED_MSG, NO REACTOR, 0, -1, 500000000, 0, -999337874, NO TRIGGER, 0, 0, 435, 20
Sending TAGGED_MSG, NO REACTOR, 0, -1, 500000000, 0, -999335375, NO TRIGGER, 0, 0, 435, 21
Sending TAGGED_MSG, NO REACTOR, 0, -1, 500000000, 0, -999332796, NO TRIGGER, 0, 0, 435, 22
Sending TAGGED_MSG, NO REACTOR, 0, -1, 500000000, 0, -999330367, NO TRIGGER, 0, 0, 435, 23
Sending LTC, NO REACTOR, 0, -1, 500000000, 0, -999327549, NO TRIGGER, 0, 0, 522, 11
Sending NET, NO REACTOR, 0, -1, 600000000, 0, -999326140, NO TRIGGER, 0, 0, 522, 12
Sending TAGGED_MSG, NO REACTOR, 0, -1, 600000000, 0, -999324041, NO TRIGGER, 0, 0, 435, 24
Sending TAGGED_MSG, NO REACTOR, 0, -1, 600000000, 0, -999321452, NO TRIGGER, 0, 0, 435, 25
Sending TAGGED_MSG, NO REACTOR, 0, -1, 600000000, 0, -999318813, NO TRIGGER, 0, 0, 435, 26
Sending TAGGED_MSG, NO REACTOR, 0, -1, 600000000, 0, -999316214, NO TRIGGER, 0, 0, 435, 27
Sending LTC, NO REACTOR, 0, -1, 600000000, 0, -999313426, NO TRIGGER, 0, 0, 522, 13
Sending NET, NO REACTOR, 0, -1, 700000000, 0, -999311956, NO TRIGGER, 0, 0, 522, 14
Sending TAGGED_MSG, NO REACTOR, 0, -1, 700000000, 0, -999309688, NO TRIGGER, 0, 0, 435, 28
