Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702260914013971819, 0, -1000405923, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702260914013971819, 0, -1000176491, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1000148275, 0, -1000146389, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999857802, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999804931, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999711133, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999564674, NO TRIGGER, 0, 0, 1724, 0
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999515086, NO TRIGGER, 0, 0, 522, 1
Receiving TAG, NO REACTOR, 1, -1, 0, 0, -999508801, NO TRIGGER, 0, 0, 1880, 0
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -999479467, NO TRIGGER, 0, 0, 522, 2
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 100000000, 0, -999451111, NO TRIGGER, 0, 0, 1724, 1
Receiving TAG, NO REACTOR, 1, -1, 100000000, 0, -999440565, NO TRIGGER, 0, 0, 1880, 1
Sending LTC, NO REACTOR, 1, -1, 100000000, 0, -999412419, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -999400476, NO TRIGGER, 0, 0, 522, 4
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 200000000, 0, -999372888, NO TRIGGER, 0, 0, 1724, 2
Sending NET, NO REACTOR, 1, -1, 200000000, 0, -999359129, NO TRIGGER, 0, 0, 522, 5
Receiving TAG, NO REACTOR, 1, -1, 200000000, 0, -999348932, NO TRIGGER, 0, 0, 1880, 2
Sending LTC, NO REACTOR, 1, -1, 200000000, 0, -999318900, NO TRIGGER, 0, 0, 522, 6
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -999309890, NO TRIGGER, 0, 0, 522, 7
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 300000000, 0, -999288379, NO TRIGGER, 0, 0, 1724, 3
Receiving TAG, NO REACTOR, 1, -1, 300000000, 0, -999276087, NO TRIGGER, 0, 0, 1880, 3
Sending NET, NO REACTOR, 1, -1, 300000000, 0, -999273712, NO TRIGGER, 0, 0, 522, 8
Sending LTC, NO REACTOR, 1, -1, 300000000, 0, -999245007, NO TRIGGER, 0, 0, 522, 9
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -999236137, NO TRIGGER, 0, 0, 522, 10
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 400000000, 0, -999214276, NO TRIGGER, 0, 0, 1724, 4
Sending NET, NO REACTOR, 1, -1, 400000000, 0, -999201146, NO TRIGGER, 0, 0, 522, 11
Receiving TAG, NO REACTOR, 1, -1, 400000000, 0, -999179565, NO TRIGGER, 0, 0, 1880, 4
Sending LTC, NO REACTOR, 1, -1, 400000000, 0, -999168739, NO TRIGGER, 0, 0, 522, 12
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -999159101, NO TRIGGER, 0, 0, 522, 13
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 500000000, 0, -999098548, NO TRIGGER, 0, 0, 1724, 5
Sending NET, NO REACTOR, 1, -1, 500000000, 0, -999084719, NO TRIGGER, 0, 0, 522, 14
Receiving TAG, NO REACTOR, 1, -1, 500000000, 0, -999070472, NO TRIGGER, 0, 0, 1880, 5
Sending LTC, NO REACTOR, 1, -1, 500000000, 0, -999035131, NO TRIGGER, 0, 0, 522, 15
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -999027868, NO TRIGGER, 0, 0, 522, 16
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 600000000, 0, -998968013, NO TRIGGER, 0, 0, 1724, 6
Sending NET, NO REACTOR, 1, -1, 600000000, 0, -998955232, NO TRIGGER, 0, 0, 522, 17
Receiving TAG, NO REACTOR, 1, -1, 600000000, 0, -998922406, NO TRIGGER, 0, 0, 1880, 6
Sending LTC, NO REACTOR, 1, -1, 600000000, 0, -998912070, NO TRIGGER, 0, 0, 522, 18
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -998901942, NO TRIGGER, 0, 0, 522, 19
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 700000000, 0, -998831821, NO TRIGGER, 0, 0, 1724, 7
Sending NET, NO REACTOR, 1, -1, 700000000, 0, -998818062, NO TRIGGER, 0, 0, 522, 20
Receiving TAG, NO REACTOR, 1, -1, 700000000, 0, -998810449, NO TRIGGER, 0, 0, 1880, 7
Sending LTC, NO REACTOR, 1, -1, 700000000, 0, -998779439, NO TRIGGER, 0, 0, 522, 21
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -998770290, NO TRIGGER, 0, 0, 522, 22
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 800000000, 0, -998701635, NO TRIGGER, 0, 0, 1724, 8
Sending NET, NO REACTOR, 1, -1, 800000000, 0, -998688016, NO TRIGGER, 0, 0, 522, 23
Receiving TAG, NO REACTOR, 1, -1, 800000000, 0, -998652257, NO TRIGGER, 0, 0, 1880, 8
Sending LTC, NO REACTOR, 1, -1, 800000000, 0, -998642619, NO TRIGGER, 0, 0, 522, 24
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -998632631, NO TRIGGER, 0, 0, 522, 25
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 900000000, 0, -998584021, NO TRIGGER, 0, 0, 1724, 9
Sending NET, NO REACTOR, 1, -1, 900000000, 0, -998569704, NO TRIGGER, 0, 0, 522, 26
Receiving TAG, NO REACTOR, 1, -1, 900000000, 0, -998562580, NO TRIGGER, 0, 0, 1880, 9
Sending LTC, NO REACTOR, 1, -1, 900000000, 0, -998532059, NO TRIGGER, 0, 0, 522, 27
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -998522979, NO TRIGGER, 0, 0, 522, 28
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 1000000000, 0, -998483798, NO TRIGGER, 0, 0, 1724, 10
Receiving TAG, NO REACTOR, 1, -1, 1000000000, 0, -998423454, NO TRIGGER, 0, 0, 1880, 10
Sending LTC, NO REACTOR, 1, -1, 1000000000, 0, -998412140, NO TRIGGER, 0, 0, 522, 29
Sending NET, NO REACTOR, 1, -1, 7521111122840803988, -1, -998401314, NO TRIGGER, 0, 0, 522, 30
Receiving TAG, NO REACTOR, 1, -1, 7521111122840803988, -1, -998375962, NO TRIGGER, 0, 0, 1880, 11
