Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702260914013971819, 0, -1000408856, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702260914013971819, 0, -1000326931, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000304791, 0, -1000302905, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999855427, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999796690, NO TRIGGER, 0, 0, 522, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999725800, NO TRIGGER, 0, 0, 435, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999690111, NO TRIGGER, 0, 0, 435, 1
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999671044, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 100000000, 0, -999659101, NO TRIGGER, 0, 0, 522, 2
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999640523, NO TRIGGER, 0, 0, 2100, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 100000000, 0, -999608535, NO TRIGGER, 0, 0, 435, 2
Sending TAGGED_MSG, NO REACTOR, 0, -1, 100000000, 0, -999587583, NO TRIGGER, 0, 0, 435, 3
Sending LTC, NO REACTOR, 0, -1, 100000000, 0, -999569354, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 0, -1, 200000000, 0, -999564674, NO TRIGGER, 0, 0, 522, 4
Sending TAGGED_MSG, NO REACTOR, 0, -1, 200000000, 0, -999560903, NO TRIGGER, 0, 0, 435, 4
Sending TAGGED_MSG, NO REACTOR, 0, -1, 200000000, 0, -999556154, NO TRIGGER, 0, 0, 435, 5
Sending LTC, NO REACTOR, 0, -1, 200000000, 0, -999551823, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 0, -1, 300000000, 0, -999549449, NO TRIGGER, 0, 0, 522, 6
Sending TAGGED_MSG, NO REACTOR, 0, -1, 300000000, 0, -999546096, NO TRIGGER, 0, 0, 435, 6
Sending TAGGED_MSG, NO REACTOR, 0, -1, 300000000, 0, -999540299, NO TRIGGER, 0, 0, 435, 7
Sending LTC, NO REACTOR, 0, -1, 300000000, 0, -999534572, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 0, -1, 400000000, 0, -999531360, NO TRIGGER, 0, 0, 522, 8
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 0, -999527099, NO TRIGGER, 0, 0, 435, 8
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 0, -999523747, NO TRIGGER, 0, 0, 435, 9
Sending LTC, NO REACTOR, 0, -1, 400000000, 0, -999518439, NO TRIGGER, 0, 0, 522, 9
Sending NET, NO REACTOR, 0, -1, 500000000, 0, -999515086, NO TRIGGER, 0, 0, 522, 10
Sending TAGGED_MSG, NO REACTOR, 0, -1, 500000000, 0, -999497486, NO TRIGGER, 0, 0, 435, 10
Sending TAGGED_MSG, NO REACTOR, 0, -1, 500000000, 0, -999481423, NO TRIGGER, 0, 0, 435, 11
Sending LTC, NO REACTOR, 0, -1, 500000000, 0, -999463962, NO TRIGGER, 0, 0, 522, 11
Sending NET, NO REACTOR, 0, -1, 600000000, 0, -999456838, NO TRIGGER, 0, 0, 522, 12
Sending TAGGED_MSG, NO REACTOR, 0, -1, 600000000, 0, -999445803, NO TRIGGER, 0, 0, 435, 12
Sending TAGGED_MSG, NO REACTOR, 0, -1, 600000000, 0, -999430577, NO TRIGGER, 0, 0, 435, 13
Sending LTC, NO REACTOR, 0, -1, 600000000, 0, -999414374, NO TRIGGER, 0, 0, 522, 13
Sending NET, NO REACTOR, 0, -1, 700000000, 0, -999405714, NO TRIGGER, 0, 0, 522, 14
Sending TAGGED_MSG, NO REACTOR, 0, -1, 700000000, 0, -999398171, NO TRIGGER, 0, 0, 435, 14
Sending TAGGED_MSG, NO REACTOR, 0, -1, 700000000, 0, -999379453, NO TRIGGER, 0, 0, 435, 15
Sending LTC, NO REACTOR, 0, -1, 700000000, 0, -999363878, NO TRIGGER, 0, 0, 522, 15
Sending NET, NO REACTOR, 0, -1, 800000000, 0, -999355288, NO TRIGGER, 0, 0, 522, 16
Sending TAGGED_MSG, NO REACTOR, 0, -1, 800000000, 0, -999344672, NO TRIGGER, 0, 0, 435, 16
Sending TAGGED_MSG, NO REACTOR, 0, -1, 800000000, 0, -999339084, NO TRIGGER, 0, 0, 435, 17
Sending LTC, NO REACTOR, 0, -1, 800000000, 0, -999334754, NO TRIGGER, 0, 0, 522, 17
Sending NET, NO REACTOR, 0, -1, 900000000, 0, -999330983, NO TRIGGER, 0, 0, 522, 18
Sending TAGGED_MSG, NO REACTOR, 0, -1, 900000000, 0, -999326652, NO TRIGGER, 0, 0, 435, 18
Sending TAGGED_MSG, NO REACTOR, 0, -1, 900000000, 0, -999322811, NO TRIGGER, 0, 0, 435, 19
Sending LTC, NO REACTOR, 0, -1, 900000000, 0, -999317922, NO TRIGGER, 0, 0, 522, 19
Sending NET, NO REACTOR, 0, -1, 1000000000, 0, -999314151, NO TRIGGER, 0, 0, 522, 20
Sending TAGGED_MSG, NO REACTOR, 0, -1, 1000000000, 0, -999311287, NO TRIGGER, 0, 0, 435, 20
Sending TAGGED_MSG, NO REACTOR, 0, -1, 1000000000, 0, -999306189, NO TRIGGER, 0, 0, 435, 21
Sending LTC, NO REACTOR, 0, -1, 1000000000, 0, -999302417, NO TRIGGER, 0, 0, 522, 21
Sending NET, NO REACTOR, 0, -1, 7521111122840803988, -1, -999299484, NO TRIGGER, 0, 0, 522, 22
