Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702260914013971819, 0, -1000205546, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 1, -1702260914013971819, 0, -1000203241, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000148275, 0, -1000040718, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999898380, NO TRIGGER, 0, 0, 835, 2
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999773432, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999740257, NO TRIGGER, 0, 0, 237, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999584789, NO TRIGGER, 0, 0, 479, 1
Sending TAG, NO REACTOR, -1, 1, 0, 0, -999566560, NO TRIGGER, 0, 0, 198, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 100000000, 0, -999501258, NO TRIGGER, 0, 0, 479, 3
Sending TAG, NO REACTOR, -1, 1, 100000000, 0, -999485264, NO TRIGGER, 0, 0, 198, 2
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999465778, NO TRIGGER, 0, 0, 517, 3
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999458235, NO TRIGGER, 0, 0, 543, 5
Sending TAGGED_MSG, NO REACTOR, -1, 1, 200000000, 0, -999405714, NO TRIGGER, 0, 0, 479, 5
Sending TAG, NO REACTOR, -1, 1, 200000000, 0, -999390069, NO TRIGGER, 0, 0, 198, 4
Receiving LTC, NO REACTOR, -1, 1, 100000000, 0, -999387694, NO TRIGGER, 0, 0, 517, 5
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999354310, NO TRIGGER, 0, 0, 543, 9
Receiving NET, NO REACTOR, -1, 1, 200000000, 0, -999325256, NO TRIGGER, 0, 0, 543, 10
Sending TAGGED_MSG, NO REACTOR, -1, 1, 300000000, 0, -999316036, NO TRIGGER, 0, 0, 479, 7
Sending TAG, NO REACTOR, -1, 1, 300000000, 0, -999294735, NO TRIGGER, 0, 0, 198, 6
Receiving LTC, NO REACTOR, -1, 1, 200000000, 0, -999285026, NO TRIGGER, 0, 0, 517, 8
Sending TAGGED_MSG, NO REACTOR, -1, 1, 400000000, 0, -999234251, NO TRIGGER, 0, 0, 479, 9
Sending TAG, NO REACTOR, -1, 1, 400000000, 0, -999214276, NO TRIGGER, 0, 0, 198, 8
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999152885, NO TRIGGER, 0, 0, 543, 13
Receiving NET, NO REACTOR, -1, 1, 300000000, 0, -999144295, NO TRIGGER, 0, 0, 543, 14
Receiving LTC, NO REACTOR, -1, 1, 300000000, 0, -999138218, NO TRIGGER, 0, 0, 517, 10
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999133888, NO TRIGGER, 0, 0, 543, 16
Sending TAGGED_MSG, NO REACTOR, -1, 1, 500000000, 0, -999126694, NO TRIGGER, 0, 0, 479, 11
Sending TAG, NO REACTOR, -1, 1, 500000000, 0, -999097151, NO TRIGGER, 0, 0, 198, 10
Receiving NET, NO REACTOR, -1, 1, 400000000, 0, -999033665, NO TRIGGER, 0, 0, 543, 20
Receiving LTC, NO REACTOR, -1, 1, 400000000, 0, -999023607, NO TRIGGER, 0, 0, 517, 14
Sending TAGGED_MSG, NO REACTOR, -1, 1, 600000000, 0, -998991201, NO TRIGGER, 0, 0, 479, 13
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -998950622, NO TRIGGER, 0, 0, 543, 24
Sending TAG, NO REACTOR, -1, 1, 600000000, 0, -998944476, NO TRIGGER, 0, 0, 198, 12
Receiving NET, NO REACTOR, -1, 1, 500000000, 0, -998899079, NO TRIGGER, 0, 0, 543, 26
Receiving LTC, NO REACTOR, -1, 1, 500000000, 0, -998890977, NO TRIGGER, 0, 0, 517, 17
Sending TAGGED_MSG, NO REACTOR, -1, 1, 700000000, 0, -998852913, NO TRIGGER, 0, 0, 479, 15
Sending TAG, NO REACTOR, -1, 1, 700000000, 0, -998831821, NO TRIGGER, 0, 0, 198, 14
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -998804583, NO TRIGGER, 0, 0, 543, 28
Receiving NET, NO REACTOR, -1, 1, 600000000, 0, -998794246, NO TRIGGER, 0, 0, 543, 29
Receiving LTC, NO REACTOR, -1, 1, 600000000, 0, -998779439, NO TRIGGER, 0, 0, 517, 20
Sending TAGGED_MSG, NO REACTOR, -1, 1, 800000000, 0, -998733134, NO TRIGGER, 0, 0, 479, 17
Sending TAG, NO REACTOR, -1, 1, 800000000, 0, -998701635, NO TRIGGER, 0, 0, 198, 16
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -998667902, NO TRIGGER, 0, 0, 543, 34
Receiving NET, NO REACTOR, -1, 1, 700000000, 0, -998642619, NO TRIGGER, 0, 0, 543, 35
Receiving LTC, NO REACTOR, -1, 1, 700000000, 0, -998636892, NO TRIGGER, 0, 0, 517, 23
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -998615520, NO TRIGGER, 0, 0, 543, 38
Receiving NET, NO REACTOR, -1, 1, 800000000, 0, -998610701, NO TRIGGER, 0, 0, 543, 39
Sending TAGGED_MSG, NO REACTOR, -1, 1, 900000000, 0, -998606860, NO TRIGGER, 0, 0, 479, 19
Receiving LTC, NO REACTOR, -1, 1, 800000000, 0, -998605463, NO TRIGGER, 0, 0, 517, 25
Sending TAG, NO REACTOR, -1, 1, 900000000, 0, -998586396, NO TRIGGER, 0, 0, 198, 18
Sending TAGGED_MSG, NO REACTOR, -1, 1, 1000000000, 0, -998515227, NO TRIGGER, 0, 0, 479, 21
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -998486172, NO TRIGGER, 0, 0, 543, 43
Receiving NET, NO REACTOR, -1, 1, 900000000, 0, -998475347, NO TRIGGER, 0, 0, 543, 44
Receiving LTC, NO REACTOR, -1, 1, 900000000, 0, -998456629, NO TRIGGER, 0, 0, 517, 29
Sending TAG, NO REACTOR, -1, 1, 1000000000, 0, -998454674, NO TRIGGER, 0, 0, 198, 20
Sending TAG, NO REACTOR, -1, 1, 7521111122840803988, -1, -998398451, NO TRIGGER, 0, 0, 198, 22
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -998359269, NO TRIGGER, 0, 0, 543, 48
Receiving LTC, NO REACTOR, -1, 1, 1000000000, 0, -998353053, NO TRIGGER, 0, 0, 517, 31
Receiving NET, NO REACTOR, -1, 1, 7521111122840803988, -1, -998348304, NO TRIGGER, 0, 0, 543, 50
Receiving FED_ID, NO REACTOR, -1, 2, -1702260914013971819, 0, -1000050496, NO TRIGGER, 0, 0, 1173, 2
Sending ACK, NO REACTOR, -1, 2, -1702260914013971819, 0, -1000048121, NO TRIGGER, 0, 0, 1238, 2
Receiving TIMESTAMP, NO REACTOR, -1, 2, -1000000000, 0, -999920729, NO TRIGGER, 0, 0, 802, 2
Sending TIMESTAMP, NO REACTOR, -1, 2, 0, 0, -999915561, NO TRIGGER, 0, 0, 835, 0
