Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702260913886511707, 0, -1000083113, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702260913886511707, 0, -1000017531, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1000000000, 0, -999998045, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999867859, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999821973, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999729851, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999596802, NO TRIGGER, 0, 0, 1724, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999558319, NO TRIGGER, 0, 0, 1724, 1
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999549798, NO TRIGGER, 0, 0, 1724, 2
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999510896, NO TRIGGER, 0, 0, 1724, 3
Receiving TAG, NO REACTOR, 1, -1, 0, 0, -999495042, NO TRIGGER, 0, 0, 1880, 0
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999486661, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -999471715, NO TRIGGER, 0, 0, 522, 2
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 200000000, 0, -999447479, NO TRIGGER, 0, 0, 1724, 4
Sending NET, NO REACTOR, 1, -1, 200000000, 0, -999434559, NO TRIGGER, 0, 0, 522, 3
Receiving PTAG, NO REACTOR, 1, -1, 200000000, 0, -999405923, NO TRIGGER, 0, 0, 2100, 1
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 200000000, 0, -999375891, NO TRIGGER, 0, 0, 1724, 5
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 200000000, 0, -999358291, NO TRIGGER, 0, 0, 1724, 6
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 200000000, 0, -999348653, NO TRIGGER, 0, 0, 1724, 7
