Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702002732656220034, 0, -1000213136, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702002732656220034, 0, -1000148938, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000136504, 0, -1000135844, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999883727, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999842148, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999657758, NO TRIGGER, 0, 0, 2100, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999570200, NO TRIGGER, 0, 0, 435, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999532079, NO TRIGGER, 0, 0, 435, 1
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999507231, NO TRIGGER, 0, 0, 435, 2
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999482303, NO TRIGGER, 0, 0, 435, 3
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999457016, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 200000000, 0, -999443282, NO TRIGGER, 0, 0, 522, 2
Sending TAGGED_MSG, NO REACTOR, 0, -1, 200000000, 0, -999426061, NO TRIGGER, 0, 0, 435, 4
Sending TAGGED_MSG, NO REACTOR, 0, -1, 200000000, 0, -999403272, NO TRIGGER, 0, 0, 435, 5
Sending TAGGED_MSG, NO REACTOR, 0, -1, 200000000, 0, -999380823, NO TRIGGER, 0, 0, 435, 6
Sending TAGGED_MSG, NO REACTOR, 0, -1, 200000000, 0, -999360703, NO TRIGGER, 0, 0, 435, 7
Sending LTC, NO REACTOR, 0, -1, 200000000, 0, -999339443, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 0, -1, 400000000, 0, -999322771, NO TRIGGER, 0, 0, 522, 4
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 0, -999305780, NO TRIGGER, 0, 0, 435, 8
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 0, -999283870, NO TRIGGER, 0, 0, 435, 9
Receiving PTAG, NO REACTOR, 0, -1, 200000000, 0, -999273665, NO TRIGGER, 0, 0, 2100, 1
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 0, -999248238, NO TRIGGER, 0, 0, 435, 10
Sending TAGGED_MSG, NO REACTOR, 0, -1, 400000000, 0, -999224569, NO TRIGGER, 0, 0, 435, 11
Sending LTC, NO REACTOR, 0, -1, 400000000, 0, -999202080, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 0, -1, 600000000, 0, -999189007, NO TRIGGER, 0, 0, 522, 6
Sending TAGGED_MSG, NO REACTOR, 0, -1, 600000000, 0, -999175703, NO TRIGGER, 0, 0, 435, 12
Sending TAGGED_MSG, NO REACTOR, 0, -1, 600000000, 0, -999153774, NO TRIGGER, 0, 0, 435, 13
Sending TAGGED_MSG, NO REACTOR, 0, -1, 600000000, 0, -999130395, NO TRIGGER, 0, 0, 435, 14
Sending TAGGED_MSG, NO REACTOR, 0, -1, 600000000, 0, -999107317, NO TRIGGER, 0, 0, 435, 15
Sending LTC, NO REACTOR, 0, -1, 600000000, 0, -999085147, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 0, -1, 800000000, 0, -999067996, NO TRIGGER, 0, 0, 522, 8
Sending TAGGED_MSG, NO REACTOR, 0, -1, 800000000, 0, -999052963, NO TRIGGER, 0, 0, 435, 16
Sending TAGGED_MSG, NO REACTOR, 0, -1, 800000000, 0, -999031024, NO TRIGGER, 0, 0, 435, 17
Sending TAGGED_MSG, NO REACTOR, 0, -1, 800000000, 0, -999003387, NO TRIGGER, 0, 0, 435, 18
Sending TAGGED_MSG, NO REACTOR, 0, -1, 800000000, 0, -998979159, NO TRIGGER, 0, 0, 435, 19
Sending LTC, NO REACTOR, 0, -1, 800000000, 0, -998951473, NO TRIGGER, 0, 0, 522, 9
Receiving PTAG, NO REACTOR, 0, -1, 600000000, 0, -998944706, NO TRIGGER, 0, 0, 2100, 2
Sending NET, NO REACTOR, 0, -1, 1000000000, 0, -998931123, NO TRIGGER, 0, 0, 522, 10
Sending TAGGED_MSG, NO REACTOR, 0, -1, 1000000000, 0, -998915870, NO TRIGGER, 0, 0, 435, 20
Sending TAGGED_MSG, NO REACTOR, 0, -1, 1000000000, 0, -998892062, NO TRIGGER, 0, 0, 435, 21
Receiving PTAG, NO REACTOR, 0, -1, 800000000, 0, -998884455, NO TRIGGER, 0, 0, 2100, 3
Sending TAGGED_MSG, NO REACTOR, 0, -1, 1000000000, 0, -998859748, NO TRIGGER, 0, 0, 435, 22
Sending TAGGED_MSG, NO REACTOR, 0, -1, 1000000000, 0, -998837408, NO TRIGGER, 0, 0, 435, 23
Sending LTC, NO REACTOR, 0, -1, 1000000000, 0, -998810552, NO TRIGGER, 0, 0, 522, 11
Receiving PTAG, NO REACTOR, 0, -1, 1000000000, 0, -998802825, NO TRIGGER, 0, 0, 2100, 4
Sending NET, NO REACTOR, 0, -1, 7521369304198555773, -1, -998788202, NO TRIGGER, 0, 0, 522, 12
