Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702260913886511707, 0, -1000047633, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 1, -1702260913886511707, 0, -1000045677, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000000000, 0, -999919263, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999915491, NO TRIGGER, 0, 0, 835, 0
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999794944, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999759394, NO TRIGGER, 0, 0, 237, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999622643, NO TRIGGER, 0, 0, 479, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999593519, NO TRIGGER, 0, 0, 479, 1
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999562021, NO TRIGGER, 0, 0, 479, 2
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999529334, NO TRIGGER, 0, 0, 479, 3
Sending TAG, NO REACTOR, -1, 1, 0, 0, -999514807, NO TRIGGER, 0, 0, 198, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 200000000, 0, -999462216, NO TRIGGER, 0, 0, 479, 4
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999453765, NO TRIGGER, 0, 0, 517, 1
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999436444, NO TRIGGER, 0, 0, 543, 3
Sending PTAG, NO REACTOR, -1, 1, 200000000, 0, -999433162, NO TRIGGER, 0, 0, 237, 2
Receiving NET, NO REACTOR, -1, 1, 200000000, 0, -999400266, NO TRIGGER, 0, 0, 543, 4
Sending TAGGED_MSG, NO REACTOR, -1, 1, 200000000, 0, -999398380, NO TRIGGER, 0, 0, 479, 5
Sending TAGGED_MSG, NO REACTOR, -1, 1, 200000000, 0, -999376799, NO TRIGGER, 0, 0, 479, 6
Sending TAGGED_MSG, NO REACTOR, -1, 1, 200000000, 0, -999361155, NO TRIGGER, 0, 0, 479, 7
Sending TAG, NO REACTOR, -1, 1, 200000000, 0, -999346767, NO TRIGGER, 0, 0, 198, 1
Sending TAGGED_MSG, NO REACTOR, -1, 1, 400000000, 0, -999308633, NO TRIGGER, 0, 0, 479, 8
Sending TAGGED_MSG, NO REACTOR, -1, 1, 400000000, 0, -999275039, NO TRIGGER, 0, 0, 479, 9
Receiving LTC, NO REACTOR, -1, 1, 200000000, 0, -999257649, NO TRIGGER, 0, 0, 517, 3
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999251852, NO TRIGGER, 0, 0, 543, 6
Sending PTAG, NO REACTOR, -1, 1, 400000000, 0, -999249477, NO TRIGGER, 0, 0, 237, 4
