Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702002733065367101, 0, -1000178096, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702002733065367101, 0, -1000118171, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1000103896, 0, -1000103367, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999900731, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999858639, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999796905, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 10000000, 0, -999752023, NO TRIGGER, 0, 0, 1724, 0
Receiving PORT_ABS, NO REACTOR, 1, -1, 0, 0, -999713210, NO TRIGGER, 0, 0, 1605, 0
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999711310, NO TRIGGER, 0, 0, 522, 1
Receiving PORT_ABS, NO REACTOR, 1, -1, 1000000, 0, -999710261, NO TRIGGER, 0, 0, 1605, 1
Sending NET, NO REACTOR, 1, -1, 10000000, 0, -999691679, NO TRIGGER, 0, 0, 522, 2
Receiving PORT_ABS, NO REACTOR, 1, -1, 2000000, 0, -999674436, NO TRIGGER, 0, 0, 1605, 2
Receiving PORT_ABS, NO REACTOR, 1, -1, 3000000, 0, -999655584, NO TRIGGER, 0, 0, 1605, 3
Receiving PORT_ABS, NO REACTOR, 1, -1, 4000000, 0, -999616700, NO TRIGGER, 0, 0, 1605, 4
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 10000000, 0, -999607074, NO TRIGGER, 0, 0, 1724, 1
Receiving PORT_ABS, NO REACTOR, 1, -1, 5000000, 0, -999588232, NO TRIGGER, 0, 0, 1605, 5
Receiving PORT_ABS, NO REACTOR, 1, -1, 6000000, 0, -999578206, NO TRIGGER, 0, 0, 1605, 6
Receiving PORT_ABS, NO REACTOR, 1, -1, 7000000, 0, -999554956, NO TRIGGER, 0, 0, 1605, 7
Receiving PORT_ABS, NO REACTOR, 1, -1, 8000000, 0, -999544550, NO TRIGGER, 0, 0, 1605, 8
