Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702260913641398782, 0, -1000123062, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702260913641398782, 0, -1000025283, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000000000, 0, -999997626, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999791871, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999704009, NO TRIGGER, 0, 0, 522, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 10000000, 0, -999613354, NO TRIGGER, 0, 0, 435, 0
Sending PORT_ABS, NO REACTOR, 0, -1, 0, 0, -999568516, NO TRIGGER, 0, 0, 1440, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999555665, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 1000000, 0, -999528077, NO TRIGGER, 0, 0, 522, 2
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999506077, NO TRIGGER, 0, 0, 2100, 0
Sending PORT_ABS, NO REACTOR, 0, -1, 1000000, 0, -999464591, NO TRIGGER, 0, 0, 1440, 1
Sending LTC, NO REACTOR, 0, -1, 1000000, 0, -999452997, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 0, -1, 2000000, 0, -999439867, NO TRIGGER, 0, 0, 522, 4
Sending PORT_ABS, NO REACTOR, 0, -1, 2000000, 0, -999429460, NO TRIGGER, 0, 0, 1440, 2
Sending LTC, NO REACTOR, 0, -1, 2000000, 0, -999400126, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 0, -1, 3000000, 0, -999392933, NO TRIGGER, 0, 0, 522, 6
Sending PORT_ABS, NO REACTOR, 0, -1, 3000000, 0, -999379523, NO TRIGGER, 0, 0, 1440, 3
Sending LTC, NO REACTOR, 0, -1, 3000000, 0, -999370094, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 0, -1, 4000000, 0, -999338595, NO TRIGGER, 0, 0, 522, 8
Sending PORT_ABS, NO REACTOR, 0, -1, 4000000, 0, -999322741, NO TRIGGER, 0, 0, 1440, 4
Sending LTC, NO REACTOR, 0, -1, 4000000, 0, -999315198, NO TRIGGER, 0, 0, 522, 9
Sending NET, NO REACTOR, 0, -1, 5000000, 0, -999307097, NO TRIGGER, 0, 0, 522, 10
Sending TAGGED_MSG, NO REACTOR, 0, -1, 10000000, 0, -999298506, NO TRIGGER, 0, 0, 435, 1
Sending PORT_ABS, NO REACTOR, 0, -1, 5000000, 0, -999281884, NO TRIGGER, 0, 0, 1440, 5
Sending LTC, NO REACTOR, 0, -1, 5000000, 0, -999272804, NO TRIGGER, 0, 0, 522, 11
Sending NET, NO REACTOR, 0, -1, 6000000, 0, -999263166, NO TRIGGER, 0, 0, 522, 12
Sending PORT_ABS, NO REACTOR, 0, -1, 6000000, 0, -999254156, NO TRIGGER, 0, 0, 1440, 6
Sending LTC, NO REACTOR, 0, -1, 6000000, 0, -999245077, NO TRIGGER, 0, 0, 522, 13
Sending NET, NO REACTOR, 0, -1, 7000000, 0, -999237953, NO TRIGGER, 0, 0, 522, 14
Sending PORT_ABS, NO REACTOR, 0, -1, 7000000, 0, -999230200, NO TRIGGER, 0, 0, 1440, 7
Sending LTC, NO REACTOR, 0, -1, 7000000, 0, -999221261, NO TRIGGER, 0, 0, 522, 15
Sending NET, NO REACTOR, 0, -1, 8000000, 0, -999212740, NO TRIGGER, 0, 0, 522, 16
Sending PORT_ABS, NO REACTOR, 0, -1, 8000000, 0, -999208899, NO TRIGGER, 0, 0, 1440, 8
Sending LTC, NO REACTOR, 0, -1, 8000000, 0, -999205546, NO TRIGGER, 0, 0, 522, 17
Sending NET, NO REACTOR, 0, -1, 9000000, 0, -999201635, NO TRIGGER, 0, 0, 522, 18
Sending PORT_ABS, NO REACTOR, 0, -1, 9000000, 0, -999198283, NO TRIGGER, 0, 0, 1440, 9
Sending LTC, NO REACTOR, 0, -1, 9000000, 0, -999194930, NO TRIGGER, 0, 0, 522, 19
Sending NET, NO REACTOR, 0, -1, 10000000, 0, -999192067, NO TRIGGER, 0, 0, 522, 20
Sending PORT_ABS, NO REACTOR, 0, -1, 10000000, 0, -999188365, NO TRIGGER, 0, 0, 1440, 10
Sending LTC, NO REACTOR, 0, -1, 10000000, 0, -999185082, NO TRIGGER, 0, 0, 522, 21
Sending NET, NO REACTOR, 0, -1, 11000000, 0, -999182219, NO TRIGGER, 0, 0, 522, 22
Sending PORT_ABS, NO REACTOR, 0, -1, 11000000, 0, -999178447, NO TRIGGER, 0, 0, 1440, 11
