Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 0, -1702002733065367101, 0, -1000025549, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 0, -1702002733065367101, 0, -1000024999, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 0, -1000000000, 0, -999956068, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 0, 0, 0, -999953779, NO TRIGGER, 0, 0, 835, 0
Sending PTAG, NO REACTOR, -1, 0, 0, 0, -999803862, NO TRIGGER, 0, 0, 237, 1
Receiving NET, NO REACTOR, -1, 0, 0, 0, -999789198, NO TRIGGER, 0, 0, 543, 1
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 10000000, 0, -999767737, NO TRIGGER, 0, 0, 402, 0
Receiving PORT_ABS, NO REACTOR, -1, 0, 0, 0, -999756162, NO TRIGGER, 0, 0, 311, 0
Receiving LTC, NO REACTOR, -1, 0, 0, 0, -999748975, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 0, 1000000, 0, -999739858, NO TRIGGER, 0, 0, 543, 2
Receiving PORT_ABS, NO REACTOR, -1, 0, 1000000, 0, -999721856, NO TRIGGER, 0, 0, 311, 1
Receiving LTC, NO REACTOR, -1, 0, 1000000, 0, -999703664, NO TRIGGER, 0, 0, 517, 1
Receiving NET, NO REACTOR, -1, 0, 2000000, 0, -999699655, NO TRIGGER, 0, 0, 543, 3
Receiving PORT_ABS, NO REACTOR, -1, 0, 2000000, 0, -999697056, NO TRIGGER, 0, 0, 311, 2
Receiving LTC, NO REACTOR, -1, 0, 2000000, 0, -999685941, NO TRIGGER, 0, 0, 517, 2
Receiving NET, NO REACTOR, -1, 0, 3000000, 0, -999682962, NO TRIGGER, 0, 0, 543, 4
Receiving PORT_ABS, NO REACTOR, -1, 0, 3000000, 0, -999680023, NO TRIGGER, 0, 0, 311, 3
Receiving LTC, NO REACTOR, -1, 0, 3000000, 0, -999658462, NO TRIGGER, 0, 0, 517, 4
Receiving NET, NO REACTOR, -1, 0, 4000000, 0, -999645238, NO TRIGGER, 0, 0, 543, 6
Receiving PORT_ABS, NO REACTOR, -1, 0, 4000000, 0, -999638541, NO TRIGGER, 0, 0, 311, 4
Receiving LTC, NO REACTOR, -1, 0, 4000000, 0, -999628755, NO TRIGGER, 0, 0, 517, 5
Receiving NET, NO REACTOR, -1, 0, 5000000, 0, -999624856, NO TRIGGER, 0, 0, 543, 7
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 10000000, 0, -999620878, NO TRIGGER, 0, 0, 402, 1
Receiving PORT_ABS, NO REACTOR, -1, 0, 5000000, 0, -999605704, NO TRIGGER, 0, 0, 311, 5
Receiving LTC, NO REACTOR, -1, 0, 5000000, 0, -999596588, NO TRIGGER, 0, 0, 517, 6
Receiving NET, NO REACTOR, -1, 0, 6000000, 0, -999593619, NO TRIGGER, 0, 0, 543, 8
Receiving PORT_ABS, NO REACTOR, -1, 0, 6000000, 0, -999590691, NO TRIGGER, 0, 0, 311, 6
Receiving LTC, NO REACTOR, -1, 0, 6000000, 0, -999579915, NO TRIGGER, 0, 0, 517, 7
Receiving NET, NO REACTOR, -1, 0, 7000000, 0, -999576996, NO TRIGGER, 0, 0, 543, 9
Receiving PORT_ABS, NO REACTOR, -1, 0, 7000000, 0, -999570569, NO TRIGGER, 0, 0, 311, 7
Receiving LTC, NO REACTOR, -1, 0, 7000000, 0, -999562093, NO TRIGGER, 0, 0, 517, 8
Receiving NET, NO REACTOR, -1, 0, 8000000, 0, -999559234, NO TRIGGER, 0, 0, 543, 10
Receiving PORT_ABS, NO REACTOR, -1, 0, 8000000, 0, -999555785, NO TRIGGER, 0, 0, 311, 8
Receiving LTC, NO REACTOR, -1, 0, 8000000, 0, -999545799, NO TRIGGER, 0, 0, 517, 9
Receiving NET, NO REACTOR, -1, 0, 9000000, 0, -999542431, NO TRIGGER, 0, 0, 543, 11
Receiving PORT_ABS, NO REACTOR, -1, 0, 9000000, 0, -999539912, NO TRIGGER, 0, 0, 311, 9
Receiving LTC, NO REACTOR, -1, 0, 9000000, 0, -999531775, NO TRIGGER, 0, 0, 517, 10
Receiving NET, NO REACTOR, -1, 0, 10000000, 0, -999528896, NO TRIGGER, 0, 0, 543, 12
Sending PTAG, NO REACTOR, -1, 0, 10000000, 0, -999519610, NO TRIGGER, 0, 0, 237, 3
Receiving PORT_ABS, NO REACTOR, -1, 0, 10000000, 0, -999511544, NO TRIGGER, 0, 0, 311, 10
Receiving LTC, NO REACTOR, -1, 0, 10000000, 0, -999503407, NO TRIGGER, 0, 0, 517, 11
Receiving NET, NO REACTOR, -1, 0, 11000000, 0, -999492852, NO TRIGGER, 0, 0, 543, 13
Receiving PORT_ABS, NO REACTOR, -1, 0, 11000000, 0, -999490483, NO TRIGGER, 0, 0, 311, 11
Receiving LTC, NO REACTOR, -1, 0, 11000000, 0, -999483425, NO TRIGGER, 0, 0, 517, 12
