Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702260913740099518, 0, -1000129208, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702260913740099518, 0, -1000034293, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1000000000, 0, -999997207, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999860665, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999812893, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999681730, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999620199, NO TRIGGER, 0, 0, 1724, 0
Receiving TAG, NO REACTOR, 1, -1, 0, 0, -999575849, NO TRIGGER, 0, 0, 1880, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 1, -999569703, NO TRIGGER, 0, 0, 1724, 1
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999564395, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 1, -1, 7521111123114676289, -1, -999530452, NO TRIGGER, 0, 0, 522, 2
Receiving TAG, NO REACTOR, 1, -1, 0, 1, -999504331, NO TRIGGER, 0, 0, 1880, 1
Receiving STOP_REQ, NO REACTOR, 1, -1, 1000, 1, -999498045, NO TRIGGER, 0, 0, 2284, 0
Sending LTC, NO REACTOR, 1, -1, 0, 1, -999454254, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 1, -1, 7521111123114676289, -1, -999434559, NO TRIGGER, 0, 0, 522, 4
Sending STOP_REQ_REP, NO REACTOR, 1, -1, 1000, 1, -999408019, NO TRIGGER, 0, 0, 2342, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 1000, 0, -999382386, NO TRIGGER, 0, 0, 1724, 2
Receiving TAG, NO REACTOR, 1, -1, 1000, 0, -999372818, NO TRIGGER, 0, 0, 1880, 2
Sending LTC, NO REACTOR, 1, -1, 1000, 0, -999362761, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 1, -1, 7521111123114676289, -1, -999347605, NO TRIGGER, 0, 0, 522, 6
Receiving STOP_GRN, NO REACTOR, 1, -1, 1000, 1, -999317573, NO TRIGGER, 0, 0, 2239, 0
Sending NET, NO REACTOR, 1, -1, 1000, 1, -999304582, NO TRIGGER, 0, 0, 522, 7
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 1000, 1, -999245496, NO TRIGGER, 0, 0, 1724, 3
Sending NET, NO REACTOR, 1, -1, 1000, 1, -999226429, NO TRIGGER, 0, 0, 522, 8
Receiving PTAG, NO REACTOR, 1, -1, 1000, 1, -999224054, NO TRIGGER, 0, 0, 2100, 1
Receiving TAG, NO REACTOR, 1, -1, 1000, 1, -999193114, NO TRIGGER, 0, 0, 1880, 3
Sending LTC, NO REACTOR, 1, -1, 1000, 1, -999181102, NO TRIGGER, 0, 0, 522, 9
Sending NET, NO REACTOR, 1, -1, 7521111123114676289, -1, -999158752, NO TRIGGER, 0, 0, 522, 10
Receiving TAG, NO REACTOR, 1, -1, 7521111123114676289, -1, -999095615, NO TRIGGER, 0, 0, 1880, 4
