Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702002732573418130, 0, -1000229457, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702002732573418130, 0, -1000155154, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000140971, 0, -1000140241, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999880888, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999812421, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999764335, NO TRIGGER, 0, 0, 2100, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999676698, NO TRIGGER, 0, 0, 435, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999645333, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 0, 1, -999639726, NO TRIGGER, 0, 0, 522, 2
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 1, -999632569, NO TRIGGER, 0, 0, 435, 1
Sending LTC, NO REACTOR, 0, -1, 0, 1, -999622674, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 0, -1, 1000, 0, -999617796, NO TRIGGER, 0, 0, 522, 4
Sending STOP_REQ, NO REACTOR, 0, -1, 1000, 0, -999612159, NO TRIGGER, 0, 0, 2210, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 1000, 0, -999606322, NO TRIGGER, 0, 0, 435, 2
Sending LTC, NO REACTOR, 0, -1, 1000, 0, -999599225, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 0, -1, 1000, 1, -999598026, NO TRIGGER, 0, 0, 522, 6
Receiving STOP_GRN, NO REACTOR, 0, -1, 1000, 1, -999325019, NO TRIGGER, 0, 0, 2239, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 1000, 1, -999315134, NO TRIGGER, 0, 0, 435, 3
Sending LTC, NO REACTOR, 0, -1, 1000, 1, -999300691, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 0, -1, 7521369304281357677, -1, -999295824, NO TRIGGER, 0, 0, 522, 8
