Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702002732573418130, 0, -1000050115, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 1, -1702002732573418130, 0, -1000049226, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000000000, 0, -999950274, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999946606, NO TRIGGER, 0, 0, 835, 0
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999832002, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999796039, NO TRIGGER, 0, 0, 237, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999634508, NO TRIGGER, 0, 0, 479, 0
Sending TAG, NO REACTOR, -1, 1, 0, 0, -999613588, NO TRIGGER, 0, 0, 198, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 1, -999600395, NO TRIGGER, 0, 0, 479, 1
Sending TAG, NO REACTOR, -1, 1, 0, 1, -999592519, NO TRIGGER, 0, 0, 198, 1
Sending STOP_REQ, NO REACTOR, -1, 1, 1000, 1, -999581814, NO TRIGGER, 0, 0, 682, 0
Sending STOP_REQ, NO REACTOR, -1, 1, 1000, 1, -999576846, NO TRIGGER, 0, 0, 687, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 1000, 0, -999562094, NO TRIGGER, 0, 0, 479, 2
Sending TAG, NO REACTOR, -1, 1, 1000, 0, -999552788, NO TRIGGER, 0, 0, 198, 2
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999495696, NO TRIGGER, 0, 0, 517, 3
Receiving NET, NO REACTOR, -1, 1, 7521369304281357677, -1, -999481603, NO TRIGGER, 0, 0, 543, 5
Receiving NET, NO REACTOR, -1, 1, 0, 1, -999459434, NO TRIGGER, 0, 0, 543, 6
Receiving LTC, NO REACTOR, -1, 1, 0, 1, -999404910, NO TRIGGER, 0, 0, 517, 4
Receiving NET, NO REACTOR, -1, 1, 7521369304281357677, -1, -999402432, NO TRIGGER, 0, 0, 543, 7
Receiving STOP_REQ_REP, NO REACTOR, -1, 1, 1000, 1, -999347838, NO TRIGGER, 0, 0, 706, 0
Sending STOP_GRN, NO REACTOR, -1, 1, 1000, 1, -999334975, NO TRIGGER, 0, 0, 590, 1
Receiving NET, NO REACTOR, -1, 1, 1000, 0, -999321811, NO TRIGGER, 0, 0, 543, 8
Sending TAGGED_MSG, NO REACTOR, -1, 1, 1000, 1, -999289647, NO TRIGGER, 0, 0, 479, 3
