Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702260914056895316, 0, -1000229571, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702260914056895316, 0, -1000150650, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1000130745, 0, -1000128370, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999852634, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999801509, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999673698, NO TRIGGER, 0, 0, 2100, 0
Receiving STOP_REQ, NO REACTOR, 1, -1, 0, 1, -999620758, NO TRIGGER, 0, 0, 2284, 0
Sending STOP_REQ_REP, NO REACTOR, 1, -1, 0, 1, -999593170, NO TRIGGER, 0, 0, 2342, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999571589, NO TRIGGER, 0, 0, 1724, 0
Receiving TAG, NO REACTOR, 1, -1, 0, 0, -999526331, NO TRIGGER, 0, 0, 1880, 0
Receiving STOP_GRN, NO REACTOR, 1, -1, 0, 1, -999520045, NO TRIGGER, 0, 0, 2239, 0
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999494343, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 1, -1, 0, 1, -999476254, NO TRIGGER, 0, 0, 522, 2
Receiving PORT_ABS, NO REACTOR, 1, -1, 0, 1, -999438609, NO TRIGGER, 0, 0, 1605, 0
Receiving TAG, NO REACTOR, 1, -1, 0, 1, -999406203, NO TRIGGER, 0, 0, 1880, 1
Sending LTC, NO REACTOR, 1, -1, 0, 1, -999392653, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 1, -1, 7521111122797880491, -1, -999381828, NO TRIGGER, 0, 0, 522, 4
