Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702260914056895316, 0, -1000227616, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702260914056895316, 0, -1000021582, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000000000, 0, -999998045, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999856405, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999802976, NO TRIGGER, 0, 0, 522, 0
Sending STOP_REQ, NO REACTOR, 0, -1, 0, 0, -999694371, NO TRIGGER, 0, 0, 2210, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999670904, NO TRIGGER, 0, 0, 435, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999643875, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 1000, 0, -999632631, NO TRIGGER, 0, 0, 522, 2
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999624110, NO TRIGGER, 0, 0, 2100, 0
Receiving STOP_GRN, NO REACTOR, 0, -1, 0, 1, -999524864, NO TRIGGER, 0, 0, 2239, 0
Sending PORT_ABS, NO REACTOR, 0, -1, 0, 1, -999501537, NO TRIGGER, 0, 0, 1440, 0
Sending LTC, NO REACTOR, 0, -1, 0, 1, -999455651, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 0, -1, 7521111122797880491, -1, -999444825, NO TRIGGER, 0, 0, 522, 4
