Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702002732966114470, 0, -1000025288, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 1, -1702002732966114470, 0, -1000024658, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000000000, 0, -999930794, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999926686, NO TRIGGER, 0, 0, 835, 0
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999780857, NO TRIGGER, 0, 0, 543, 1
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999746564, NO TRIGGER, 0, 0, 237, 0
Sending STOP_REQ, NO REACTOR, -1, 1, 0, 1, -999700906, NO TRIGGER, 0, 0, 682, 0
Sending STOP_REQ, NO REACTOR, -1, 1, 0, 1, -999693070, NO TRIGGER, 0, 0, 687, 0
Receiving STOP_REQ_REP, NO REACTOR, -1, 1, 0, 1, -999661636, NO TRIGGER, 0, 0, 706, 0
Sending STOP_GRN, NO REACTOR, -1, 1, 0, 1, -999652590, NO TRIGGER, 0, 0, 590, 1
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999639047, NO TRIGGER, 0, 0, 479, 0
Sending TAG, NO REACTOR, -1, 1, 0, 0, -999618267, NO TRIGGER, 0, 0, 198, 0
Sending PORT_ABS, NO REACTOR, -1, 1, 0, 1, -999557387, NO TRIGGER, 0, 0, 356, 0
Sending TAG, NO REACTOR, -1, 1, 0, 1, -999540675, NO TRIGGER, 0, 0, 198, 1
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999525852, NO TRIGGER, 0, 0, 517, 2
Receiving NET, NO REACTOR, -1, 1, 0, 1, -999514398, NO TRIGGER, 0, 0, 543, 4
Receiving LTC, NO REACTOR, -1, 1, 0, 1, -999487021, NO TRIGGER, 0, 0, 517, 3
Sending TAG, NO REACTOR, -1, 1, 7521369303888661337, -1, -999456786, NO TRIGGER, 0, 0, 198, 2
Receiving NET, NO REACTOR, -1, 1, 7521369303888661337, -1, -999442223, NO TRIGGER, 0, 0, 543, 5
Receiving FED_ID, NO REACTOR, -1, 0, -1702002732966114470, 0, -1000148498, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 0, -1702002732966114470, 0, -1000146549, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 0, -1000115194, 0, -1000028237, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 0, 0, 0, -999923448, NO TRIGGER, 0, 0, 835, 1
Receiving NET, NO REACTOR, -1, 0, 0, 0, -999864317, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 0, 0, 0, -999729083, NO TRIGGER, 0, 0, 237, 1
Receiving STOP_REQ, NO REACTOR, -1, 0, 0, 1, -999701366, NO TRIGGER, 0, 0, 640, 0
Sending STOP_GRN, NO REACTOR, -1, 0, 0, 1, -999660956, NO TRIGGER, 0, 0, 590, 0
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 0, 0, -999658447, NO TRIGGER, 0, 0, 402, 0
Receiving LTC, NO REACTOR, -1, 0, 0, 0, -999619066, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 0, 1000, 0, -999595788, NO TRIGGER, 0, 0, 543, 2
Receiving PORT_ABS, NO REACTOR, -1, 0, 0, 1, -999557786, NO TRIGGER, 0, 0, 311, 0
Receiving LTC, NO REACTOR, -1, 0, 0, 1, -999541134, NO TRIGGER, 0, 0, 517, 1
Receiving NET, NO REACTOR, -1, 0, 7521369303888661337, -1, -999524792, NO TRIGGER, 0, 0, 543, 3
