Start time:, 1702260914056895316
End time:, 1702260913057536746
Total time:, -999358570

Total Event Occurrences
Sending ACK, 2
Sending TIMESTAMP, 2
Sending STOP_REQ, 2
Sending STOP_GRN, 2
Sending PTAG, 2
Sending TAG, 2
Sending PORT_ABS, 1
Sending TAGGED_MSG, 1
Receiving TIMESTAMP, 2
Receiving NET, 6
Receiving LTC, 4
Receiving STOP_REQ, 1
Receiving STOP_REQ_REP, 1
Receiving FED_ID, 2
Receiving PORT_ABS, 1
Receiving TAGGED_MSG, 1

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
