Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702260912999266124, 0, -1000358639, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702260912999266124, 0, -1000286701, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1000269939, 0, -1000268962, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999867579, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999815477, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999732085, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999688224, NO TRIGGER, 0, 0, 1724, 0
Receiving TAG, NO REACTOR, 1, -1, 0, 0, -999620547, NO TRIGGER, 0, 0, 1880, 0
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999610141, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 1, -1, 7521111123855509683, -1, -999593938, NO TRIGGER, 0, 0, 522, 2
Receiving TAG, NO REACTOR, 1, -1, 7521111123855509683, -1, -999553150, NO TRIGGER, 0, 0, 1880, 1
