Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702260912999266124, 0, -1000072915, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702260912999266124, 0, -1000016622, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000000000, 0, -999998114, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999908925, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999872747, NO TRIGGER, 0, 0, 522, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999779298, NO TRIGGER, 0, 0, 435, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999754924, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 0, 0, -999744517, NO TRIGGER, 0, 0, 522, 2
Sending NET, NO REACTOR, 0, -1, 7521111123855509683, -1, -999735927, NO TRIGGER, 0, 0, 522, 3
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999708269, NO TRIGGER, 0, 0, 2100, 0
