Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702260912999266124, 0, -1000319597, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 1, -1702260912999266124, 0, -1000317711, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000269939, 0, -1000192834, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999929459, NO TRIGGER, 0, 0, 835, 1
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999787330, NO TRIGGER, 0, 0, 543, 1
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999756809, NO TRIGGER, 0, 0, 237, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999718745, NO TRIGGER, 0, 0, 479, 0
Sending TAG, NO REACTOR, -1, 1, 0, 0, -999699120, NO TRIGGER, 0, 0, 198, 0
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999582763, NO TRIGGER, 0, 0, 517, 1
Sending TAG, NO REACTOR, -1, 1, 7521111123855509683, -1, -999576128, NO TRIGGER, 0, 0, 198, 1
Receiving NET, NO REACTOR, -1, 1, 7521111123855509683, -1, -999547004, NO TRIGGER, 0, 0, 543, 4
Receiving FED_ID, NO REACTOR, -1, 0, -1702260912999266124, 0, -1000038622, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 0, -1702260912999266124, 0, -1000036667, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 0, -1000000000, 0, -999940424, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 0, 0, 0, -999937561, NO TRIGGER, 0, 0, 835, 0
Receiving NET, NO REACTOR, -1, 0, 0, 0, -999847953, NO TRIGGER, 0, 0, 543, 0
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 0, 0, -999745914, NO TRIGGER, 0, 0, 402, 0
Sending PTAG, NO REACTOR, -1, 0, 0, 0, -999743120, NO TRIGGER, 0, 0, 237, 1
Receiving LTC, NO REACTOR, -1, 0, 0, 0, -999701075, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 0, 0, 0, -999686828, NO TRIGGER, 0, 0, 543, 2
Receiving NET, NO REACTOR, -1, 0, 7521111123855509683, -1, -999674885, NO TRIGGER, 0, 0, 543, 3
