Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702002732074363748, 0, -1000070286, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702002732074363748, 0, -1000012514, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000000000, 0, -999999281, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999850264, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999797160, NO TRIGGER, 0, 0, 522, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999670961, NO TRIGGER, 0, 0, 435, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999647213, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 0, 0, -999640976, NO TRIGGER, 0, 0, 522, 2
Sending NET, NO REACTOR, 0, -1, 7521369304780412059, -1, -999633150, NO TRIGGER, 0, 0, 522, 3
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999613029, NO TRIGGER, 0, 0, 2100, 0
