Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702260913080857079, 0, -1000048750, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 1, -1702260913080857079, 0, -1000045397, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000000000, 0, -999897612, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999894259, NO TRIGGER, 0, 0, 835, 0
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999735787, NO TRIGGER, 0, 0, 543, 1
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999708549, NO TRIGGER, 0, 0, 237, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999620478, NO TRIGGER, 0, 0, 479, 0
Sending TAG, NO REACTOR, -1, 1, 0, 0, -999597919, NO TRIGGER, 0, 0, 198, 0
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999474857, NO TRIGGER, 0, 0, 517, 1
Sending TAG, NO REACTOR, -1, 1, 7521111123773918728, -1, -999470038, NO TRIGGER, 0, 0, 198, 1
Receiving NET, NO REACTOR, -1, 1, 7521111123773918728, -1, -999442870, NO TRIGGER, 0, 0, 543, 3
Receiving FED_ID, NO REACTOR, -1, 0, -1702260913080857079, 0, -1000335242, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 0, -1702260913080857079, 0, -1000333287, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 0, -1000287470, 0, -1000220282, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 0, 0, 0, -999884342, NO TRIGGER, 0, 0, 835, 1
Receiving NET, NO REACTOR, -1, 0, 0, 0, -999779508, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 0, 0, 0, -999691857, NO TRIGGER, 0, 0, 237, 1
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 0, 0, -999622853, NO TRIGGER, 0, 0, 402, 0
Receiving LTC, NO REACTOR, -1, 0, 0, 0, -999600294, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 0, 7521111123773918728, -1, -999575849, NO TRIGGER, 0, 0, 543, 2
