Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702002732126810312, 0, -1000060530, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702002732126810312, 0, -1000012224, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1000000000, 0, -999999580, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999879898, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999822726, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999766624, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999682944, NO TRIGGER, 0, 0, 1724, 0
Sending TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999634488, NO TRIGGER, 0, 0, 435, 0
Sending PORT_ABS, NO REACTOR, 1, -1, 0, 0, -999609021, NO TRIGGER, 0, 0, 1440, 0
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999602854, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -999595257, NO TRIGGER, 0, 0, 522, 2
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 1, -989295410, NO TRIGGER, 0, 0, 1724, 1
Sending NET, NO REACTOR, 1, -1, 0, 1, -989259378, NO TRIGGER, 0, 0, 522, 3
Receiving PTAG, NO REACTOR, 1, -1, 0, 1, -989238878, NO TRIGGER, 0, 0, 2100, 1
Receiving PORT_ABS, NO REACTOR, 1, -1, 0, 1, -988981004, NO TRIGGER, 0, 0, 1605, 0
Sending PORT_ABS, NO REACTOR, 1, -1, 0, 1, -988973038, NO TRIGGER, 0, 0, 1440, 1
Sending PORT_ABS, NO REACTOR, 1, -1, 0, 1, -988964392, NO TRIGGER, 0, 0, 1440, 2
Sending LTC, NO REACTOR, 1, -1, 0, 1, -988957555, NO TRIGGER, 0, 0, 522, 4
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -988951718, NO TRIGGER, 0, 0, 522, 5
Receiving PTAG, NO REACTOR, 1, -1, 33000000, 0, -988896035, NO TRIGGER, 0, 0, 2100, 2
Receiving PORT_ABS, NO REACTOR, 1, -1, 0, 2, -988763230, NO TRIGGER, 0, 0, 1605, 1
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 33000000, 0, -988713814, NO TRIGGER, 0, 0, 1724, 2
Sending TAGGED_MSG, NO REACTOR, 1, -1, 33000000, 0, -988676073, NO TRIGGER, 0, 0, 435, 1
Sending TAGGED_MSG, NO REACTOR, 1, -1, 33000000, 0, -988663229, NO TRIGGER, 0, 0, 435, 2
Sending LTC, NO REACTOR, 1, -1, 33000000, 0, -988652384, NO TRIGGER, 0, 0, 522, 6
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -988646847, NO TRIGGER, 0, 0, 522, 7
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 33000000, 1, -978370668, NO TRIGGER, 0, 0, 1724, 3
Sending NET, NO REACTOR, 1, -1, 33000000, 1, -978328279, NO TRIGGER, 0, 0, 522, 8
Receiving PTAG, NO REACTOR, 1, -1, 33000000, 1, -978324240, NO TRIGGER, 0, 0, 2100, 3
Receiving PORT_ABS, NO REACTOR, 1, -1, 33000000, 1, -978226308, NO TRIGGER, 0, 0, 1605, 2
Sending PORT_ABS, NO REACTOR, 1, -1, 33000000, 1, -978215724, NO TRIGGER, 0, 0, 1440, 3
Sending PORT_ABS, NO REACTOR, 1, -1, 33000000, 1, -978202550, NO TRIGGER, 0, 0, 1440, 4
Sending LTC, NO REACTOR, 1, -1, 33000000, 1, -978197273, NO TRIGGER, 0, 0, 522, 9
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -978192335, NO TRIGGER, 0, 0, 522, 10
Receiving PTAG, NO REACTOR, 1, -1, 66000000, 0, -978135593, NO TRIGGER, 0, 0, 2100, 4
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 66000000, 0, -978075722, NO TRIGGER, 0, 0, 1724, 4
Receiving PORT_ABS, NO REACTOR, 1, -1, 33000000, 2, -978056201, NO TRIGGER, 0, 0, 1605, 3
Sending TAGGED_MSG, NO REACTOR, 1, -1, 66000000, 0, -978051444, NO TRIGGER, 0, 0, 435, 3
Sending TAGGED_MSG, NO REACTOR, 1, -1, 66000000, 0, -978039000, NO TRIGGER, 0, 0, 435, 4
Sending LTC, NO REACTOR, 1, -1, 66000000, 0, -978026936, NO TRIGGER, 0, 0, 522, 11
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -978021318, NO TRIGGER, 0, 0, 522, 12
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 66000000, 1, -967778493, NO TRIGGER, 0, 0, 1724, 5
Sending NET, NO REACTOR, 1, -1, 66000000, 1, -967715004, NO TRIGGER, 0, 0, 522, 13
