Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702260913219714726, 0, -1000315896, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702260913219714726, 0, -1000111119, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000092052, 0, -1000090655, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999885669, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999841040, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999747661, NO TRIGGER, 0, 0, 2100, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999690320, NO TRIGGER, 0, 0, 435, 0
Receiving PORT_ABS, NO REACTOR, 0, -1, 0, 0, -999457397, NO TRIGGER, 0, 0, 1605, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999444965, NO TRIGGER, 0, 0, 522, 1
Receiving TAG, NO REACTOR, 0, -1, 0, 0, -999437701, NO TRIGGER, 0, 0, 1880, 0
Sending NET, NO REACTOR, 0, -1, 33000000, 0, -999418704, NO TRIGGER, 0, 0, 522, 2
Receiving PTAG, NO REACTOR, 0, -1, 0, 1, -989033112, NO TRIGGER, 0, 0, 2100, 1
Sending PORT_ABS, NO REACTOR, 0, -1, 0, 1, -988881904, NO TRIGGER, 0, 0, 1440, 0
Receiving PORT_ABS, NO REACTOR, 0, -1, 0, 1, -988646676, NO TRIGGER, 0, 0, 1605, 1
Receiving PTAG, NO REACTOR, 0, -1, 33000000, 0, -988607215, NO TRIGGER, 0, 0, 2100, 2
Sending LTC, NO REACTOR, 0, -1, 0, 1, -988483455, NO TRIGGER, 0, 0, 522, 3
Sending TAGGED_MSG, NO REACTOR, 0, -1, 33000000, 0, -988373872, NO TRIGGER, 0, 0, 435, 1
Receiving TAGGED_MSG, NO REACTOR, 0, -1, 33000000, 0, -987945112, NO TRIGGER, 0, 0, 1724, 0
Sending LTC, NO REACTOR, 0, -1, 33000000, 0, -987906070, NO TRIGGER, 0, 0, 522, 4
Receiving TAG, NO REACTOR, 0, -1, 33000000, 0, -987895594, NO TRIGGER, 0, 0, 1880, 1
Sending NET, NO REACTOR, 0, -1, 66000000, 0, -987849218, NO TRIGGER, 0, 0, 522, 5
Receiving PTAG, NO REACTOR, 0, -1, 33000000, 1, -977359771, NO TRIGGER, 0, 0, 2100, 3
Sending PORT_ABS, NO REACTOR, 0, -1, 33000000, 1, -977235801, NO TRIGGER, 0, 0, 1440, 1
Receiving PORT_ABS, NO REACTOR, 0, -1, 33000000, 1, -976800126, NO TRIGGER, 0, 0, 1605, 2
Sending LTC, NO REACTOR, 0, -1, 33000000, 1, -976768697, NO TRIGGER, 0, 0, 522, 6
Sending NET, NO REACTOR, 0, -1, 66000000, 0, -976721414, NO TRIGGER, 0, 0, 522, 7
Receiving PTAG, NO REACTOR, 0, -1, 66000000, 0, -976668614, NO TRIGGER, 0, 0, 2100, 4
Sending TAGGED_MSG, NO REACTOR, 0, -1, 66000000, 0, -976520967, NO TRIGGER, 0, 0, 435, 2
Receiving TAGGED_MSG, NO REACTOR, 0, -1, 66000000, 0, -976194106, NO TRIGGER, 0, 0, 1724, 1
Sending LTC, NO REACTOR, 0, -1, 66000000, 0, -976166798, NO TRIGGER, 0, 0, 522, 8
Receiving TAG, NO REACTOR, 0, -1, 66000000, 0, -976161211, NO TRIGGER, 0, 0, 1880, 2
Sending NET, NO REACTOR, 0, -1, 99000000, 0, -976129293, NO TRIGGER, 0, 0, 522, 9
Receiving PTAG, NO REACTOR, 0, -1, 66000000, 1, -965325207, NO TRIGGER, 0, 0, 2100, 5
Sending PORT_ABS, NO REACTOR, 0, -1, 66000000, 1, -965274152, NO TRIGGER, 0, 0, 1440, 2
Receiving PORT_ABS, NO REACTOR, 0, -1, 66000000, 1, -964951272, NO TRIGGER, 0, 0, 1605, 3
Sending LTC, NO REACTOR, 0, -1, 66000000, 1, -964935418, NO TRIGGER, 0, 0, 522, 10
Sending NET, NO REACTOR, 0, -1, 99000000, 0, -964910554, NO TRIGGER, 0, 0, 522, 11
