Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 2, -1, -1702260913219714726, 0, -1000225730, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 2, -1, -1702260913219714726, 0, -1000018159, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 2, -1, -1000000000, 0, -999998115, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 2, -1, 0, 0, -999907529, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 2, -1, 0, 0, -999859757, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 2, -1, 0, 0, -999772944, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -999474508, NO TRIGGER, 0, 0, 1724, 0
Receiving TAG, NO REACTOR, 2, -1, 0, 0, -999416819, NO TRIGGER, 0, 0, 1880, 0
Sending TAGGED_MSG, NO REACTOR, 2, -1, 0, 1, -989338462, NO TRIGGER, 0, 0, 435, 0
Sending LTC, NO REACTOR, 2, -1, 0, 0, -989256118, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 2, -1, 1000000000, 0, -989240473, NO TRIGGER, 0, 0, 522, 2
Receiving PTAG, NO REACTOR, 2, -1, 0, 1, -989026826, NO TRIGGER, 0, 0, 2100, 1
Receiving PORT_ABS, NO REACTOR, 2, -1, 0, 1, -988670562, NO TRIGGER, 0, 0, 1605, 0
Sending PORT_ABS, NO REACTOR, 2, -1, 0, 2, -988646676, NO TRIGGER, 0, 0, 1440, 0
Sending LTC, NO REACTOR, 2, -1, 0, 1, -988600510, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 2, -1, 1000000000, 0, -988574808, NO TRIGGER, 0, 0, 522, 4
Receiving PTAG, NO REACTOR, 2, -1, 33000000, 0, -988545265, NO TRIGGER, 0, 0, 2100, 2
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 33000000, 0, -987949931, NO TRIGGER, 0, 0, 1724, 1
Receiving TAG, NO REACTOR, 2, -1, 33000000, 0, -987871219, NO TRIGGER, 0, 0, 1880, 1
Sending TAGGED_MSG, NO REACTOR, 2, -1, 33000000, 1, -977655832, NO TRIGGER, 0, 0, 435, 1
Sending LTC, NO REACTOR, 2, -1, 33000000, 0, -977584174, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 2, -1, 1000000000, 0, -977565666, NO TRIGGER, 0, 0, 522, 6
Receiving PTAG, NO REACTOR, 2, -1, 33000000, 1, -977331136, NO TRIGGER, 0, 0, 2100, 3
Receiving PORT_ABS, NO REACTOR, 2, -1, 33000000, 1, -976812488, NO TRIGGER, 0, 0, 1605, 1
Sending PORT_ABS, NO REACTOR, 2, -1, 33000000, 2, -976768697, NO TRIGGER, 0, 0, 1440, 1
Sending LTC, NO REACTOR, 2, -1, 33000000, 1, -976705770, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 2, -1, 1000000000, 0, -976672455, NO TRIGGER, 0, 0, 522, 8
Receiving PTAG, NO REACTOR, 2, -1, 66000000, 0, -976524320, NO TRIGGER, 0, 0, 2100, 4
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 66000000, 0, -976222183, NO TRIGGER, 0, 0, 1724, 2
Receiving TAG, NO REACTOR, 2, -1, 66000000, 0, -976137255, NO TRIGGER, 0, 0, 1880, 2
