Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702260913219714726, 0, -1000277693, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 1, -1702260913219714726, 0, -1000275318, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000224752, 0, -1000126415, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999932882, NO TRIGGER, 0, 0, 835, 1
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999783350, NO TRIGGER, 0, 0, 237, 1
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999748569, NO TRIGGER, 0, 0, 543, 1
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999639894, NO TRIGGER, 0, 0, 479, 0
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999501118, NO TRIGGER, 0, 0, 402, 1
Receiving PORT_ABS, NO REACTOR, -1, 1, 0, 0, -999484077, NO TRIGGER, 0, 0, 311, 0
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999467734, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999431974, NO TRIGGER, 0, 0, 543, 3
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 1, -989208556, NO TRIGGER, 0, 0, 479, 2
Sending PTAG, NO REACTOR, -1, 1, 0, 1, -989110777, NO TRIGGER, 0, 0, 237, 3
Receiving NET, NO REACTOR, -1, 1, 0, 1, -989023614, NO TRIGGER, 0, 0, 543, 6
Sending PORT_ABS, NO REACTOR, -1, 1, 0, 1, -988825262, NO TRIGGER, 0, 0, 356, 1
Receiving PORT_ABS, NO REACTOR, -1, 1, 0, 1, -988710581, NO TRIGGER, 0, 0, 311, 2
Receiving PORT_ABS, NO REACTOR, -1, 1, 0, 1, -988680549, NO TRIGGER, 0, 0, 311, 3
Receiving LTC, NO REACTOR, -1, 1, 0, 1, -988655266, NO TRIGGER, 0, 0, 517, 3
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -988638644, NO TRIGGER, 0, 0, 543, 7
Sending PTAG, NO REACTOR, -1, 1, 33000000, 0, -988624745, NO TRIGGER, 0, 0, 237, 7
Sending PORT_ABS, NO REACTOR, -1, 1, 0, 2, -988529551, NO TRIGGER, 0, 0, 356, 4
Sending TAGGED_MSG, NO REACTOR, -1, 1, 33000000, 0, -988292786, NO TRIGGER, 0, 0, 479, 3
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 33000000, 0, -988047919, NO TRIGGER, 0, 0, 402, 4
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 33000000, 0, -987997144, NO TRIGGER, 0, 0, 402, 5
Receiving LTC, NO REACTOR, -1, 1, 33000000, 0, -987961874, NO TRIGGER, 0, 0, 517, 6
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -987897060, NO TRIGGER, 0, 0, 543, 9
