Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702260913059966255, 0, -1000259044, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702260913059966255, 0, -1000063836, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000000000, 0, -999996648, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999761489, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999657355, NO TRIGGER, 0, 0, 522, 0
Receiving TAG, NO REACTOR, 0, -1, 0, 0, -999508661, NO TRIGGER, 0, 0, 1880, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 1, -999424711, NO TRIGGER, 0, 0, 435, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999386577, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 100000000, 0, -999367370, NO TRIGGER, 0, 0, 522, 2
Receiving TAGGED_MSG, NO REACTOR, 0, -1, 0, 1, -999345021, NO TRIGGER, 0, 0, 1724, 0
Receiving TAG, NO REACTOR, 0, -1, 0, 1, -999300252, NO TRIGGER, 0, 0, 1880, 1
Sending PORT_ABS, NO REACTOR, 0, -1, 0, 2, -999250315, NO TRIGGER, 0, 0, 1440, 0
Sending LTC, NO REACTOR, 0, -1, 0, 1, -999231667, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 0, -1, 100000000, 0, -999214486, NO TRIGGER, 0, 0, 522, 4
Receiving PORT_ABS, NO REACTOR, 0, -1, 0, 2, -999185920, NO TRIGGER, 0, 0, 1605, 0
Receiving TAG, NO REACTOR, 0, -1, 0, 2, -999162523, NO TRIGGER, 0, 0, 1880, 2
Receiving TAG, NO REACTOR, 0, -1, 100000000, 0, -999156307, NO TRIGGER, 0, 0, 1880, 3
Sending TAGGED_MSG, NO REACTOR, 0, -1, 100000000, 1, -999147647, NO TRIGGER, 0, 0, 435, 1
Sending LTC, NO REACTOR, 0, -1, 100000000, 0, -999117126, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 0, -1, 200000000, 0, -999097710, NO TRIGGER, 0, 0, 522, 6
Receiving TAGGED_MSG, NO REACTOR, 0, -1, 100000000, 1, -999068167, NO TRIGGER, 0, 0, 1724, 1
Receiving TAG, NO REACTOR, 0, -1, 100000000, 1, -999058738, NO TRIGGER, 0, 0, 1880, 4
Sending PORT_ABS, NO REACTOR, 0, -1, 100000000, 2, -999047703, NO TRIGGER, 0, 0, 1440, 1
Sending LTC, NO REACTOR, 0, -1, 100000000, 1, -999030801, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 0, -1, 200000000, 0, -999014528, NO TRIGGER, 0, 0, 522, 8
Receiving PORT_ABS, NO REACTOR, 0, -1, 100000000, 2, -998986870, NO TRIGGER, 0, 0, 1605, 1
Receiving TAG, NO REACTOR, 0, -1, 100000000, 2, -998974927, NO TRIGGER, 0, 0, 1880, 5
Receiving TAG, NO REACTOR, 0, -1, 200000000, 0, -998968362, NO TRIGGER, 0, 0, 1880, 6
Sending TAGGED_MSG, NO REACTOR, 0, -1, 200000000, 1, -998960191, NO TRIGGER, 0, 0, 435, 2
Sending LTC, NO REACTOR, 0, -1, 200000000, 0, -998930647, NO TRIGGER, 0, 0, 522, 9
Sending NET, NO REACTOR, 0, -1, 300000000, 0, -998913955, NO TRIGGER, 0, 0, 522, 10
Receiving TAGGED_MSG, NO REACTOR, 0, -1, 200000000, 1, -998884342, NO TRIGGER, 0, 0, 1724, 2
Receiving TAG, NO REACTOR, 0, -1, 200000000, 1, -998875891, NO TRIGGER, 0, 0, 1880, 7
Sending PORT_ABS, NO REACTOR, 0, -1, 200000000, 2, -998866253, NO TRIGGER, 0, 0, 1440, 2
Sending LTC, NO REACTOR, 0, -1, 200000000, 1, -998849072, NO TRIGGER, 0, 0, 522, 11
Sending NET, NO REACTOR, 0, -1, 300000000, 0, -998834335, NO TRIGGER, 0, 0, 522, 12
Receiving PORT_ABS, NO REACTOR, 0, -1, 200000000, 2, -998806817, NO TRIGGER, 0, 0, 1605, 2
Receiving TAG, NO REACTOR, 0, -1, 200000000, 2, -998790055, NO TRIGGER, 0, 0, 1880, 8
Receiving TAG, NO REACTOR, 0, -1, 300000000, 0, -998784468, NO TRIGGER, 0, 0, 1880, 9
