Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 0, -1702260913059966255, 0, -1000173139, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 0, -1702260913059966255, 0, -1000166434, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 0, -1000000000, 0, -999822042, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 0, 0, 0, -999818201, NO TRIGGER, 0, 0, 835, 0
Receiving NET, NO REACTOR, -1, 0, 0, 0, -999612725, NO TRIGGER, 0, 0, 543, 0
Sending TAG, NO REACTOR, -1, 0, 0, 0, -999537226, NO TRIGGER, 0, 0, 198, 0
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 0, 1, -999380361, NO TRIGGER, 0, 0, 402, 0
Sending TAGGED_MSG, NO REACTOR, -1, 0, 0, 1, -999378405, NO TRIGGER, 0, 0, 479, 0
Sending TAG, NO REACTOR, -1, 0, 0, 1, -999362621, NO TRIGGER, 0, 0, 198, 1
Receiving LTC, NO REACTOR, -1, 0, 0, 0, -999345021, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 0, 100000000, 0, -999338246, NO TRIGGER, 0, 0, 543, 1
Receiving PORT_ABS, NO REACTOR, -1, 0, 0, 2, -999216371, NO TRIGGER, 0, 0, 311, 0
Sending PORT_ABS, NO REACTOR, -1, 0, 0, 2, -999214486, NO TRIGGER, 0, 0, 356, 0
Receiving LTC, NO REACTOR, -1, 0, 0, 1, -999201146, NO TRIGGER, 0, 0, 517, 1
Sending TAG, NO REACTOR, -1, 0, 0, 2, -999199190, NO TRIGGER, 0, 0, 198, 2
Receiving NET, NO REACTOR, -1, 0, 100000000, 0, -999184454, NO TRIGGER, 0, 0, 543, 2
Sending TAG, NO REACTOR, -1, 0, 100000000, 0, -999182987, NO TRIGGER, 0, 0, 198, 3
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 100000000, 1, -999113773, NO TRIGGER, 0, 0, 402, 1
Sending TAGGED_MSG, NO REACTOR, -1, 0, 100000000, 1, -999111888, NO TRIGGER, 0, 0, 479, 1
Sending TAG, NO REACTOR, -1, 0, 100000000, 1, -999101551, NO TRIGGER, 0, 0, 198, 4
Receiving LTC, NO REACTOR, -1, 0, 100000000, 0, -999088072, NO TRIGGER, 0, 0, 517, 2
