Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 2, -1, -1702002732597780337, 0, -1001197015, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 2, -1, -1702002732597780337, 0, -1001134576, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 2, -1, -1001121002, 0, -1001120153, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 2, -1, 0, 0, -999872263, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 2, -1, 0, 0, -999801797, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 2, -1, 0, 0, -999694879, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -999541694, NO TRIGGER, 0, 0, 1724, 0
Sending TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -999486091, NO TRIGGER, 0, 0, 435, 0
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 1000000000, 0, -999449359, NO TRIGGER, 0, 0, 1724, 1
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -999262191, NO TRIGGER, 0, 0, 1724, 2
Receiving TAG, NO REACTOR, 2, -1, 0, 0, -999253245, NO TRIGGER, 0, 0, 1880, 0
Sending TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -999246588, NO TRIGGER, 0, 0, 435, 1
Sending LTC, NO REACTOR, 2, -1, 0, 0, -999225339, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 2, -1, 1000000000, 0, -999218902, NO TRIGGER, 0, 0, 522, 2
Receiving PTAG, NO REACTOR, 2, -1, 1000000000, 0, -999164398, NO TRIGGER, 0, 0, 2100, 1
Sending TAGGED_MSG, NO REACTOR, 2, -1, 1000000000, 0, -999087716, NO TRIGGER, 0, 0, 435, 2
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 1000000000, 0, -998923496, NO TRIGGER, 0, 0, 1724, 3
Sending TAGGED_MSG, NO REACTOR, 2, -1, 1000000000, 0, -998911962, NO TRIGGER, 0, 0, 435, 3
Receiving TAG, NO REACTOR, 2, -1, 1000000000, 0, -998908104, NO TRIGGER, 0, 0, 1880, 1
Sending LTC, NO REACTOR, 2, -1, 1000000000, 0, -998888983, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 2, -1, 7521369304256995470, -1, -998880697, NO TRIGGER, 0, 0, 522, 4
Receiving TAG, NO REACTOR, 2, -1, 7521369304256995470, -1, -998833410, NO TRIGGER, 0, 0, 1880, 2
