Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 3, -1, -1702260913762742890, 0, -1000076827, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 3, -1, -1702260913762742890, 0, -1000017181, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 3, -1, -1000000000, 0, -999998045, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 3, -1, 0, 0, -999873656, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 3, -1, 0, 0, -999815617, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 3, -1, 0, 0, -999700657, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 3, -1, 0, 0, -999407320, NO TRIGGER, 0, 0, 1724, 0
Sending TAGGED_MSG, NO REACTOR, 3, -1, 0, 0, -999340621, NO TRIGGER, 0, 0, 435, 0
Sending LTC, NO REACTOR, 3, -1, 0, 0, -999313103, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 3, -1, 1000000000, 0, -999303255, NO TRIGGER, 0, 0, 522, 2
Receiving PTAG, NO REACTOR, 3, -1, 1000000000, 0, -999135285, NO TRIGGER, 0, 0, 2100, 1
Receiving TAGGED_MSG, NO REACTOR, 3, -1, 1000000000, 0, -999050846, NO TRIGGER, 0, 0, 1724, 1
Sending TAGGED_MSG, NO REACTOR, 3, -1, 1000000000, 0, -999006985, NO TRIGGER, 0, 0, 435, 1
Sending LTC, NO REACTOR, 3, -1, 1000000000, 0, -998988337, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 3, -1, 7521111123092032917, -1, -998980794, NO TRIGGER, 0, 0, 522, 4
