Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702260913762742890, 0, -1000689901, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 1, -1702260913762742890, 0, -1000686688, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000575360, 0, -1000468920, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999919961, NO TRIGGER, 0, 0, 835, 1
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999700657, NO TRIGGER, 0, 0, 543, 1
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999667761, NO TRIGGER, 0, 0, 237, 3
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999210226, NO TRIGGER, 0, 0, 479, 4
Sending TAG, NO REACTOR, -1, 1, 0, 0, -999187736, NO TRIGGER, 0, 0, 198, 1
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999083951, NO TRIGGER, 0, 0, 517, 4
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999049868, NO TRIGGER, 0, 0, 543, 8
Sending PTAG, NO REACTOR, -1, 1, 1000000000, 0, -999047493, NO TRIGGER, 0, 0, 237, 6
Sending TAGGED_MSG, NO REACTOR, -1, 1, 1000000000, 0, -998895866, NO TRIGGER, 0, 0, 479, 7
Sending TAG, NO REACTOR, -1, 1, 1000000000, 0, -998820018, NO TRIGGER, 0, 0, 198, 4
Receiving LTC, NO REACTOR, -1, 1, 1000000000, 0, -998778671, NO TRIGGER, 0, 0, 517, 7
Sending TAG, NO REACTOR, -1, 1, 7521111123092032917, -1, -998766239, NO TRIGGER, 0, 0, 198, 5
Receiving NET, NO REACTOR, -1, 1, 7521111123092032917, -1, -998736696, NO TRIGGER, 0, 0, 543, 11
Receiving FED_ID, NO REACTOR, -1, 2, -1702260913762742890, 0, -1000480933, NO TRIGGER, 0, 0, 1173, 2
Sending ACK, NO REACTOR, -1, 2, -1702260913762742890, 0, -1000476533, NO TRIGGER, 0, 0, 1238, 2
Receiving TIMESTAMP, NO REACTOR, -1, 2, -1000418005, 0, -1000352563, NO TRIGGER, 0, 0, 802, 2
Sending TIMESTAMP, NO REACTOR, -1, 2, 0, 0, -999913256, NO TRIGGER, 0, 0, 835, 3
Receiving NET, NO REACTOR, -1, 2, 0, 0, -999792220, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 2, 0, 0, -999751292, NO TRIGGER, 0, 0, 237, 0
Sending TAGGED_MSG, NO REACTOR, -1, 2, 0, 0, -999568376, NO TRIGGER, 0, 0, 479, 0
Sending TAGGED_MSG, NO REACTOR, -1, 2, 1000000000, 0, -999530312, NO TRIGGER, 0, 0, 479, 1
Receiving TAGGED_MSG, NO REACTOR, -1, 2, 0, 0, -999437841, NO TRIGGER, 0, 0, 402, 2
Sending TAGGED_MSG, NO REACTOR, -1, 2, 0, 0, -999289846, NO TRIGGER, 0, 0, 479, 3
Sending TAG, NO REACTOR, -1, 2, 0, 0, -999269871, NO TRIGGER, 0, 0, 198, 0
Receiving TAGGED_MSG, NO REACTOR, -1, 2, 0, 0, -999212600, NO TRIGGER, 0, 0, 402, 4
Receiving LTC, NO REACTOR, -1, 2, 0, 0, -999190111, NO TRIGGER, 0, 0, 517, 3
Receiving NET, NO REACTOR, -1, 2, 1000000000, 0, -999167762, NO TRIGGER, 0, 0, 543, 7
Sending PTAG, NO REACTOR, -1, 2, 1000000000, 0, -999165806, NO TRIGGER, 0, 0, 237, 4
Receiving TAGGED_MSG, NO REACTOR, -1, 2, 1000000000, 0, -999072078, NO TRIGGER, 0, 0, 402, 5
Sending TAGGED_MSG, NO REACTOR, -1, 2, 1000000000, 0, -998972064, NO TRIGGER, 0, 0, 479, 6
Sending TAG, NO REACTOR, -1, 2, 1000000000, 0, -998954045, NO TRIGGER, 0, 0, 198, 2
Receiving TAGGED_MSG, NO REACTOR, -1, 2, 1000000000, 0, -998897333, NO TRIGGER, 0, 0, 402, 7
Receiving LTC, NO REACTOR, -1, 2, 1000000000, 0, -998877637, NO TRIGGER, 0, 0, 517, 6
Sending TAG, NO REACTOR, -1, 2, 7521111123092032917, -1, -998852494, NO TRIGGER, 0, 0, 198, 3
Receiving NET, NO REACTOR, -1, 2, 7521111123092032917, -1, -998796271, NO TRIGGER, 0, 0, 543, 10
Receiving FED_ID, NO REACTOR, -1, 3, -1702260913762742890, 0, -1000039671, NO TRIGGER, 0, 0, 1173, 3
Sending ACK, NO REACTOR, -1, 3, -1702260913762742890, 0, -1000037296, NO TRIGGER, 0, 0, 1238, 3
Receiving TIMESTAMP, NO REACTOR, -1, 3, -1000000000, 0, -999931695, NO TRIGGER, 0, 0, 802, 3
Sending TIMESTAMP, NO REACTOR, -1, 3, 0, 0, -999925060, NO TRIGGER, 0, 0, 835, 0
Sending PTAG, NO REACTOR, -1, 3, 0, 0, -999724473, NO TRIGGER, 0, 0, 237, 2
Receiving NET, NO REACTOR, -1, 3, 0, 0, -999609443, NO TRIGGER, 0, 0, 543, 3
Sending TAGGED_MSG, NO REACTOR, -1, 3, 0, 0, -999434489, NO TRIGGER, 0, 0, 479, 2
Receiving TAGGED_MSG, NO REACTOR, -1, 3, 0, 0, -999292220, NO TRIGGER, 0, 0, 402, 3
Receiving LTC, NO REACTOR, -1, 3, 0, 0, -999272245, NO TRIGGER, 0, 0, 517, 2
Receiving NET, NO REACTOR, -1, 3, 1000000000, 0, -999250734, NO TRIGGER, 0, 0, 543, 6
Sending PTAG, NO REACTOR, -1, 3, 1000000000, 0, -999155819, NO TRIGGER, 0, 0, 237, 5
Sending TAGGED_MSG, NO REACTOR, -1, 3, 1000000000, 0, -999070122, NO TRIGGER, 0, 0, 479, 5
Receiving TAGGED_MSG, NO REACTOR, -1, 3, 1000000000, 0, -998973531, NO TRIGGER, 0, 0, 402, 6
Receiving LTC, NO REACTOR, -1, 3, 1000000000, 0, -998955930, NO TRIGGER, 0, 0, 517, 5
Receiving NET, NO REACTOR, -1, 3, 7521111123092032917, -1, -998935816, NO TRIGGER, 0, 0, 543, 9
Receiving FED_ID, NO REACTOR, -1, 0, -1702260913762742890, 0, -1001038902, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 0, -1702260913762742890, 0, -1001035968, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 0, -1000979256, 0, -1000874982, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 0, 0, 0, -999918075, NO TRIGGER, 0, 0, 835, 2
Sending PTAG, NO REACTOR, -1, 0, 0, 0, -999735857, NO TRIGGER, 0, 0, 237, 1
Receiving NET, NO REACTOR, -1, 0, 0, 0, -999642409, NO TRIGGER, 0, 0, 543, 2
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 0, 0, -999598687, NO TRIGGER, 0, 0, 402, 0
Receiving LTC, NO REACTOR, -1, 0, 0, 0, -999547004, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 0, 1000000000, 0, -999540299, NO TRIGGER, 0, 0, 543, 4
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 1000000000, 0, -999532198, NO TRIGGER, 0, 0, 402, 1
Receiving LTC, NO REACTOR, -1, 0, 1000000000, 0, -999516483, NO TRIGGER, 0, 0, 517, 1
Receiving NET, NO REACTOR, -1, 0, 7521111123092032917, -1, -999502585, NO TRIGGER, 0, 0, 543, 5
