Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702260913124362500, 0, -1000079410, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702260913124362500, 0, -1000016622, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1000000000, 0, -999998114, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999879871, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999844671, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999763235, NO TRIGGER, 0, 0, 2100, 0
Sending TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999689901, NO TRIGGER, 0, 0, 435, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999579900, NO TRIGGER, 0, 0, 1724, 0
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999527658, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -999514737, NO TRIGGER, 0, 0, 522, 2
Receiving TAG, NO REACTOR, 1, -1, 0, 0, -999494273, NO TRIGGER, 0, 0, 1880, 0
Receiving PTAG, NO REACTOR, 1, -1, 1000000000, 0, -999462774, NO TRIGGER, 0, 0, 2100, 1
Sending TAGGED_MSG, NO REACTOR, 1, -1, 1000000000, 0, -999430368, NO TRIGGER, 0, 0, 435, 1
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 1000000000, 0, -999308284, NO TRIGGER, 0, 0, 1724, 1
Sending LTC, NO REACTOR, 1, -1, 1000000000, 0, -999287890, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 1, -1, 2000000000, 0, -999276366, NO TRIGGER, 0, 0, 522, 4
Receiving TAG, NO REACTOR, 1, -1, 1000000000, 0, -999253039, NO TRIGGER, 0, 0, 1880, 1
Receiving PTAG, NO REACTOR, 1, -1, 2000000000, 0, -999213508, NO TRIGGER, 0, 0, 2100, 2
Sending TAGGED_MSG, NO REACTOR, 1, -1, 2000000000, 0, -999202124, NO TRIGGER, 0, 0, 435, 2
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 2000000000, 0, -999115799, NO TRIGGER, 0, 0, 1724, 2
Sending LTC, NO REACTOR, 1, -1, 2000000000, 0, -999099526, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 1, -1, 3000000000, 0, -999087583, NO TRIGGER, 0, 0, 522, 6
Receiving TAG, NO REACTOR, 1, -1, 2000000000, 0, -999062719, NO TRIGGER, 0, 0, 1880, 2
Receiving PTAG, NO REACTOR, 1, -1, 3000000000, 0, -999030522, NO TRIGGER, 0, 0, 2100, 3
Sending TAGGED_MSG, NO REACTOR, 1, -1, 3000000000, 0, -999020185, NO TRIGGER, 0, 0, 435, 3
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 3000000000, 0, -998938190, NO TRIGGER, 0, 0, 1724, 3
Sending LTC, NO REACTOR, 1, -1, 3000000000, 0, -998921498, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 1, -1, 4000000000, 0, -998903339, NO TRIGGER, 0, 0, 522, 8
Receiving TAG, NO REACTOR, 1, -1, 3000000000, 0, -998875263, NO TRIGGER, 0, 0, 1880, 3
Receiving PTAG, NO REACTOR, 1, -1, 4000000000, 0, -998864716, NO TRIGGER, 0, 0, 2100, 4
Sending TAGGED_MSG, NO REACTOR, 1, -1, 4000000000, 0, -998852913, NO TRIGGER, 0, 0, 435, 4
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 4000000000, 0, -998771477, NO TRIGGER, 0, 0, 1724, 4
Sending LTC, NO REACTOR, 1, -1, 4000000000, 0, -998754575, NO TRIGGER, 0, 0, 522, 9
Sending NET, NO REACTOR, 1, -1, 5000000000, 0, -998737743, NO TRIGGER, 0, 0, 522, 10
Receiving TAG, NO REACTOR, 1, -1, 4000000000, 0, -998718816, NO TRIGGER, 0, 0, 1880, 4
Receiving PTAG, NO REACTOR, 1, -1, 5000000000, 0, -998682009, NO TRIGGER, 0, 0, 2100, 5
Sending TAGGED_MSG, NO REACTOR, 1, -1, 5000000000, 0, -998671044, NO TRIGGER, 0, 0, 435, 5
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 5000000000, 0, -998582275, NO TRIGGER, 0, 0, 1724, 5
Sending LTC, NO REACTOR, 1, -1, 5000000000, 0, -998565303, NO TRIGGER, 0, 0, 522, 11
Sending NET, NO REACTOR, 1, -1, 7521111123730413307, -1, -998551754, NO TRIGGER, 0, 0, 522, 12
Receiving TAG, NO REACTOR, 1, -1, 5000000000, 0, -998523887, NO TRIGGER, 0, 0, 1880, 5
