Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702002731997730644, 0, -1000757824, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 1, -1702002731997730644, 0, -1000756645, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000710641, 0, -1000633274, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999879938, NO TRIGGER, 0, 0, 835, 1
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999767371, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999716120, NO TRIGGER, 0, 0, 237, 0
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999550982, NO TRIGGER, 0, 0, 402, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999527516, NO TRIGGER, 0, 0, 479, 1
Sending TAG, NO REACTOR, -1, 1, 0, 0, -999458235, NO TRIGGER, 0, 0, 198, 0
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999401716, NO TRIGGER, 0, 0, 517, 1
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999392941, NO TRIGGER, 0, 0, 543, 3
Sending PTAG, NO REACTOR, -1, 1, 1000000000, 0, -999392022, NO TRIGGER, 0, 0, 237, 2
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 1000000000, 0, -999296006, NO TRIGGER, 0, 0, 402, 2
Sending TAGGED_MSG, NO REACTOR, -1, 1, 1000000000, 0, -999277976, NO TRIGGER, 0, 0, 479, 3
Sending TAG, NO REACTOR, -1, 1, 1000000000, 0, -999247063, NO TRIGGER, 0, 0, 198, 1
Receiving LTC, NO REACTOR, -1, 1, 1000000000, 0, -999192614, NO TRIGGER, 0, 0, 517, 3
Receiving NET, NO REACTOR, -1, 1, 2000000000, 0, -999183739, NO TRIGGER, 0, 0, 543, 5
Sending PTAG, NO REACTOR, -1, 1, 2000000000, 0, -999183059, NO TRIGGER, 0, 0, 237, 4
Sending TAGGED_MSG, NO REACTOR, -1, 1, 2000000000, 0, -999135116, NO TRIGGER, 0, 0, 479, 4
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 2000000000, 0, -999112289, NO TRIGGER, 0, 0, 402, 5
