Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702260914036220164, 0, -1000255692, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702260914036220164, 0, -1000183196, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000166154, 0, -1000164199, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999874075, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999835382, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999740676, NO TRIGGER, 0, 0, 2100, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999687387, NO TRIGGER, 0, 0, 435, 0
Receiving TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999599176, NO TRIGGER, 0, 0, 1724, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999548680, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 1000000000, 0, -999539252, NO TRIGGER, 0, 0, 522, 2
Receiving TAG, NO REACTOR, 0, -1, 0, 0, -999516972, NO TRIGGER, 0, 0, 1880, 0
Receiving PTAG, NO REACTOR, 0, -1, 1000000000, 0, -999482540, NO TRIGGER, 0, 0, 2100, 1
Sending TAGGED_MSG, NO REACTOR, 0, -1, 1000000000, 0, -999454952, NO TRIGGER, 0, 0, 435, 1
Receiving TAGGED_MSG, NO REACTOR, 0, -1, 1000000000, 0, -999377288, NO TRIGGER, 0, 0, 1724, 1
Sending LTC, NO REACTOR, 0, -1, 1000000000, 0, -999360456, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 0, -1, 2000000000, 0, -999348164, NO TRIGGER, 0, 0, 522, 4
Receiving TAG, NO REACTOR, 0, -1, 1000000000, 0, -999317084, NO TRIGGER, 0, 0, 1880, 1
Receiving PTAG, NO REACTOR, 0, -1, 2000000000, 0, -999296830, NO TRIGGER, 0, 0, 2100, 2
Sending TAGGED_MSG, NO REACTOR, 0, -1, 2000000000, 0, -999287750, NO TRIGGER, 0, 0, 435, 2
Receiving TAGGED_MSG, NO REACTOR, 0, -1, 2000000000, 0, -999198701, NO TRIGGER, 0, 0, 1724, 2
Sending LTC, NO REACTOR, 0, -1, 2000000000, 0, -999183965, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 0, -1, 3000000000, 0, -999173069, NO TRIGGER, 0, 0, 522, 6
Receiving TAG, NO REACTOR, 0, -1, 2000000000, 0, -999149183, NO TRIGGER, 0, 0, 1880, 2
Receiving PTAG, NO REACTOR, 0, -1, 3000000000, 0, -999108675, NO TRIGGER, 0, 0, 2100, 3
Sending TAGGED_MSG, NO REACTOR, 0, -1, 3000000000, 0, -999100434, NO TRIGGER, 0, 0, 435, 3
Receiving TAGGED_MSG, NO REACTOR, 0, -1, 3000000000, 0, -999017950, NO TRIGGER, 0, 0, 1724, 3
Sending LTC, NO REACTOR, 0, -1, 3000000000, 0, -999003143, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 0, -1, 4000000000, 0, -998990293, NO TRIGGER, 0, 0, 522, 8
Receiving TAG, NO REACTOR, 0, -1, 3000000000, 0, -998973530, NO TRIGGER, 0, 0, 1880, 3
Receiving PTAG, NO REACTOR, 0, -1, 4000000000, 0, -998951251, NO TRIGGER, 0, 0, 2100, 4
Sending TAGGED_MSG, NO REACTOR, 0, -1, 4000000000, 0, -998943009, NO TRIGGER, 0, 0, 435, 4
Receiving TAGGED_MSG, NO REACTOR, 0, -1, 4000000000, 0, -998868697, NO TRIGGER, 0, 0, 1724, 4
Sending LTC, NO REACTOR, 0, -1, 4000000000, 0, -998853891, NO TRIGGER, 0, 0, 522, 9
Sending NET, NO REACTOR, 0, -1, 5000000000, 0, -998840411, NO TRIGGER, 0, 0, 522, 10
Receiving TAG, NO REACTOR, 0, -1, 4000000000, 0, -998822951, NO TRIGGER, 0, 0, 1880, 4
Receiving PTAG, NO REACTOR, 0, -1, 5000000000, 0, -998800112, NO TRIGGER, 0, 0, 2100, 5
Sending TAGGED_MSG, NO REACTOR, 0, -1, 5000000000, 0, -998791871, NO TRIGGER, 0, 0, 435, 5
Receiving TAGGED_MSG, NO REACTOR, 0, -1, 5000000000, 0, -998718537, NO TRIGGER, 0, 0, 1724, 5
Sending LTC, NO REACTOR, 0, -1, 5000000000, 0, -998703800, NO TRIGGER, 0, 0, 522, 11
Sending NET, NO REACTOR, 0, -1, 7521111122818555643, -1, -998697165, NO TRIGGER, 0, 0, 522, 12
Receiving TAG, NO REACTOR, 0, -1, 5000000000, 0, -998677540, NO TRIGGER, 0, 0, 1880, 5
Receiving TAG, NO REACTOR, 0, -1, 7521111122818555643, -1, -998546027, NO TRIGGER, 0, 0, 1880, 6
