Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702002732898018731, 0, -1000074953, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 1, -1702002732898018731, 0, -1000073604, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000000000, 0, -999926906, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999922778, NO TRIGGER, 0, 0, 835, 0
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999655708, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999601075, NO TRIGGER, 0, 0, 237, 0
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999404761, NO TRIGGER, 0, 0, 402, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999376195, NO TRIGGER, 0, 0, 479, 1
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999270097, NO TRIGGER, 0, 0, 517, 0
Sending TAG, NO REACTOR, -1, 1, 0, 0, -999248557, NO TRIGGER, 0, 0, 198, 1
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999222430, NO TRIGGER, 0, 0, 543, 3
Sending PTAG, NO REACTOR, -1, 1, 1000000000, 0, -999221041, NO TRIGGER, 0, 0, 237, 2
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 1000000000, 0, -999140170, NO TRIGGER, 0, 0, 402, 2
Sending TAGGED_MSG, NO REACTOR, -1, 1, 1000000000, 0, -999117551, NO TRIGGER, 0, 0, 479, 3
Sending TAG, NO REACTOR, -1, 1, 1000000000, 0, -999095332, NO TRIGGER, 0, 0, 198, 2
Receiving LTC, NO REACTOR, -1, 1, 1000000000, 0, -999078320, NO TRIGGER, 0, 0, 517, 3
Receiving NET, NO REACTOR, -1, 1, 2000000000, 0, -999069975, NO TRIGGER, 0, 0, 543, 5
Sending PTAG, NO REACTOR, -1, 1, 2000000000, 0, -999069305, NO TRIGGER, 0, 0, 237, 4
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 2000000000, 0, -999039170, NO TRIGGER, 0, 0, 402, 4
