Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702260913197717952, 0, -1000316594, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702260913197717952, 0, -1000239628, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1000220911, 0, -1000219514, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999900824, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999831262, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999616218, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999569214, NO TRIGGER, 0, 0, 1724, 0
Receiving TAG, NO REACTOR, 1, -1, 0, 0, -999505099, NO TRIGGER, 0, 0, 1880, 0
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999501327, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 1, -1, 2000000000, 0, -999475486, NO TRIGGER, 0, 0, 522, 2
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 1000000000, 0, -999447409, NO TRIGGER, 0, 0, 1724, 1
Receiving TAG, NO REACTOR, 1, -1, 1000000000, 0, -999421149, NO TRIGGER, 0, 0, 1880, 1
Sending LTC, NO REACTOR, 1, -1, 1000000000, 0, -999391536, NO TRIGGER, 0, 0, 522, 3
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 2000000000, 0, -999390069, NO TRIGGER, 0, 0, 1724, 2
Sending NET, NO REACTOR, 1, -1, 2000000000, 0, -999373027, NO TRIGGER, 0, 0, 522, 4
Receiving TAG, NO REACTOR, 1, -1, 2000000000, 0, -999347326, NO TRIGGER, 0, 0, 1880, 2
Sending LTC, NO REACTOR, 1, -1, 2000000000, 0, -999340621, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 1, -1, 7521111123657057855, -1, -999328538, NO TRIGGER, 0, 0, 522, 6
Receiving TAG, NO REACTOR, 1, -1, 7521111123657057855, -1, -999289496, NO TRIGGER, 0, 0, 1880, 3
