Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702002732103801144, 0, -1000090365, NO TRIGGER, 0, 0, 1173, 2
Sending ACK, NO REACTOR, -1, 1, -1702002732103801144, 0, -1000089256, NO TRIGGER, 0, 0, 1238, 2
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000000000, 0, -999914072, NO TRIGGER, 0, 0, 802, 2
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999906475, NO TRIGGER, 0, 0, 835, 0
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999692880, NO TRIGGER, 0, 0, 543, 2
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999667262, NO TRIGGER, 0, 0, 237, 2
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999472207, NO TRIGGER, 0, 0, 479, 1
Sending TAG, NO REACTOR, -1, 1, 0, 0, -999438834, NO TRIGGER, 0, 0, 198, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 1000000000, 0, -999276443, NO TRIGGER, 0, 0, 479, 3
Sending TAG, NO REACTOR, -1, 1, 1000000000, 0, -999255493, NO TRIGGER, 0, 0, 198, 2
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999206467, NO TRIGGER, 0, 0, 517, 3
Sending TAGGED_MSG, NO REACTOR, -1, 1, 2000000000, 0, -999147086, NO TRIGGER, 0, 0, 479, 5
Sending TAG, NO REACTOR, -1, 1, 2000000000, 0, -999095082, NO TRIGGER, 0, 0, 198, 4
Receiving NET, NO REACTOR, -1, 1, 2000000000, 0, -999040568, NO TRIGGER, 0, 0, 543, 8
Sending TAG, NO REACTOR, -1, 1, 7521369304750974663, -1, -998973871, NO TRIGGER, 0, 0, 198, 6
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -998921097, NO TRIGGER, 0, 0, 543, 9
