Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702002732630521520, 0, -1000773332, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702002732630521520, 0, -1000691622, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1000677499, 0, -1000676979, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999861988, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999769473, NO TRIGGER, 0, 0, 522, 0
Sending TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999699377, NO TRIGGER, 0, 0, 435, 0
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999670981, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 1, -1, 1000000000, 0, -999655859, NO TRIGGER, 0, 0, 522, 2
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999640556, NO TRIGGER, 0, 0, 2100, 0
Sending TAGGED_MSG, NO REACTOR, 1, -1, 1000000000, 0, -999598197, NO TRIGGER, 0, 0, 435, 1
Sending LTC, NO REACTOR, 1, -1, 1000000000, 0, -999584094, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 1, -1, 2000000000, 0, -999578007, NO TRIGGER, 0, 0, 522, 4
Sending TAGGED_MSG, NO REACTOR, 1, -1, 2000000000, 0, -999571350, NO TRIGGER, 0, 0, 435, 2
Sending LTC, NO REACTOR, 1, -1, 2000000000, 0, -999559596, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 1, -1, 7521369304224254287, -1, -999556237, NO TRIGGER, 0, 0, 522, 6
